text,category
"﻿काठमाडौंमा पहिलो पटक स्ट्रबेरीको व्यवसायिक खेती सुरु भएको छ । एक दशकसम्म इजरायली कृषि फार्ममा बसेर काम गरेका श्रीकृष्ण अधिकारीले तारकेश्वर नगरपालिका ४ गोलढुंगामा उत्पादन सुरु गरेका हुन्।
यसअघि स्ट्रबेरी नुवाकोटमा गरिँदै आएको थियो। अधिकारीले ५ रोपनी क्षेत्रफलमा १० हजार बिरुवा लगाएका छन्। १० हजार मध्ये १ प्रतिशत बिरुवा भने काम नलागेको अधिकारीले बताए। अहिलेसम्म नुवाकोटमा मात्रै यसको उत्पादन हुने भनिए पनि आफूले सुरुमा चुनौति मोलेर खेती सुरु गरेको उनले बताए।
बीस–पच्चीस वर्षअघि ककनीमा जाइटी भन्ने संस्थाले स्ट्रबेरीको खेती सुरु गरेपछि नुवाकोटमा थालनी भएको थियो तर किसानहरुले नयाँ प्रविधिको प्रयोग गरेर भने खेती सुरु गरेका थिएनन्। अधिकारीले स्थापना गरेको सलोम एग्रीकल्चर नामक कम्पनीले कृषिमा आधुनिकीकरणका लागि विभिन्न खालका सेवा उपलब्ध गराउँदै आएको छ।
‘मैले नुवाकोटमा ग्रीन हाउस बनाउने थोपा सिँचाइको काम गरेको थिएँ’ उनले भने, ‘नुवाकोटमा गरेको आधारमा मैले काठमाडौंमा पनि स्ट्रबेरी लगाएको हो।’
अधिकारीको फर्ममा अहिले स्ट्रबेरी फल्न सुरु गरेको छ। भदौमा लगाएको स्ट्रबेरीले कात्तिकको तेश्रो साता देखि फलदिन सुरु गर्छ। मंसिरदेखि फागुनसम्म भने यसको उत्पादन राम्रोसँग हुन्छ।
  
५ देखि २५ डिग्री तापक्रममा स्ट्रबेरी लगाउन सकिन्छ। विशेष गरी जापान, कोरिया, थाइल्याण्ड, इजरायल लगायतका देशमा यसको उत्पादन हुन्छ। यी देशहरुले स्ट्रबेरीको निर्यात समेत गर्ने गरेका छन्। बालक देखि बृद्धसम्म यसको प्रयोग उपयोगी मानिएको छ।
विभिन्न शुभ कार्यहरुमा समेत स्ट्रबेरीलाई प्याक गरेर उपहारको रुपमा दिइन्छ। जुनसुकै उमेर समुहका व्यक्तिका लागि पनि फाइदाजनक भएकोले ति देशहरुमा यसको उत्पादन बढ्दै गएको अधिकारीले बताए।
‘नेपालमा पनि स्ट्रबेरीको उत्पादन गर्न सके बजार राम्रो छ, अर्कोतिर निर्यात समेत गर्न सकिन्छ।’ उनले भने, ‘विदेशबाट आयात गर्ने फलफूलको विकल्पमा स्ट्रबेरीलाई लिन सकिन्छ।’
स्ट्रबेरीको जाम विश्वमै चर्चित रहेको उनले बताए। स्ट्रबेरीबाट रक्सी तथा जुस पनि बनाउन सकिन्छ।‘आफ्नो जति जग्गा छ त्यतिमा मात्रै खेती गर्न सके पनि यसले किसानलाई फाइदा पुग्छ।’ उनले भने, ‘यसले किसानको जीवनस्तरलाई त उकास्छ नै नेपालीहरु विदेसिनु समेत पर्दैन।’
विदेशमा लामो समयसम्म काम गरेकोले पनि आफूले स्वदेशमा बसेर केही गर्न खोजेको उनले बताए। विदेशमा बसेर काम गरेर फर्किएकाहरुको संस्था एसियन फोरमका सचिव समेत रहेका अधिकारीले पछिल्लो समयमा नेपालीहरुले आधुनिक प्रविधिको प्रयोग गरी कृषि पेशा अंगालेको बताए।
ग्रीनहाउस बनाएर थोपा सिँचाई मार्फत आफूले देशका विभिन्न ठाउँहरुमा तरकारी खेती गर्ने सेवा उपलब्ध गराएको अधिकारीको भनाइ छ। नेपालमा पहिलोपटक थोपा सिंचाइलाई व्यवसायिक रुपमा आफैले प्रयोग गरेको उनले दावी गरे।",Agriculture
"जिल्लाका किसानले लगाएको अदुवामा गानो कुहिने, गबारो र पात बेरुवालगायतका विभिन्न रोगको संक्रमण देखिन थालेको छ।
खाद्यान्न बाली मासेर लगाएको व्यावसायिक अदुवा खेती रोगले सखाप पारेपछि किसान चिन्तित भएका छन्। जिल्लामा मुख्य नगदेबालीका रुपमा खेती भइरहेको अदुवाको माउ झिकिसकेपछि रोगको संक्रमण देखा परेको हो।
अदुवामा गानो कुहिने, गबारो र बेरुवाको संक्रमण देखापरेको किसानले बताएका छन्। शुरुमा गानो कुहिने र पछि पहेँलिँदै क्रमशः बोटै मरेर जाने गरेको छ। केही क्षेत्रका किसानले लगाएको अदुवामा भने गबारो र बेरुवाको संक्रमण छ । अदुवाका लागि गानो कुहिने रोग सबैभन्दा बढी हानिकारक मानिन्छ । गानो कुहिने रोगले अदुवाको फल नै सखाप पार्छ।
फेदाप, आठराई र छथर गाउँपालिकाका किसानले लगाएको अदुवामा रोगको संक्रमण देखिएको छ । साउन र भदौमा अदुवाको माउ झिकेको र माउ झिकिसकेपछि गानो कुहिने रोगको संक्रमण देखापरेको फेदाप गाउँपालिका–१, सिम्लेका किसान तेजनाथ भट्टराईले बताए।
“अदुवाको बोट हरियो हुँदै जाँदा गानो कुहिने गर्छ, अनि बिस्तारै पहेँलो भएर अदुवाको बोटै मर्छ”, उनले भने।
खनेर बजारमा पु¥याउने बेलामा अदुवामा रोग लागेपछि किसान मारमा परेका छन् । फेदाप गाउँपालिकाका सबै वडामा अधिकांश किसानले अदुवाको खेती लगाएका छन्। सिम्ले, जलजले, ओयाक्जुङ र इसिवुमा अदुवाको व्यावसायिक खेती भइरहेको छ।
आठराई गाउँपालिकाको थोक्लुङ, सक्रान्ति, छातेढुंगा र इवामा अदुवाको व्यावसायिक खेती शुरु भएको छ। “साउनको अन्तिम साताबाटै गाना कुहिने रोग देखा पर्यो”, आठराई गाउँपालिका–७, थोक्लुङका रामप्रसाद तिम्सिनाले भने “अदुवा बारीमा नै सकिन लाग्यो, एग्रोभेटबाट ल्याएको औषधिले पनि काम गरेन।”
यहाँका अधिकांश किसानले लगाएको अदुवामा रोगको संक्रमण देखिएको छ । गतवर्ष पनि यहाँका किसानले लगाएको अदुवा रोगले सखाप पारेको थियो । कृषि प्राविधिकका लागि माग गरे पनि सुनवाइ नभएको किसानको गुनासो छ । पानी परेर घाम लाग्दा र माउ झिकेपछि अदुवा मर्न थालेको आठराई गाउँपालिका–५ छातेढुंगाका सोमनाथ आचार्यले बताए।
“मकै कोदोभन्दा फाइदा हुने देखेर अदुवाको खेती थालियो, तर यसमा झन धेरै दुःख छ,” उनले भने।
आम्दानी मनग्य हुने देखिए पनि अदुवाको खेतीदेखि बजारसम्म पु¥याउन निकै सकस हुने गर्छ। “खेती थाल्दैदेखि ध्यान दिनुपर्छ, माटो बनाएर मल पुर्याएर खेती नलगाए रोगले झनै सखाप पार्छ”, आचार्यले भने। विगतभन्दा यस वर्ष रोगको संक्रमण बढी देखा परेको छ । गत वर्ष पनि यस्तै रोगको संक्रमण देखापरेको थियो।
“समस्या राख्दा कसैले चासो दिँदैन, प्राविधिक पनि आउँदैनन्, अन्दाजका भरमा किनेको औषधिले काम गर्दैन”, फेदाप गाउँपालिका–१, सिम्ले साक्फाराका कुमार खड्काले भने। खड्काले दुई क्विन्टल अदुवा रोपेका छन्। तर यस वर्ष रोगको संक्रमणका कारण १० क्विन्टलभन्दा बढी उत्पादन नहुने उनको भनाइ छ ।
किसानका अनुसार मलखाद मिलाएर रोपे एक क्विन्टल अदुवा रोप्दा आठ गुणाभन्दा बढी उत्पादन हुन्छ। यसपालि खेती लगाएको मध्ये आधाभन्दा बढी अदुवा बारीमै रोगले सखाप पारिसकेको किसानको भनाइ छ। यहाँका किसानले अदुवामा लागेको रोगबारे प्राविधिकको परामर्श बिनै निजी एग्रोभेटबाट विषादी किनेर प्रयोग गरिरहेका छन्।
जिल्ला कृषि विकास कार्यालय यसबारे बेखबर छ । गाउँ–गाउँमा सडकको पहुँच पुगेसँगै किसानले अदुवा खेतीको क्षेत्र बढाएका छन्। विसं २०५२ देखि शुरु भएको अदुवाको पछिल्लो दशकमा व्यावसायिक खेती ह्वात्तै बढेको फेदाप गाउँपालिका–३, जलजलेका दयाराम भट्टराईले बताए।
अहिले जलजले गाउँका करिब ५०० भन्दाबढी घरधुरीले अदुवा खेती गरिरहेका छन् । रोगको संक्रमण कम र मौसममा उचित मूल्य पाए अदुवाबाटै यहाँका अधिकांश घरधुरीले वर्षदिनको हातमुख जोर्ने मेलो जुटाउने गरेका छन्। रोगको संक्रमणमा वृद्धि र मूल्यमा आएको कमीका कारण धेरै किसानले पछिल्लो वर्ष खेतीको क्षेत्रफल घटाएका छन्।
जिल्लामा नसे र बोसे दुई जातको अदुवाको खेती बढी गरिन्छ । हाल कूल २६० हेक्टर क्षेत्रफलमा अदुवाको खेती भइरहेको जिल्ला कृषि विकास कार्यालयको तथ्यांकमा उल्लेख छ। कार्यालयकी बागवानी विकास अधिकृत दीपा देवले किसानले अदुवा खेतीको बारेमा जानकारी नै नलिई खेती लगाइरहेकाले समस्या आउने गरेको बताए।
विशेषगरी ढुसीजन्य रोगका कारणले अदुवाको गानो कुहिने हुँदा प्रत्येक वर्ष नयाँ ठाउँमा रोप्दा रोग नलाग्ने उनको भनाइ छ । अदुवा रोप्नु अगाडि नै माटो परीक्षण गरेर लगाए पनि यस्तो समस्या नआउने उनको सुझाव छ । तर अहिले बाली निकाल्ने बेलामा देखिने रोगको खास उपचार नै छैन।",Agriculture
"काभ्रेपलाञ्चोकमा कृषकले एसआरआई प्रविधिमा गरेको धानखेतीबाट दोब्बर उत्पादन भएको छ ।
परीक्षणका रुपमा मण्डनदेउपुरमा सो विधिबाट धानखेती गरिएको थियो । कम लगानीमा बढी उत्पादन लिएको स्थानीय कृषक गोविन्द नेपालले बताए।
“कम लगानी र कम श्रमशक्ति खर्चेर बढी आम्दानी लिन सफल भएका छौँ, कृषकको यसप्रतिको आर्कषण बढेको छ” उनले भने।
तीन वर्षदेखि सो प्रविधिको प्रयोग गरी धानको उत्पादन गरेको कृषकले बताएका छन् । यस वर्ष आठ किलो धानको बीउ राखेर २८ क्विन्टल धान उत्पादन भएको नेपालले बताए।
ताइचिन जातको बाहेक मकवानपुर– १ जातको धान पनि उत्पादन गर्न सकिने उनको अनुभव छ । परम्परागत रुपमा गरिने धानखेतीमा बीउ तयार हुन एक महिनाभन्दा बढी समय लाग्छ । एसआरआई प्रविधिमा १९ दिनमा धानको बिरुवा (बेर्ना) खेतमा सार्नयोग्य हुन्छ । अहिले अन्य कृषकले समेत नेपालको सिको गर्न लागेका छन् ।
जिल्ला कृषि विकास कार्यलय, धुलिखेलका प्रसार अधिकृत कृष्णप्रसाद धितालले जिल्लाका कतिपय स्थानमा कृषकले यसलाई अनुशरण गर्न नसकेका बताए। सो प्रविधि इजरायलबाट आएको उनको भनाइ छ । खाद्य सुरक्षा बढाउन र मुलुकलाई धानमा आत्मनिर्भर बनाउन उक्त प्रविधिको धानखेती प्रभावकारी हुने धितालले बताए। करिब १०० रोपनी क्षेत्रफलमा सो प्रविधिबाट मण्डनदेउपुरमा धानखेती गरिएको छ । पानी नजम्ने स्थान उक्त प्रविधिका लागि उपयुक्त हुन्छ । एउटा सर्को धानको बीउ मात्रै लगाउने प्रविधिलाई एसआरआई प्रविधि भनिन्छ । रासस",Agriculture
"राजधानीमा यतिबेला तरकारीको मूल्य आकासिएको छ। कतिपय तरकारीको सिजन सुरु हुँदै गरेको त केहीको सिजन सकिनै लागेकाले महँगो भएको कालिमाटी फलफूल तथा तरकारी बजार विकास समितिले जनाएको छ। समितिका अनुसार अहिले तरकारीका लागि ‘सिजनल ग्याप’को अवधि भएकाले महँगो पर्न गएको हो।
समितिका योजना अधिकृत रमेश डंगोल केही दिनपछि सिजनका तरकारी बजारमा पर्याप्त आउने र त्यसपछि क्रमिक रुपमा मूल्य घट्दै जाने बताउँछन्। ‘यतिबेला कुनै पनि तरकारीको उपयुक्त सिजन होइन, केहीको सिजन सकिएको छ भने केहीको सुरु हुन लागेको छ, यो सिजनल ग्याप हो, त्यसैले राजधानीमा तरकारी भित्रिँदा नै महँगो पर्न गएको छ’ उनले भने।
उनका अनुसार यतिबेला बोडी, परवर, घिरौंला, घिउ सिमी, भान्टा, तिते करेलाजस्ता तरकारीको सिजन सकिएको छ। जसले गर्दा यी अधिकांश तरकारी खुद्रा बजारमा मूल्य प्रतिकेजी १ सय रुपैयाँको हाराहारीमा छ।
त्यस्तै नयाँ आलु, काउली, साग, बरेलाजस्ता तरकारीको सिजन सुरु हुनै लागेकाले यी तरकारी महँगो हुन गएको हो। ‘सिजन सुरु भएका तरकारी पनि बजारमा पर्याप्त आउन सकेको छैन, यसले गर्दा महँगो पर्न गएको हो, जब बजारमा यी तरकारी पर्याप्त आउँछ, अनि मूल्य घट्न थाल्छ’ डंगोलले भने।
समितिका अनुसार कालिमाटीमै यतिबेला काउलीको मूल्य प्रतिकेजी ८० रुपैयाँ छ। सर्वसाधारणले पायक पर्ने तरकारी पसलबाट किन्दा यसको मूल्य १ सय रुपैयाँ तिर्नुपर्दछ। त्यस्तै कालिमाटीमा नयाँ रातो आलु प्रतिकेजी ६० रुपैयाँ छ। सिजनमा सोही मूल्यमा एक धार्नी आलु पाइने भए पनि अहिले भने साढे दुई गुणा महँगो तिर्न उपभोक्ता बाध्य छन्।
गोलभेँडाका लागि अहिलेको सिजन अनुपयुक्त भएकाले यसको मूल्य पनि खुद्रा बजारमा १ सय रुपैयाँभन्दा बढी पर्दछ। कालिमाटी बजार विकास समितिले नै गोलभेंडाको खुद्रा मूल्य १ सय रुपैयाँ तोकेको छ। ‘हुन त गोलभेंडा बाह्रै मास पाइन्छ, तर अहिले आएको सानो गोलभेंडा व्यवसायिक रुपमा गरिएको टनेल खेतीको मात्रै हो यसकारण महँगो छ’  उनले भने।",Agriculture
"पाल पोल्ट्री तथा लाइभस्टक क्षेत्रको समग्र विकास गर्ने उद्देश्यले सबैभन्दा ठूलो ‘नेपाल पोल्ट्री एण्ड लाइभस्टक अन्तर्राष्ट्रिय प्रदर्शनी २०१७’ चितवनमा हुने भएको छ।
नेपाल पोल्ट्री महासंघको आयोजनामा कात्तिक १७ देखि १९ गतेसम्म हुन लागेको उक्त अन्तर्राष्ट्रिय प्रर्दशनी चितवन एक्पो सेन्टर भरतपुरमा हुने छ।
प्रदर्शनीमा २ सय भन्दा बढी स्वदेशी तथा विदेशी स्टलहरु रहने बताइएको छ। स्टलमा नविनतम प्रविधि रहनुका साथै पोल्ट्री तथा लाइभस्टकसँग सम्बन्धित सेमिनार पनि हुने आयोजकले जनाएको छ।
प्रदर्शनीमा नेपाल, भारत, जर्मनी, बेल्जियम, नेदरल्याण्ड, चीन, अमेरिका, टर्की, मलेसिया, ताइवान, इटली, इजराइल, बंगलादेश, लगायत देशबाट पोल्ट्री तथा लाइभस्टक कम्पनीहरुको उल्लेख्य उपस्थिति हुने बताइएको छ।",Agriculture
"माग अनुसारको आपूर्ति नभएपछि तरकारीको मुल्य दोब्बर भएको छ ।  हिन्दुहरुको महान चाड दशैँ र तिहारको बीचमा तरकारी आपूर्तिमा हवात्तै कमि आएपछि राजधानी काठमाण्डौमा तरकारीको मुल्य अकासिएको हो ।
अघिपछि खचाखच तरकारी पाईने काठमाडाैं को कालिमाटी फलफूल तथा तरकारी विकास समिति र बल्खु कृषि तथा तरकारी बजारमा अहिले पर्याप्त तरकारी आउन नसकेपछि त्यसको प्रत्यक्ष प्रभाव उपभोग्य मुल्यमा देखिएको हो ।
सर्वसाधारणको भान्सामा दैनिक उपभोगमा आउने आलु, प्याज, टमार, काउली लगायत तरकारीको मुल्य दशै अघिको तुलनामा दोब्बर भएको छ ।
दशैँ अगाडि ढकको ४ सय रुपैयामा पाईने काउलीको अहिले थोक मुल्य ८ सय रुपैया पुगेको छ । त्यसैगरी २ सय रुपैया प्रति ढकको लौका अहिले ३ सय ५० रुपैया पुगेको छ ।",Agriculture
"नेपाल र चीनबीचको सम्झौतासँगै शुरु भएको परियोजनामार्फत परीक्षणका रुपमा लगाइएको चिनियाँ हाइब्रिड धानको उत्पादन चारगुणाले वृद्धि भएको पाइएको छ ।
सम्झौतासँगै सन् २०१६ देखि तीन वर्षे चाइना नेपाल प्राविधिक सहयोग परियोजनामार्फत परीक्षणका रुपमा भक्तपुरमा लगाइएको चिनियाँ हाइब्रिड धान उत्पादनमा वृद्धि भएको पाइएको हो ।
मध्यपुरथिमिमा करिब १२ रोपनी जग्गामा यस वर्ष परीक्षणका रुपमा लगाइएको एलपिएम बिआर १६२८ र एलपिएम बिआर १६३२ जातको धानको नेपाल कृषि अनुसन्धान परिषद् (नार्क), चिनियाँ टोली, चाइना नेपाल प्राविधिक सहयोग परियोजना, कृषि वनस्पति महाशाखा, धान लगाउने कृषकको टोलीसहितले आज अवलोकन गरेको हो ।
कार्यक्रममा चिनियाँ टोलीका संयोजक जिहाङ जोहुईले चीनको आर्थिक एवं प्राविधिक सहयोगमा शुरु भएको सो परियोजनाले चीन र नेपालमा विभिन्न तालीम उपलब्ध गराएको बताए । उनले चीनको ६७ जातका धानको परीक्षण नेपालमा शुरु गरिएको र चिनियाँ हाइब्रिड धान प्रतिहेक्टर ८ टनदेखि १० टनसम्म उत्पादन हुने बताए ।
धान तथा मकैका लागि चीनले नेपालमा प्राविधिक सहयोग, ट्र्याक्टर, राइस मिल, ट्रान्सप्लान्ट यन्त्रलगायतका सहयोग गरेको छ भने धानको प्रयोगशाला बनाइदिने भएको छ ।
स्थानीय किसानले धानमा कालोपोके आएको र केही बोट मर्ने समस्या आएको बताउँदै यसलाई नियन्त्रण गर्न सके उत्पादनमा वृद्धि हुने बताए । धान पसाउने बेलामा केही बोट मर्ने र केही बाला नलाग्ने समस्या छ ।",Agriculture
"यस वर्ष अम्बामा देशैभर अम्बामा रोग देखा पर्‍यो। अम्बामा  साना-साना कालो दागहरु भेटिए।
यस  सिजन अम्बामा देखिएको रोगलाई सरकारले ‘क्यानकर’ अर्थात खटिरे रोगको प्रकोप देखिएको जनाएको छ।
कृषि विभाग अन्तगर्तको फलफूल विकास केन्द्रकी कार्यक्रम निर्देशक डाक्टर रमिता मानन्धरले अम्बामा कालो कालो दाग खटिरे रोग भएको जानकारी दिइन् ।
नेपालमा व्यवसायिक रुपमा ठूलो मात्रामा अम्बाको खेती गरिदैँन्।
त्यसैले यसमा लाग्ने रोग, बिउका आधुनिक प्रजाती तथा यसको महत्वका बारेमा चासो र अध्ययन कम देखिएको छ’ मानन्धरले बताइन्।
फलफूल क्षेत्रको प्रवद्धन गर्ने जिम्मा पाएको फलफूल विकास निर्देशनालयले अम्बामा देखिने विभिन्न प्रकारका रोग, तीनको कारण र समस्याका बारेमा पर्याप्त जनचेतना फैलाउन भने सकिरहेका छैन्।
किनभने अम्बाको अहिलेसम्म ब्यावसायिक खेती गरिएको छैन् ।
कृषि विज्ञ राजेन्द्र देवकोटा  यस वर्ष अम्बामा खटिरे रोग ‘Physalospora psidi’ नामक ढूसीवाट लाग्ने गरेको बताए।
यो रोग लागेपछि अम्बाको उत्पादन ९० प्रतिशत तथा गुणस्तर शतप्रतिशतले घटाउने देवकोटा बताउँछन्।
उनले बताए अनुसार खटिरे रोग प्रायजसो फल तथा आंशिक रुपमा पातमा देखा देखापर्ने गर्दछ।
यस रोग लाग्नुपूर्व खैरो वा सिन्दुरे रंगका साना थोप्ला देखा पर्दछन भने पछि यी बढ्दै जान्छन्।
त्यसपश्चात यसले फललाई कडा पार्दै लैजाने, आकारमा बिकृति ल्याउने र अन्तमा फुटाउने गर्दछ।यो प्राय जाडोमा भन्दा बर्षात को मौसममा बढी देखा पर्ने गर्दछ।",Agriculture
"लैँचीको कारोबार ठप्प भएपछि चाडबाडका लागि खर्च जुटाउन किसानलाई मुस्किल भएको छ ।
मूल्यमा निकै कमी आएपछि गत वर्षदेखि नै कारोबार ठप्प पारेका गाउँका व्यापारीले मूल्य अझै घट्न सक्ने भन्दै अलैँची खरिद गर्न चासो देखाएका छैनन् ।
दशैँ तिहारजस्ता चाडबाडको खर्च धान्न अलैँची बिक्री गर्न चाहने किसानले गाउँबाटै अलैँची बेच्न पाएका छैनन् । गाउँका व्यापारीले बजारमा चलेको भाउमा समेत अलैँची लिन नमानेपछि व्यापारीले भनेकै मूल्यमा बिक्री गर्नुपर्ने किसानको बाध्यता छ । गत वर्ष यस याममा अलैँची प्रतिकिलो रु दुई हजार ५०० मा कारोबार भएको थियो भने यस वर्ष मूल्य घटेर प्रतिकिलो  ६५०  रुपैयाँ पुगेकाे छ ।
मूल्य अझै घट्ने भन्दै व्यापारीले अहिलेको बजारभाउमा समेत अलैँची खरिद गर्न मानेका छैनन् । घरखर्च चलाउन समस्या परेका किसानले व्यापारीले भनेकै मूल्यमा अलैँची बिक्री गरिरहेका आठराई गाउँपालिका–४, इवाका शेरबहादुर इङ्नामले बताए। समय बित्दै जाँदा मूल्य बढ्ने आशामा रहेका कतिपय किसानले गत वर्षको अलैँचीसमेत बिक्री गरेका छैनन् । यस वर्षको नयाँ फसल पनि बिक्री गर्न शुरु भइसकेको छ ।
आर्थिक संकटमा परेका र थोरै मात्रै उत्पादन हुने किसानले सस्तोमै बिक्री गरिरहेका छन् । तर धेरै उत्पादन हुने र व्यावसायिक अलैँचीखेती गरिरहेकाले भने यस वर्षको अलैँची बिक्री गरेका छैनन् ।
“दशैँ खर्च धान्न २० किलो अलैँची लिएर बजार पुगेँ, तर व्यापारीले किन्नै मानेनन्”, इङ्नामले भने, “नबेचौँ, घर खर्च चाहिएको छ, बेचौँ भने व्यापारीले बजारभाउभन्दा पनि कम मूल्य मात्रै दिन्छु भने ।” अन्ततः कम मूल्यमै अलैँची बिक्री गरेर फर्किएको उनले सुनाए ।",Agriculture
"बदलिँदो मौसमका कारण मोरङमा उन्नत जातको धानबालीको उत्पादन घट्ने देखिएको छ ।
असोजमा अत्यधिक तापक्रमका साथै वर्षाले गर्दा मन्सुली सब–१ जातका धानबालीको पूल बिग्रेका कारण दाना नभरिएको र चपेटा भएर निस्केकाले उत्पादन घट्ने भएको हो ।
अन्तर्राष्ट्रिय धान अनुसन्धान संस्थाले मोरङमा विभिन्न पाँच प्रकारका उन्नत जातका स्वर्ण सब–१, मन्सुली सब–१, बीआरआर ४४, बीआरआर–४२ र तेहराङ जातका बीउ वितरण गरेको थियो । मन्सुली सब–१ जातिको धानबालीमा समस्या देखिएको सो संस्थानका कृषि अनुसन्धान तथा विकास अधिकृत कमल भट्टराईले जानकारी दिए।
मोरङका टङ्कीसिनुवारी, बाहुनी, कानेपोखरीलगायत ठाउँमा रोपाइँ गरिएको सो जातको अधिकांश धानबालीमा दाना नभरिएको र चपेटा भएर निस्केको उहाँले बताउनुभयो । सो जातका धानबालीमा देखिएका समस्याका कारण उत्पादनमा हुने ह्रासबारे जानकारी संकलन गर्ने कार्य भइरहेको छ ।
यसअघि सुक्खा मौसम र डुबान क्षेत्रमा बढी उत्पादन दिनसक्ने स्वर्ण सब–१, मन्सुली सब–१, बीआरआर–४४ र तेहराङ जातका १० टन बीउ वितरण गरिएको थियो । किसानलाई पाँच–पाँच किलोका दरले र सहकारी कृषक समूहलाई समेत बीउ उपलब्ध गराइएको थियो ।",Agriculture
