text,category
"नविन अर्याल
९ मंसिर, काठमाडौं । विद्युतीय सवारी साधन प्रयोगलाई विशेष प्राथमिकता दिने प्रधानमन्त्री केपी ओलीको घोषणालाई अर्थमन्त्री विष्णु प्रसाद पौडेलले लत्याएका छन् । अर्थमन्त्रीले मंगलबार साँझ जारी गरेको सरकारको तत्कालिक कार्यदिशा सम्बन्धी श्वेतपत्रमा विद्युतीय सवारीलाई सम्बोधन गरिएको छैन ।
प्रधानमन्त्री ओलीले कार्तिक २९ गते देशवासीका नाममा सम्बोधन गर्दै विद्युतीय सवारी साधनको प्रयोगलाई बढाउन ठोस योजना र कार्यक्रम ल्याउने घोषणा गरेका थिए । भारतीय नाकाबन्दीका कारण मुलुकमा तेलको हाहाकार भएपछि परनिर्भरता कम गर्न विद्युतीय सवारी साधन प्रयोगमा ल्याउनुपर्ने आवाज उठिरहेको छ ।
तर, अर्थमन्त्री पौडेलले श्वेतपत्रमा विद्युतीय सवारी साधनको विषयमा सम्बोधन समेत गर्न चुकेका छन् । सरकारको आर्थिक नीति तथा कार्यक्रम कार्यान्वयन गर्ने निकायले बेवास्ता गरेपछि प्रधानमन्त्रीको घोषणा संकटमा परेको छ ।
शहरी क्षेत्रमा विद्युततीय सार्वजनिक सवारी साधनलाई विशेष प्राथमिकता दिने, किफायती र विद्युतीय सवारीको प्रयोग बढाउने र काठमाडौं उपत्यकामा विद्युतीइ मेट्रो रेल सञ्चालन गर्ने प्रधानमन्त्रीले घोषणा गरेका थिए । उनले मेट्रो रेल सञ्चालनका लागि तत्कालै कम अगाडि बढाउने बताएका थिए ।
नेपालमा विद्युतीय सवारी साधनको प्रयोगलाई बढाउन सकेमा पेट्रोलियम पदार्थको आयात कम हुने थियो । प्रधानमन्त्रीले एक वर्षमा लोडसेडिङ हटाउने घोषणा गरिसकेको बेलामा विद्युतीय समाग्रीको प्रयोगलाई बढाउन अर्थमन्त्रायले विशेष ध्यान पुर्‍याउनुपर्ने थियो । अहिले नेपालमा सबैभन्दा बढी आयात हुने वस्तुमा पेट्रोलियम पदार्थ पर्ने गरेको छ ।
नेपालमा महिन्द्राको विद्युतीय कार बिक्री गर्दै आएको अग्नी इनर्जीका निर्देशक अर्जुनप्रसाद शर्माले सरकारमा विज्ञता नदेखिएको आरोप लगाए । ‘प्रधानमन्त्रीले नेतालेजस्तै भाषण ठोकिदिए, अर्थमन्त्रीले उनको भाषण लत्याइदिए’ उनले भने- ‘प्रधानमन्त्री र अर्थमन्त्रीबीच समन्वय नदेखिएको जस्तो लाग्यो ।’
अहिलेको अवस्थामा विद्युतीय सवारी प्रयोगलाई उच्च प्राथमिकतमा राख्नुपर्ने शर्माको धारणा छ । सरकारले विगतदेखि नै आश्वासन बाँड्दै आइरहेको बताउँदै उनले राम्रो भिजन भएको सरकार नआउँदा जनताले दुःख पाइरहनु परेको गुनासो गरे ।
सरकारले विद्युतीय सवारीको भन्सार तथा कर हटाएमा प्रयोगकर्ता बढ्ने विद्युतीय सवारी विक्रेताको विश्वास छ । ‘सरकार विद्युतीय सवारी प्रयोगलाई प्राथमिकता दिने बताउँछ, तर विद्युतीय सवारीको लोकपि्रयता बढाउने काम गर्न सक्दैन’ उनले भने- ‘काठमाडौंमा भित्रिएका विद्युतीय बसहरु लामो सयमदखि रुट नपाउँदा थन्किएर बसेका छन्, सरकारले ती बसहरु चलाउन चासो नै दिएको छैन ।’
विद्युतीय कार, विद्युतीय रिक्सा, विद्युतीय मेट्रो रेल, विद्युतीय मोटरसाइकल तथा स्कुटरको प्रयोगलाई बढाउन पनि सरकारले नीति बनाउनुपर्ने देखिन्छ । सरकारले पेट्रोल तथा डिजेल गाडीको तुलनमा विद्युतीय गाडीको भन्सार तथा कर केही कम असुले पनि शुन्यमा झार्नुपर्ने व्यवसायीको माग छ ।",automobiles
"﻿२२ पुस, काठमाडौं । यातायात व्यवस्था विभागले नम्बर प्लेट नराखिएका र दर्ता नभएका हेभी इक्वीपमेन्टहरु नियन्त्रणमा लिन सुरु गरेको छ ।
जथाभावी हेभी इक्वीपमेन्टहरु ल्याएर दर्ता नै नगरी चलाउने क्रम तीब्र भएपछि विभागले निर्माणमा प्रयोग हुने हेभी इक्वीपमेन्टको अनुगमन सुरु गरेको हो ।
विभिन्न निर्माणका क्रममा प्रयोग हुने एक्स्काभेटर, डोजर, लोडर लगायतका ठूला उपकरणमाथी निगरानी बढाइएको विभागका निर्देशक तथा प्रवक्ता बसन्त अधिकारीले अनलाइनखबरलाई जानकारी दिए ।
सोही अभियान अन्तरगत खटिएको अनुगमन टोलीले बुधबार बिहान एउटा एक्स्काभेटरको कागजपत्र नियन्त्रण लिएको छ ।
नम्बर प्लेट नराखी चलाइएको पाएपछि विभागले एक्स्काभेटरका चालकको अनुमतिपत्र सहित स्काभेटरका कागजात नियन्त्रणमा लिइएको प्रवक्ता अधिकारीले बताए ।
विभागले स्काभेटरको ब्लु-बुक लिएर विभागमा उपस्थित हुन सम्बन्धित एक्स्काभेटर मालिकलाई निर्देशन दिएको छ ।
‘ठूला यन्त्र उपकरणमा नम्बर प्लेट नराख्ने क्रम तीब्र भएको पायौ। त्यसैले अनुगमन सुरु गरेका हौं ।’ निर्देशक अधिकारीले भने-‘जथाभावी नम्बर प्लेट नराखेर चलाउनु गैह्र-कानुनी हो ।’",automobiles
"परिचारिकासहित राजधानीमा गुड्ने बस
नविन अर्याल
२४ पुस, काठमाडौं । गाडीको प्रतिक्षामा सडकमा अनिश्चतकालसम्म उभिनु, कोचाकोच यात्रु बोकेर धरमराउँदै आएको थोत्रो बसमा हाँपझाँप गर्दै खुट्टा राख्नु, सहचालकको भनाई खाँदै यात्रा गर्नु महानगरवासीका पछिल्ला दैनिकी हुन् । सिंहदरबारदेखि फेसबुकसम्म राजधानीमा कसरी सार्वजनिक यातायात स्तरीय बनाउन सकिन्छ भन्ने गफको तुफान चलिरहेकै छ । तर, गफले चिया पाक्दैन !
अब भने ‘चिया पाक्ने’ अलिकति छाँटकाँट देखिएको छ । स्तरीय गाडीमा सम्मानपूर्वक यात्रा गर्ने राजधानीवासीका सपना आउँदो माघ १५ गतेपछि विपनामा परिणत हुन सक्छ । किनकी सो मितिबाट महानगर यातायात प्रालिले रिङरोडमा अहिलेसम्मकै सुविधायुक्त बस सेवा सञ्चालन गर्ने तयारी गरेको छ ।
यी बसमा तपाईंले विमानमा जस्तै यात्रुको सेवाका लागि तम्तयार ‘महिला परिचारिका’ देख्नुहुनेछ । एसएलसी पास गरेका तालिमप्राप्त बस परिचारिकाले झर्किएर हैन, नम्र भएर यात्रुहरुको सेवा सत्कार गर्नेछन् । परिचारिकाका लागि आकर्षक ड्रेसको व्यवस्था गरिने बताइएको छ ।
लेडिज परिचारिकाको लागि दरखास्त आहृवान गरिसकेको महानगर यातायातका उपाध्यक्ष सन्तोष खतिवडाले बताए । १८ वर्षदेखि २५ वर्षसम्मका युवती तथा महिला परिचारिका बन्न पाउनेछन् । कम्पनीले सबै कर्मचारीलाई आकर्षक तलव दिएर राख्ने दाबी गरेको छ । ‘हामी राम्रो तलब र सेवा सुविधा दिन्छौं, तर, कर्मचारीको काम चुस्त चाहिन्छ,’ उनले भने ।
महानगर यातायातले स्वयम्भू यातायात समितिसँग मिलेर रिङरोडमा स्तरीय बस सञ्चालन गर्न लागेको हो । ‘पहिलो चरणमा ३९ बसबाट रिङरोडमा सेवा सुरु गर्छौं,’ उपाध्यक्ष सन्तोष खतिवडाले अनलाइनखबरसँग भने, ‘यात्रुको फिडब्याक अनुसार दोस्रो चरणमा रिङरोडभित्र पनि सेवा सञ्चालन गर्ने योजना छ ।’ महानगर यातायात सञ्चालनका लागि सिभिल बैंकले फाइनान्सिङ गरेको उनले जानकारी दिए ।
जिपिएस ट्र्याकिङ र वाइफाइ पनि
सन्तोष खतिवडा
कम्पनीका सबै बसहरुमा जीपीएस ट्रयाकिङ सिस्टम जडान गरिने छ । मोबाइलमा कम्पनीको ‘भेहिकल ट्रयाकिङ एप’ डाउनलोड गरेपछि बसहरु कुन स्थानमा छन्, मोबाइलबाटै हेरेर प्रतिक्षालय पुग्न सकिने छ ।
अहिलेसम्म यस्तो ट्रयाकिङ प्रविधि नेपालमा कुनै पनि बस कम्पनीले प्रयोगमा ल्याउन सकेका छैनन् । यात्रुहरुका लागि यो प्रविधि पनि नौलो हुनेछ ।
गाडीमा यात्रुको सुविधाका लागि वाईफाई सुविधा राखिने भएको छ । यसका लागि नेपाल टेलिकमसँग कुरा भइरहेको खतिवडाले जानकारी दिए । यसका साथै गाडीमा टिभीसमेत राखिने छ । यात्रुले गीत सुन्दै भिडियो हेर्दै यात्रा गर्न सक्नेछन् ।
७० यात्रु बोक्ने
टाटाको प्रिमियम ब्रान्ड अल्ट्रा बसमा ३२ सीट सिट रहेका छन् भने बसको बीचमा हाइड्रोलिक ढोका राखिएको छ । चार फिटको ढोकामा पार्टेसन रहेको बताउँदै उपाध्यक्ष खतिवडाले भने, ‘ढोकाको एउटा भागबाट यात्रुहरु बसमा चढ्न सक्नेछन् भने अर्को भागबाट र्झनेछन् ।’
यो गाडीले एक पटकमा ७० जना यात्रु बोक्न सक्नेछ । ३२ जनाले सीटमा बसेर यात्रा गर्न सक्नेछन् भने बाँकी यात्रुका लागि सिलिङमा ‘स्ट्राइक’ समातेर उभिने व्यवस्था गरिएको छ । गाडी ठूलो भएको हुँदा कोचिनुपर्ने अवस्था नरहने खतिवडाको दावी छ ।
दिनहु नुहाइधुवाई
राजधानीमा सञ्चालित अधिकांश बसहरु लामो समयसम्म सफा नगर्दा गन्हाउँछन् । तर, महानगर यातायातले हरेक दिन सबै बसहरु सफा गर्ने भएको छ । यसका लागि बनस्थलीमा ४ रोपनी क्षेत्रफलमा ग्यारेज बनाएको खतिवडाले जानकारी दिए ।
‘ग्यारेज परिसरमा हामीले ठूलो इनार खनेका छौं, सबै गाडी हामीले हरेक दिन धुनेछौं,’ खतिवडाले भने, ‘बसभित्र पनि हरेक दिन सरसफाई गरिनेछ ।’
कार र मोटरसाइकल थन्किने दावी
उपाध्यक्ष खतिवडाले महानगर यातायात सञ्चालनमा आएपछि निजी सवारीको प्रयोग घट्ने दाबी गरे । स्तरीय बस सेवा नभएको हुँदा राजधानीवासीमा निजी सवारी चढ्ने प्रवृत्ति बढेको बताउँदै उनले यसबाट राजधानीमा ट्राफिक चाप बढ्दै गएको बताए ।
‘काठमाडौंमा मास ट्रान्सपोर्टसन सञ्चालन गर्ने धेरै भाषण भए, तर अहिलेसम्म व्यवहारमा लागू भएन,’ उनले भने, ‘हाम्रो उद्देश्य काठमाडौंमा स्तरीय मास ट्रान्सपोर्टेसन सेवा विस्तार गर्ने हो ।’
भारतको दिल्लीमा मेट्रो बस चलेपछि ट्राफिक कम भएको उदाहरण दिँदै खतिवडाले आफूहरुको पनि निजी सवारीको प्रयोगलाई घटाउने प्रमुख लक्ष्य रहेको बताए । ‘हाम्रो उद्देश्य यात्रुले आफ्नो कार र मोटरसाइकल घर तथा अफिसमा थन्काएर महानगर यातायात चढुन् भन्ने हो,’ उनले भने ।
पहिलो चरणमा रिङरोडमा ३९ बस चलाउन थालेको बताउँदै खतिवडाले काठमाडौं उपत्यकाभर एक सय बस चलाउने लक्ष्य रहेको बताए । पहिलो फेजमा यात्रुबाट पाएको प्रतिक्रिया अनुसार सेवा विस्तार गरिने भएको छ ।
‘रिङरोड विस्तार भइरहेको हुँदा पहिलो चरणमा ९ फिट लम्बाई भएका बसहरु ल्याएका छौं, रिङरोड विस्तार भएपछि १२ फिट लामा बसहरु ल्याएर रिङरोडमा चलाउँछौं भने अहिलेका बसहरु रिङरोडभित्र चलाउँछौं,’ खतिवडाले भने ।
सुविधा बढी, भाडा उही
कम्पनीले उच्चस्तरको सेवा सुविधा दिएपनि सरकारले तोकेकै भाडामा यात्रुलाई सेवा दिने भएको छ । कम्पनीले तत्कालका लागि टिकटिङको व्यवस्था गर्ने र दोस्रो चरणमा स्मार्ट कार्डमा जाने खतिवडाले बताए ।
महानगर यातायातले करिव डेढ सय जनालाई प्रत्यक्ष रोजगारी प्रदान गर्ने भएको छ । कम्पनीले ५० जना ड्राइभर, ५० जना परिचारिका र ५० जना अन्य कामदार राख्ने जनाएको छ ।",automobiles
"भारतीय अटो कम्पनी महिन्द्रा एण्ड महिन्द्राले नयाँ सब कम्प्याक्याट एसयुभी ‘केयुभी १००‘ सार्वजनिक गरेको छ ।
झट्ट हेर्दा ‘एक्सयुभी ५००’ जस्तै देखिने यो कार एक्सयुभीको डिजाइनबाट प्रेरित रहे पनि निकै सस्तो र आर्कषक छ । जसका कारण मध्यमस्तरको ह्याचब्याक र इन्ट्री लेभलको एसयुभी चढ्ने ग्राहकलाई यसले आर्कषिर्त गर्ने छ ।
धेरैजसो डिजेल गाडीका लागि प्रख्यात महिन्द्राले यो नयाँ गाडी पेट्रोल र डिजेल दुवैमा उपलब्ध गराएको छ । आठवटा मोडल र ६ वटा रंगमा उपलब्ध केयुभी १००को मूल्य ४ लाख ४२ हजारदेखि ६ लाख ७६ हजार भारतीय रुपैयाँसम्म रहेको छ ।

महिन्द्राले यसलाई सवैभन्दा कम इन्धन खपत गर्ने एसयुभी भएको दावी गरेको छ । डिजेलमा २५.३२ किलोमिटर र पेट्रोलमा १८.१५ किलोमिटर माइलेज दिने कम्पनीले जनाएको छ । डिजाइन, सुविधा र मूल्यको आक्रामकताले निकै ठूलो बजार हिस्सा लिन सक्ने कम्पनीले बिश्वास लिएको छ ।
कम्पनीले भारतमा मासिक ६ देखि ७ हजार युनिट केयुभी १०० को उत्पादन गर्दै छ । यो माग बढेर मासिक १२ हजार युनिटसम्म बिक्रि गर्न सकिने कम्पनीले बिश्वास लिएको छ ।
दक्षिण एशियाली बजारमा इन्ट्री लेभलका एसयुभी प्रयोगकर्ताको निकै संख्या छ । भारतमा रेनल्ट डस्टर र फोर्ड इकोस्पोर्टको सफलताले पनि कार निर्माताहरुलाई यही सेगमेन्टमा काम गर्न प्रेरित गरेको छ ।   ",automobiles
"१० माघ, काठमाडौं । स्कुटर भन्नासाथ महिलाले मात्र प्रयोग गर्ने सवारीसाधन सम्झने जमाना रहेन अब । के महिला के पुरुष काठमाण्डौका सडकमा स्कूटर चढ्नेको बाहुल्यता देखिन्छ । नेपाली उपभोक्तामाझ निकै लोकप्रिय बनेको हिरो ब्राण्डले हालै ड्यास मोडलको स्कुटर नेपाली बजारमा भित्राएको छ ।
अत्याधुनिक सुविधा र आर्कषक डिजाइनमा आएको ड्यासले केही समयभित्रै नेपाली ग्राहकको मन जित्न सफल भएको छ । आज हामी तपाइँलाई ड्यास भिएक्स भेरियन्टको रिभ्यु टेष्ट ड्राइभसहितको रिभ्यु प्रस्तुत गर्दैछौं ।
भिडियो

ड्यासमा ११० सीसी क्षमतायुक्त पेट्रोल इञ्जिन जडान गरिएको छ । पावर भएको स्कुटर खोज्ने ग्राहकलाई ड्यास उपयुक्त मोडल हो । हेर्दै स्टाइलिस र स्पोर्टी देखिने ड्यास आकर्षक प्राविधिक विशेषताले भरिपूर्ण रहेको छ ।
चालकलाई विलासिताको अनुभव गराउन यसमा इन्टिग्रेटेड ब्रेकिङ सिष्टम जडान गरिएको छ । चावीबाटै डिकी र फ्युल ट्यांकी खोल्न सकिन्छ ।  प्रायः स्कुटरमा डिकी खोलेर इन्धन भनुपर्ने भएपनि यसमा त्यो झण्झट गर्नु पर्दैन ।
टेलिस्कोपिक फ्रन्ट सस्पेन्सन र सकको प्रयोगले तपाइँको ड्राइभिङ आरामदायि बनाउने छ । ड्यासमा दुवै टायर ट्युवलेस छन् ।

यूरो थ्री स्टाण्डरको यो स्कुटरमा चावी अन गर्नासाथ पार्किङ लाइट बल्छ भने स्टार्ट गर्नासाथ हेडलाइट बल्छ । हेडलाइट फरक स्टाइलमा डिजाइन गरिएको छ । हेडलाइट बलिरहने भएपनि ब्यट्रीलाई कुनै असर गर्दैन । हेटलाइट सिधै डाइनामोसँग कनेक्सन गरिएको छ ।
यसमा दुइवटा क्यारियर बनाइएको छ जहाँ ५-५ केजी गरी दश केजी सामान बोक्न सकिन्छ ।
यसको मुख्य विशेषता मोवाइल चार्जिङ सिस्टम हो । डिक्की भित्र रहेको युएसवी चार्जरमा मोवाइल सजिलै चार्ज गर्न सकिन्छ ।
यसैगरी सर्भिसिङ गर्न सम्झाउने इन्डिकेटर, डिक्कीमा बत्ती, चोरी हुनबाट रोक्ने एन्टी थेप्ट इमोबिलाइजर, मर्मत गर्न नपर्ने ब्याट्री लगायतका सुविधा ड्यासका अतिरिक्त खास बिशेषता हुन् ।

माइलेजको कुरा गर्दा ड्यास फ्युल किफायति साधन हो भन्दा फरक पर्दैन् । ड्यासले ६० किलोमिटर प्रतिलिटर माइलेज दिने बताइएको छ । नेपाली बजारमा ड्यास एलएक्सको मूल्य १ लाख ६७ हजार ५ सय र ड्यास भिएक्सको मूल्य १ लाख ७१ हजार ५ सय रुपैयाँ पर्दछ ।
समग्रमा हिरो ड्यास अत्याधुनिक सुविधायुक्त फेसनेवल र स्मार्ट स्कुटर हो । यसलार्इ स्टाइल र लक्जरीको संयोजन भन्दा फरक पर्दैन् । यही बिशेषताका कारण हिरो ड्यासले नेपाली सडकमा ड्यासिङ उपस्थीति जनाउने बिश्वास गर्न सकिन्छ ।",automobiles
"२४ माघ, काठमाडौंं । इन्धन मूल्य घटेसँगै सार्वजनिक सवारीको भाडादर घट्ने अपेक्षामा रहेका काठमाडौंवासी निराश बन्नुपर्ने भएको छ । यातायात व्यवस्था विभागले तयार गरेको प्रस्तावमा छोटो दुरीको सवारी भाडा यथावत राखिएको छ भने लामो दुरीका भाडा नगण्यरुपमा घटाइएको छ ।
प्रस्ताव जस्ताको तस्तै पारित भएमा अहिले २१ रुपैयाँसम्म तिर्नुपर्ने रुटमा भाडा घट्ने छैन । यसको मतलब काठमाडौंवासीले पुरानै भाडा तिनुपर्ने हुन्छ । प्रस्तावअनुसार प्रत्येक १ सय किलोमिटरको दुरीमा साविकको भाडाभन्दा ५ रुपैयाँ कम हुने छ । यो नगण्य गिरावट हो ।
डिजेल र पेट्रोलको मूल्य सस्तिएपछि विभागले ब्यवसायीसँग छलफल गरेर वैज्ञानिक भाडादर कायम गरेको विभागका महानिर्देशक चन्द्रमान श्रेष्ठले दावी गरे । विभागको प्रस्ताव अहिले भौतिक पूर्वाधार तथा यातायात व्यवस्था मन्त्रालयमा पुगेको छ । मन्त्रालयले निर्णय गर्नासाथ नयाँ भाडादर लागू हुनेछ ।
न्युनतम भाडा १३ रुपैयाँ
विभागले ४ किलोमिटरसम्मको न्युनतम भाडादर पुरानै १३ रुपैयाँ कायम राखेको छ । यसअनुसार सार्वजनिक सवारीमा ४ किलोमिटरसम्म यात्रा गर्नेले पुरानै दरमा गाडीभाडा तिनुपर्ने भएको छ ।
१६ किलोमिटरभन्दा माथिको रुटमा गुड्ने सवारी साधनको भाडा भने थोरै घटाउन प्रस्ताव गरिएको छ । यसअघि १६ किलोमिटरसम्म यात्रा गर्नेले २३ रुपैयाँ तिर्नुपर्नेमा अब २२ रुपैयाँ तिर्नुपर्ने हुन्छ ।
यसैगरी १९ किलोमिटरसम्मको भाडा २४ रुपैयाँ रहेकोमा २३ रुपैयाँ र १९ किलोमिटर भन्दा माथिको भाडा २५ रुपैयाँबाट २४ रुपैयाँ बनाउने विभागले निर्णय गरेको छ ।
बिहीबार प्रधानमन्त्री केपी शर्मा ओलीले पनि यातायात मन्त्रालयलाई तत्काल भाडा घटाउन  निर्देशन दिएका थिए । एमाओवादी, वैद्य माओवादी र विप्लव माओवादीले पनि भाडा समायोजन गर्न माग गर्दै संयुक्तरुपमा आन्दोलन गर्दै आएका छन् ।",automobiles
"६ फागुन, काठमाडौं । भारतीय गाडी निर्माता कम्पनी टाटा मोटर्सको नयाँ पिकअप एस मेगा नेपाली बजारमा आएको छ । टाटा मोटर्सको नेपाली बिक्रेता सिप्रदी ट्रेडिङ प्रालीले एक टन पेलोड क्षमताको नयाँ पिकअप भित्राएको हो ।
नयाँ पिकअप नेपालमा अत्यन्तै उपयोगी हुने कम्पनीको दाबी छ । यसमा ८०० सीसीको डिकोर डिजेल इञ्जिन जडान गरिएको छ । तीस लिटरको ट्यांकी भएको एस मेगाले २०.६ किलोमिटर प्रतिलिटर माइलेज दिने बताइएको छ ।
यसमा नयाँ र हलुका बजनको आल्मुनियम इञ्जिन प्रयोग गरिएको छ । ३७५० आरपीएममा अधिकतम ४० एचपीको पावरसहित आफ्नो वर्गमा उत्कृष्ट बनेको छ । कम्पनीका अनुसार यो गाडी भारी लोड भएको बेलामा पनि सजिलै चलाउन सकिन्छ ।

यो गाडीमा ९० केएमपिएचको उत्कृष्ट स्पिड क्षमता छ । घुमाउरो तथा अप्ठेरो बाटोमा पनि यो गाडी छिटो घुमाउन वा बदल्न सकिने कम्पनीको दबी छ । यसमा ठूलो सि.५४ को फ्रन्ट ब्रेक र २५४ मिलिमिटरको डिस रियर ब्रेक रहेको छ ।
कम्पनीले यो गाडीको खरिदमा एक वर्षको फुल इन्स्योरेन्स र कर पनि तिरिदिने बताएको छ । गाडीमा दुई वर्ष वा ७२ हजार किलोमिटरको वारेन्टी समेत प्रदान गर्ने बताइएको छ । देशभर रहेका २५ वटा सर्भिस सेन्टरबाट गाडी सर्भिसिङ गर्न सकिने छ ।
नेपाली बजारमा नयाँ एस मेगाको मूल्य १३ लाख ५५ हजार रुपैयाँ तोकिएको छ । सोतो र निलो रङमा उपलब्ध यो गाडी सानो पिकअप सेग्मेन्टअन्तर्गत सबैभन्दा कम मूल्यको भएको कम्पनीको दाबी छ ।
भिडियो हेर्नुहोस्",automobiles
"६ फागुन, काठमाडौं । टिभिएस मोटरसाइकलको नेपाली बिक्रेता शंकर ग्रुप सिराहाको गोल बजारमा शो-रुम खेलेको छ । जगदम्बा मोटर्सका उपाध्यक्ष दीपक कुमार अग्रवाल र माहाबिर अटोमोबिल्सका महेश शर्माले संयुक्त रुपमा शो-रुम उदघाटन गरे ।
शो-रुममा टिभिएसका सम्पूर्ण बाइक तथा स्कुटरहरु बिक्रीमा राखिएको छ । अपाचे १६० सिसी, अपाचे १८० सिसी, जुपिटर, विगो, जेस्ट, फिनिक्स १२५ र स्टारसिटी प्लस ११० शो-रुममा छन् ।
शो-रुम उदघाटन कार्यक्रममा नयाँ अपाचे आरटिआर म्याट ब्लु एडिसन र तराई भेगका लागि विशेष उपयुक्त सय सिसीको टिभिएस स्पोर्ट पनि प्रदर्शनीको लागि राखिएको थियो ।",automobiles
"३ चैत, काठमाडौं । यामाहा बाइक तथा स्कुटरको नेपाली बिक्रेता एमएडब्ल्यू इन्टरप्राइजेजले ‘यामाहा फेस अफ फेसिनो’ प्रतियोगिता सुरु गरेको छ । मिस नेपाल-२०१६ का अन्तिम प्रतिस्पर्धीहरुलाई लिएर कम्पनीले प्रतियोगिता सुरु गरेको हो ।
प्रतियोगिता अन्तर्गत एक जना भोटरले यामाहा फेसिनो स्कुटर जित्न सक्ने कम्पनीले जनाएको छ । मिस नेपाल प्रतियोगिताको अन्तिम प्रतिस्पर्धामा छनौटमा पर्न सफल १९ जना प्रतिनिधिहरु यामाहाको आधिकारिक फेसबुक पेज तथा शो-रुम भोटिङ प्रतिस्पर्धामा जानेछन् ।
यामाहाको फेसबुक पेजमार्फत भोटरले आफुलाई मन परेको एक वा बढी मिस नेपाल प्रतिस्पयोगीलाई भोटिङ गर्न सक्नेछन् । प्रतियोगीलाई भोटिङ गर्ने एक जना भाग्यशाली भोटरले लक्की ड्र मार्फत स्कुटर जित्नेछ । यामाहाको कुनै पनि शो-रुममा गएर भोटिङ गर्न सकिने कम्पनीले जनाएको छ ।

कम्पनीले मिस नेपाल प्रतियोगिताको ग्रान्ड फाइनलमा एक जना प्रतियोगीलाई ‘यामा फेस अफ फेसिनो’ शिर्षकमा सम्मानित गर्ने भएको छ । बिजेता छनौटका मापदण्ड ५० प्रतिशत फेसबुक भोटिङ र यामाहा शो-रुम भिजिटबाट र बाँकी ५० प्रतिशत जुरी प्यानलको निर्णयबाट हुने बताइएको छ ।
‘यामाहा फेस अफ फेसिनो’ बिजेता मिस नेपाल प्रतियोगीले यामाहाको विशेष पुरस्कारको साथै भविष्यमा हुने यामाहाको अभियाना तथा कार्यक्रममा सहभागी हुने मौका प्राप्त गर्नेछिन् ।
कम्पनीले यामाहाको प्रशिक्षित पेसेवर प्रशिक्षकद्धारा यामाहा सेफ राइडिङ अन्तर्गत चालक तथा पैदलयात्रीलाई सडकको सुरक्षाको बारेमा जानकारी दिएको छ । यस्तो कार्यक्रम काठमाडौंभित्र र बाहिर गरी २० वटा भन्दा बढी कलेजमा दिइसकेको कम्पनीले जनाएको छ ।

कम्पनीले सामाजिक उत्तरदायित्व अन्तर्गत मिस नेपालका सबै १९ जना प्रतियोगीहरुको उपस्थितीमा बानेश्वर चोडकमा सडक सुरक्षाका बारेमा चेतनामुलक कार्यक्रम अन्र्तगत विभिन्न किसिमका ट्राफिक नियम सम्बन्धी पर्चा/पम्पलेटहरु वितरण गरेको छ ।",automobiles
"४ चैत, काठमाडौं । शंकर ग्रुपअन्तर्गतको जगदम्बा मोटर्सले इटहरीमा टिभिएस बाइकको शो-रुम खोलेको छ । पारस अटोमोबाइल्सले इटहरीमा टिभिएस बाइक तथा स्कुटर बिक्री वितरण गर्ने भएको हो ।
शो-रुममा टिभिएसका सम्पूर्ण बाइक तथा स्कुटरहरु उपलब्ध हुने बताइएको छ । खासगरी, अपाचे १६० सिसी, अपाचे १८० सिसी, जुपिटर, विगो, जेस्ट, स्पोर्टस १००, फिनिक्स १२५ र स्टारसिटी प्लस ११० उपलब्ध हुनेछन् ।
इटहरीको शो-रुमसँगै टिभिएसका नेपालभरी ६५ वटा सर्टिफाइड सर्भिस प्वाइन्ट र ६१ वटा शो-रुमहरु पुगेका छन् । कम्पनीले शो-रुमहरुबाटसेल्स, सर्भिस र स्पेयर्स सेवा प्रदान गर्नेछ ।
टिभिएस मोटर भारतको तेस्रो ठुलो दुई पाङग्रे बिक्रेता भएको दाबी गरिएको छ । टिभिएस मोटर कम्पनीको वाषिर्क उत्पादन क्षमता ३० लाख दुई पाङग्रे र १.२ लाख तीन पाङग्रे सवारी साधन रहेको छ ।",automobiles
