text,category
"
﻿गतवर्षदेखि शुरु सीजी कामना फिल्म अवार्ड यसवर्ष नहुने भएको छ । वैशाखमा गएको भुकम्प र त्यसपछिको नाकाबन्दीका कारण दोस्रो संस्करणको अवार्ड नयाँ वर्षको सुरुवातमै हुने आयोजकले जनाएको छ ।
‘भुकम्प र नाकाबन्दीका कारण हामीले अवार्डलाई रमाइलो मनले गर्न नसक्ने ठानेर यसवर्ष नगरेका हौं’ आयोजक संस्था कामना प्रकाशन गृह प्रमुख पुस्करलाल श्रेष्ठले भने । मंगलबार होटल साल्टीमा रात्री भोजको आयोजना गर्दै आयोजकले २०७२ मा अवार्ड गर्न नसकिएको जानकारी गराएको हो ।
सहज परिस्थिती भएको खण्डमा दोस्रो संस्करण मंसीरमा हुनु पर्ने थियो । अब झन्डै छ महिनापछि धकेलिने भएको हो । कार्यक्रममा फिल्मकर्मीको बाक्लो उपस्थिती रहेको थियो ।",entertainment
"
﻿४१ सुन्दरीहरुलाई पछि पार्दै मिस नर्स नेपालको उपाधि मिनुष कायस्थले जितेकी छन् । नर्सिङ पेसामा आवद्घ युवतीहरुको प्रतियोगीको रुपमा रहेको यो प्रतियोगितामा सृष्टि राउत र लक्ष्मी रिजाल क्रमश: फष्ट र सेकेण्ड रनर अप बने ।
शीर्ष उपाधि विजेता मिनुषले ताजसागै अष्ट्रेलियामा अध्ययन छात्रवृत्ति र विभिन्न गिफ्ट ह्याम्पर पाईन् भने फष्ट र सेकेण्ड रनरअपले पनि छात्रवृत्ति संगै गिफ्ट ह्याम्पर जिते ।
विधागततर्फ दिव्या भण्डारी ‘ब्युटी विथ ब्रेन’, नयुमा राई ‘बेष्ट पर्सनालिटी’, वर्षा कार्की ‘बेष्ट क्याटवक’, सुबी लामा ‘बेष्ट नर्सिङ थिम ड्रेस’, सम्झना श्रेष्ठ ‘मष्ट पपुलर’, स्वेता थापा ‘पब्लिक च्वाईस’, रिया देउला ‘मष्ट डिसिप्लेन’, श्रृष्टि राउत ‘मष्ट ट्यालेन्ट’, सपना घर्ती मगर ‘बेष्ट स्माइल’ घोषित भए ।

त्यस्तै अनुषा राजभण्डारी ‘मष्ट चार्मिङ’, पुजा तामाङ ‘बेष्ट स्किन’, प्रिमा मानन्धर ‘बेष्ट हेयर’, रमा श्रेष्ठ ‘मष्ट फोटोजेनिक’, कृपा श्रेष्ठ ‘सोसियल्ली रेस्पोन्सिबल नर्स’, सुष्मा श्रेष्ठ ‘मष्ट फ्रेण्डली’, स्तुति सिंह राठौर ‘मष्ट बब्ली’ र वर्षा राना ‘मष्ट ब्युटिफुल’ बने ।
प्रतिभा निखार्दै पेसा र समाज प्रति थप जिम्मेवार र उत्तरदायी बनाउने उदेश्यले आयोजना गरेको आयोजक संस्था नेक्स्ट मोडल्स नेपालले बताएको छ ।",entertainment
"
﻿काठमाडौं । पूर्व गृहमन्त्री भोजराज घिमिरेको संस्मरणात्मक पुस्तक ‘मोडहरूमा म’ को शनिबार एक समारोहका बीच विमोचन गरिएको छ । कार्यक्रमका प्रमुख अतिथि नेपाल प्रज्ञा प्रतिष्ठानका उपकुलपति डा.विष्णुविभु घिमिरेले उक्त पुस्तक सार्वजनिक गरे ।
महोत्तरी परिवार, काठमाडौंको आयोजनामा सम्पन्न विमोचन कार्यक्रममा प्रमुख अतिथि डा.घिमिरेले विमोचित पुस्तक इतिहासको गम्भीर अध्ययन गर्नका लागि एउटा सुत्र भएको उल्लेख गरे ।
महोत्तरी परिवारका अध्यक्ष किरण थापाको सभापतित्वमा सम्पन्न कार्यक्रममा महोत्तरी जिल्लाका वरिष्ठ व्यक्ति पूर्व प्रधानन्यायाधीशहरु केदारनाथ उपाध्याय, केदारप्रसाद गिरी, रामकुमार प्रसाद शाह, पूर्व न्यायाधीश गिरिशचन्द्र लाल, राजनीतिज्ञ नवराज सुवेदी, प्रा.डा. वीरेन्द्रप्रसाद मिश्र, प्रा. महेन्द्रनारायण मिश्र, विमलकुमार शर्मा, ऋषिराज घिमिरे, राजेश खनाल, विजय रौनियार र नारायण प्रसाद घिमिरेले पुस्तकका लेखक भोजराज घिमिरेका विषयमा प्रकाश पारेका थिए ।",entertainment
"
﻿नेपाली रंगमञ्चले विस्तारै फड्को मार्दैछ, काठमाण्डौंमा थिएटर हलको संख्या आधा दर्जन पुगीसक्यो उपत्यका बाहीर पनी खोल्ने तयारी जारी छ । यसै बिच अनामनगर स्थित मण्डला नाटकघरले ‘मोवाइल थिएटर’ उद्घाटन गरेको छ । ‘जुनकिरी’ नाम दिएको उक्त कार्यक्रम एउटा बसलाई इन्जिनियरको साहयताले रंगमञ्चको रुप दिइएको हो ।

 
बरिष्ठ सस्कृतिविद् सत्यमोहन जोशी द्वारा उद्घाटन गरिएको उक्त कार्यक्रममा बोल्दै सस्कृतिविद जोशीले बामे सर्दै यहा सम्म आइपुगको रंगमञ्चले आज फेरी अर्को फड्को मारेको बताए । त्यस्तै एमाले नेता रघुुजी पन्तले थिएटर विनाको शहर कुरुप हुने भन्दै नेपाली रंगमञ्चको उपलब्धीको प्रशंसा गरे ।
मण्डलाका निर्देशक बर्षौ देखि देखको सपना पुरा भएको बताउदै शहरमा मात्र खुम्चिएर बसेको भन्दै मोवाइल थियटर मार्फत नाटकलाई गाउगाउ पुर्‍याउने प्रतिवद्घता गरे । जर्मन सरकारको आर्थीक सहयोग रहेको यो कार्यक्रममा जर्मन नियोगका प्रतिनिधीले मण्डला थिएटरकी उपाध्यक्ष सिर्जना सुब्बाले मोवाइल थिएटर हस्तानान्तरण गरेका थिए ।

कार्यक्रमको दोस्रो भागमा मण्डला थिएटर कलाकारले तयार पारेको नाटक ‘मनचिन्ते फिरन्ते’ मञ्चन गरिएको थियो । लियो लियोनस्को प्रसिद्घ कथा फ्रेडिरिक मा आधारित रहेर विप्लव प्रतीक सोमनाथ खनालले नाटकमा ढालेका हुन् । आशान्त शर्मा, सिर्जना सुब्बा, बिजय वराल, सारदा अधिकारी, शक्ति राई, प्रेमबर्षा खड्का, सन्देश लामिछाने, दिलजंग गुरुङ्ग, लक्ष्मी बर्देवा, सन्दिप श्रेष्ठ, उमेश तामाङ्ग लगायतको अभिनय रहेको थियो । कार्यक्रमको कार्यक्रमको अन्त्यमा बोल्दै एकबर्ष भित्र मोवाइल थिएटर नाटक लिएर काठमाण्डौं उपत्यकाका १५ वटा ठाउँमा मञ्चन हुने र आगामी बर्षदेखि उपत्यका बाहीर लैजाने तयारी रहेको बताए ।",entertainment
"
﻿मण्डला नाटक घरले घुम्ती नाटक घरको व्यवस्था गरेको छ । देशका विभिन्न स्थानका दर्शकहरुको सुविधालाई ध्यानमा राख्दै मण्डलाले ट्रकलाई थियटर बनाएर नाटक मञ्चन शुरु गरेको हो ।
‘जुनकिरी घुम्ती रंगमञ्च बस’ नाम दिइएको यो ‘मोबाइल थियटर’ को वरिष्ठ संस्कृतिविद एवम् नाटककार सत्यमोहन जोशीको उपस्थितिमा ५ चैतमा उद्घाटन गरियो ।
उदघाटन समारोहमा इटालियन नाटककार लियो लियोनीको नाटक ‘फ्रेडरिक’ को नेपाली अनुवाद ‘मनचिन्ते फिरन्ते’ प्रदर्शन गरिएको थियो ।
जुनकिरी थियटरका लागि जर्मन सहयोग नियोग (जिआईजेड) ले विशेष ट्रक उपलब्ध गराएको थियटरकी उपाध्यक्ष सिर्जना सुब्बाले जानकारी दिइन् । मण्डलाका निर्देशक राजन खतिवडा र रोबोटिस्ट इन्जिनियर अनिल कार्कीको परिकल्पनामा आधारित भएर वायु विमान इन्जिनियरहरुको समूह एडेन इन्जिनियरिङ्गले यसको संरचना निर्माण गरेको हो ।
मण्डलाले बैशाख महिनामा उपत्यकाका १५ स्थानमा जुनकिरीमा नाटक प्रदर्शन गर्ने र त्यसपछि वर्षभरी नै देशका विभिन्न स्थानमा कार्यक्रम गर्ने जनाएको छ ।
दर्शकहरु नाटकघरसम्म आउने परम्परालाई तोडदै नाटकघर नै दर्शकसमम पु¥याउनका लागि जुनकिरीको शुरुवात गरिउको मण्डला थियटरले जनाएको छ ।
  मण्डलाले शुरु गर्‍यो घुम्ती रंगमञ्च बस      ",entertainment
"
﻿काठमाडौं । पत्रकार एवं कवि सचित राईको खोजअनुसन्धानमूलक कृति ‘माङखिम’ बजारमा आएको छ । १६ वटा निबन्धात्मक आलेख समेटिएको यस कृतिको शुक्रबार राजधानीमा आयोजित कार्यक्रममा कवि तथा नेपाल प्रज्ञाप्रतिष्ठानका पूर्वकुलपति वैरागी काइँलाले विमोचन गरे ।
प्रकाशन पुष्पा लोहोरुङ र प्रकाशन समन्वय इलाम समाज हङकङले गरेको यस कृतिमा लेखकको परिपक्वता देखिएको पूर्वकुलपति काइँलाले टिप्पणी गरे ।
“विषय त जहिले त्यही त हो नि । आफ्नो भनेको चाहिँ भाषाको प्रस्तुति र त्यसमा उसले अपनाएका तरिकाहरु हो,” उनले भने, “त्यही निजीपनमा जुन सुन्दरता र परिपक्वता छ त्यो माङखिममा संकलित निबन्धमा देखिएको छ । पाठकलाई र समालोचकलाई आकर्षित गर्ने पहिलो कुरा यही हो ।”
उनले सचितलाई आँटिलो लेखकको संज्ञा पनि दिए । भने, “गाउँघरमा विशेष राम्रा प्रतिभाको कुरा गर्दा त्यसका प्रतिद्धन्द्धीहरु हुन्छन् । प्रतिद्धन्द्धीको कुरा गर्दाखेरि पक्ष र विपक्ष पनि हुन्छन् । एउटा पक्षको कुरा गर्दा अर्को रिसाको पनि हुन्छ । ए रिसाउँछ र एक दिन पछाडिबाट ढुंगाले हान्छ कि भन्ने डर नमानी लेख्न सक्ने लेखक पनि हुँदा रहेछन् ।” पत्रकार भएका हुनाले यो आँट सचितले गरेको हुन सक्ने उनले बताए ।
उनले साहित्यकारले आफूभित्रको इमानदारिता, परिवार, कुल वंश, समाज र राष्टप्रतिको जुन इमानदारिता छ त्यसलाई साहसपूर्वक निर्वाह गर्न सक्यो भने लेखिएका लेखहरुले सामाजिक उच्च मान्यता पाउने विश्वास व्यक्त गरे । उनले डोमिनेटिङ कल्चरको मात्र कुरा गर्ने हो भने डोमिनेटेड कल्चरको कुरा गरिएन भने सबै त कहिले पनि अघि बढन नसक्ने धारणा व्यक्त गरे । ”हाम्रो मुलुक भनेको बहुसांस्कृतिक भएको हुनाले सबै संस्कृतिको योगफलले नेपालको संस्कृति बन्छ भन्ने मान्यता राखियो भने जुनसुकै समुदायको सस्ंकृतिको कुरा गरे पनि यो सबैको हुनुपर्छ,” उनले भने, ”डोमिनेटिङ कल्चरको जुन त्रास छ , यसबाट उम्किनुपर्छ । हाम्रो भित्रको प्रतिभाको कुरा गर्नुपर्छ ।” सचितले यस्तै काम गरेको उनको भनाइ थियो ।
राष्ट्रगान सर्जक व्याकुल माइलाले यो कृति खोज पत्रकारिता, संस्मरण र आत्मवृत्तान्त लेखन विधिबाट तयार भएको उल्लेख गर्दै यसमा राजनीति, ऐतिहासिक, धार्मिक, सांस्कृतिक, सामाजिक तथा आर्थिक क्षेत्रका रोचक, रहस्यमय र पेचिला विविध विषयवस्तु समेटिएको सुनाए । “सचितले लेखक हुने रहरले मात्र यो पुस्तक तयार पारेका छैनन् बरु जीवन र इतिहास निमोठिएका रामप्रसाद राई, रत्नकुमार बान्तवाजस्ता क्रान्तिकारी योद्धाहरुको कथा कहानीलाई केलाएर सत्ताधारी वर्गलार्ई चिमोट्ने साहस गरेका छन्,” उनले भने, “खुसीको कुरा यो पुस्तक तयार भएपछि एक तहमा ती योद्धाको बारेमा पुनः चर्चा चल्यो । नेपाल सरकारले केही हप्ताअघि मात्र रत्नकुमार बान्तवासमेतलाई सहिद घोषणा गरी राम्रो काम गरेको छ । आशा छ रामप्रसाद राईलाई चाँडै उचित सम्मान गरिनेछ ।” यस्ता सत्कार्यका लागि विमोचनपूर्व नै यो कृति सहायकसिद्ध हुनु खुसी कुरा भएको उनको भनाइ थियो । भने, “यत्ति मात्र होइन यो सचितको जीवनकै एक अध्याय हो ।”
लेखक राईले आफूले भोगेका/देखेका/सुनेका समाजका फरक पाटोलाई दस्तावेजीकरणको प्रयास गरेको बताए । “तथ्यहरूमा उभिने प्रयत्न गरेको छु, पाठकलाई असहमति राख्ने छुट त अवश्य छ नै । म आफ्नो लेखनप्रति जवाफदेही छु,” उनले भने, “किनकि, ‘माङखिम’मा समेटिएका लेखहरू कुनै आख्यान होइनन्, म लेखनलाई फन्टासी बनाउन रुचाउँदिनँ पनि ।” बजारमा लेखनलाई सनसनीय बनाउने प्रवृत्ति पनि रहेको उल्लेख गर्दै,उनले आफ्नो लेखनलाई सकेसम्म विश्वसनीय बनाउने प्रयत्न गरेको दाबी गरे ।
नेपाल प्रज्ञाप्रतिष्ठानका प्राज्ञपरिषद् सदस्य श्रवण मुकारुङ, प्राज्ञसभा सदस्य शशि लुमुम्बू, समालोचक धरणीप्रसाद गौतमले यस कृतिले समाजका फरक पाटोलाई उजागर गरेको बताएका थिए ।
यस कृतिमा ‘रामप्रसादको रामकहानी’, ‘त्यस बेलाका रत्न’, ‘सुन्तलाबारीमा बूढीआमा’, ‘फलामसिंहको फैलावट’, ‘धर्मगुरुको गाउँ’, ‘छापामारलाई बयान’, ‘शाकाहारी माङ्मालुङ’, ‘घरको पिङ’ ‘पानीढलोको बाटो’, ‘पाँच हजारको यात्रा’, ‘दसैंको लडाइँ’, ‘जबरजस्त पत्रकारिता !’, ‘अरुणमा एक बिहान’, ‘पत्रकारिताको गाँठो फुकाउँदा’, ‘कोसी बौलाएको बेला’, ‘आमाबिनाको घर’ शीर्षकका लेख समेटिएका छन् । ‘पूर्व जाने हो’…गीति एल्बम २०६३, ‘नयाँ नेपाल’ अन्तर्वार्ता सँगालो २०६४ र ‘अर्को भ्रम’ कविता संग्रह २०६८ उनका यसअघिका कृति हुन् । नयाँ कृतिका अधिकांश लेखमा इलाम, उक्त जिल्लामा जन्मिएर विशिष्ट योगदान दिएका प्रतिभा, समाज, रीतिरिवाजलगायत विविध पक्ष समेटिएको छ ।",entertainment
"
﻿छोरा बरालिएको खबर इलामसम्म पुगिसकेको थियो। बुवा हान्निँदै काठमाडौं आए। कोठामा राखेर सम्झाउँदै भने, ‘तँलाई के–के खानुछ खा, म बोराका बोरा किनेर ल्याइदिन्छु, तर कोठाभित्रै बसेर खानुपर्छ, कहीँ निस्कन पाउन्नस्।’ बुवाका यी शब्दले तिरजस्तै उनको मुटु घोच्यो। ‘उहाँले रिसाएर गाली गर्दै भन्नुभएको भए म वास्ता गर्दैनथेँ होला, तर उहाँलाई मलाई माया गरेर जसरी भन्नुभयो, म त तिरीमिरी भइहालेँ,’ उनले भने, ‘मैले उहाँहरूलाई कति दुःख दिइरहेको रहेछु भन्ने बुझाइले मलाई आफैं देखी लाज लागेर आयो।’",entertainment
"
﻿काठमाडौं । गीतकार प्रकाश घिमिरेका ६ वटा गीतको संगालो एल्बम आरम्भ बजारमा आएको छ । निजामती कर्मचारी घिमिरेको साहित्यिक यात्रा निकै पुरानो भएतापनि यो उनको पहिलो एल्बम हो । कविता प्रतियोगितामा कहिल्यै दोस्रा नभएका घिमिरेका एल्बममा माया र मुटुका कुराहरू संगालिएका गीतमा नेपालका ख्यातीप्राप्त गायक, गायिकाले स्वर दिएका छन् ।
स्थापित गाएक रामकृष्ण ढकाल, प्रमोद खरेल, सत्यराज आचार्य, शिव परियार तथा मल्लिका कार्कीले स्वर दिएको उक्त एल्बमका गीतमा आलोक श्री, शान्तिराम राई र कल्याण आलेले संगित भरेका छन् ।
गत बिहीवार आरम्भ एल्बम लोकार्पण कार्यक्रम घिमिरेकी माता चैतन्यकुमारी घिमिरेको सभापतित्व र गीतकारका दाई तथा पूर्व मुख्य सचिव तथा गृहमन्त्री माधव घिमिरेको प्रमुख आतिथ्यमा सम्पन्न भएको थियो ।
आरम्भ एल्बमको विमोचन सभापति घिमिरे, मुख्य अतिथि माधव घिमिरे तथा अर्का अतिथि तथा गीतकार र पूर्व अर्थमन्त्री एस्पी कोइराला (शंकरप्रसाद कोइराला)ले संयुक्तरुपमा गरेका थिए ।
कार्यक्रममा बोल्दै गीतकार घिमिरेले एल्बम निकाल्न पैसा नभएका प्रतिभालाई निकै गाह्रो हुने कुरा बताएका थिए । देशभर प्रतिभा धेरै भएता पनि पैसा नहुनेले आफ्नो प्रतिभा देखाउन समेत नपाउने अवस्था आएको गुनासो गीतकार घिमिरेको थियो ।
स्थापित गीतकार तथा लोक सेवा आयोगका सदस्य श्री पुरुष ढकालले घिमिरेका गीतहरू भावपूर्ण भएका र संगीतकारलाई भाका हाल्न समेत सहज हुने प्रकारका भएको टिप्पणी गरे । ढकालले रोयल्टीको पैसा आउने व्यवस्था हुन नसकेको र साँच्चिकै रोयल्टीको पैसा गायकले पाउने हो भने रामकृष्ण ढकाल जस्तो गायकले हेलिकप्टरनै चढेर हिंड्नसक्ने अवस्था आउने कुरा बताए ।",entertainment
"
﻿पोखरा । चलचित्र सुटिङका लागिभन्दै पोखरा पुगको मोडल अचर्ना पनेरुसहितको सुटिङ युनिट पक्राउ परेको छ । निर्माण अनुमति नलिई लुकीछिपी अस्लिल चलचित्र बनाउन लागेको भन्दै पक्राउ गरेको प्रहरीले जनाएको छ ।
“स्थानीय प्रशासनसँग अनुमति पनि लिएको छैन । अस्लिल प्रक्रितिको चलचित्र भन्ने कुरा आयो त्यही भएर पक्राउ गरिएको हो,” जिल्ला प्रहरी कार्यालय कास्कीका प्रवक्ता गणेश बमले बाह्रखरीसँग भने,“चलचित्र विकासबोर्डले यही चैत ५ गते अश्लिल खालको चलचित्र छायांकन हुन लागेको जानकारी आएकाले सुटिङ गर्न नदिनु भनेर जिल्ला प्रशासन कार्यालयलाई परिपत्र गरेकाले नियन्त्रणमा लिएको हो ।”
प्रवक्ता बमका अनुसार देवानी तथा फौजदारी ऐन अन्तर्गत उक्त सुटिङ युनिटलाई कारबाही हुनेछ । उनले प्रहरीले नियन्त्रणमा लिएर जिल्ला प्रशासन कार्यालयलाई बुझाएको बताए ।
प्रहरीले अर्चनासँगै चलचित्र निर्देशक राजु गिरीसहितको टोलीलाई नियन्त्रणमा लिएको थियो ।
आफू सन्नी लियोनजस्तै पोर्नस्टार बन्न चोहको भन्दै अघिल्लो वर्ष पनेरुले टपलेस तस्बिर सार्वजनिक गरेपछि उनी एकाएक चर्चा र आलोचित बनेकी थिइन् । त्यसयता उनले केही गीतमा उत्तेजक अभिनयसमेत गरिकी छन् ।
उनले टपलेस तस्बिर आफ्नै परिवारको सहयोगमा खिचिएको भन्दै सामाजिक सञ्जालमार्फ सार्वजनिक गरेकी थिइन् । उनका टपलेस तस्बिर सामाजिक सञ्जालमा “भाइरल” बनेपछि प्रहरीले हटाउन लगाएको थियो । उनकी आमाले समेत अचर्नालाई आफूले पोर्नस्टार बनाउन चाहेको समाचार सार्वजनिक भएको थियो । उनले पोर्न चलचित्रलाई आफूले “कला”को रुपमा लिएको बताएकी थिइन् ।",entertainment
"
﻿काठमाडौं । साहित्यिक पत्रकार संघले आगामी ३५ औं कथा दिवसको अवसरमा कथाकार वनमाली निराकारलाई मैनाली कथा सम्मान २०७२ र कथाकार नयनराज पाण्डेलाई मैनाली कथा पुरस्कार–२०७२ प्रदान गर्ने निर्णय गरेको छ ।
संघको विशेष कार्यसमितिका अध्यक्ष साहित्यकार राधेश्याम लेकालीको अध्यक्षतामा बसेको कार्यसमितिको बैठकले उक्त निर्णय गरेको हो ।
वि.सं.२०३८ सालदेखि निरन्तर कथा दिवस मनाउँदै आएको साहित्यिक पत्रकार संघले सोही दिन विशेष लघुकथा वाचनको आयोजनासमेत गर्ने भएको छ । मैनाली कथा पुरस्कार रकम यसै वर्षदेखि वृद्घिगरी रू.५१ हजार राशी प्रदान गर्ने पनि निर्णय गरिएको छ । यसअघि रू. ३१ हजार राशी रहेको थियो ।
कथाकार निराकारका समयका पर्खाल (२०४६–साझा प्रकाशन), विवरूका कथाहरू (२०६६०) लगायतका कथा कृतिहरू प्रकाशित रहेका छन् ।
यसैगरी मैनाली कथा पुरस्कार २०७२ बाट सम्मानित हुनुहुने पाण्डेका ‘खोरभित्र जोकर’ (२०६०), निदाएँ जगदम्बा (२०६५), चकलेट (२०६९) लगायतका कथा कृति प्रकाशित छन् ।
मैनाली कथा पुरस्कारबाट यस अघि कथाकारहरू क्रमशः भाउपन्थी, मनु ब्राजाकी, मोहनराज शर्मा, माया ठकुरी, कुमार ज्ञवाली, विश्वम्भर चञ्चल, जगदीश घिमिरे, प्रेमा शाह, खगेन्द्र सङग्रौला, पद्मावती सिहं, भागिरथी श्रेष्ठ, सनत रेग्मी, सन्तोष भट्टराई, मुरारी अधिकारी, राजव, इन्दिरा प्रसाई, ध्रुब सापकोटा, नगेन्द्रराज शर्मा, मुरारी अधिकारी (ख), नारायण ढकाल, माधव भँडारी, गोविन्द गिरी प्रेरणा, गोपाल पराजुली, महेशविक्रम शाह, किशोर पहाडी, इस्माली र अविनाश श्रेष्ठ सम्मानित भइसकेका छन् ।
यसैगरी मैनाली कथा सम्मानबाट यस अघि कथाकारहरू क्रमशः मदनमणि दीक्षित, गोविन्दबहादुर मल्ल गोठाले, डा.धु्रवचन्द्र गौतम, परशु प्रधान, डा.दयाराम श्रेष्ठ ’सम्भव’, हरिहर खनाल र मधुवन पौडेललगायत सम्मानित भइसकेका छन् ।",entertainment
