text,category
"सेवानिवृत्त एक पूर्वप्रशासकको चिन्ता देशको परिस्थिति, बढ्दो आयु नभएर एउटा सामान्य समस्या, अरूलाई नसर्ने छालासम्बन्धी समस्या ‘रोजेसिया’ भइरहेको छ । अधबैंसे उमेरदेखि देखिन थाल्ने यो समस्याले उनलाई यतिसम्म गाँजेको छ, उनी उदासी रोग (डिप्रेसन) मा जान सक्ने अवस्थासमेत छ । 

‘मेरो पूरै अनुहार रातो भएकाले निकै चिन्तित भइरहेको छु,’ कुनै जमानामा देश हाँकेका ती पूर्वप्रशासकले करुण स्वरमा भने, ‘सार्वजनिक यातायातमा पनि कोही मेरो छेउमा आउन चाहँदैन । सबै मभन्दा टाढा बस्न खोज्छन् । यो सरुवा रोग होइन, मलाई यो हुनुको कारण पनि थाहा छैन । यो रोगका पीडितहरूलाई समाजमा गरिने भेदभाव निकै दु:खद छ ।’



",health
"दसैं पनि आयो । दसैंतिहारजस्ता ठूला चाडबाडको नाम सुन्नासाथ प्राय: सबैलाई साथीभाइसँगको रमझम, पुख्र्यौली थलोको यात्रा, भेटघाट, अरू रामरमाइलोको झल्को आइहाल्छ । अरू ठूला पर्वजस्तै दसैं हाम्रा लागि स्वादिलो, गरिष्ठ, मसलादार, बोसो, चिल्लो खानपानमा रमाउने समय पनि हो ।

सामान्य स्वस्थ व्यक्तिले स्वच्छ र सन्तुलित मात्रामा यस्तो खानपान लिए खासै फरक पार्दैन । तर बालबालिका, बूढापाका र नसर्ने रोग भएकाहरूले भने सचेत हुनुपर्छ । यस्ता व्यक्तिका लागि भने यस्तो असन्तुलित काम जोखिमपूर्ण हुन्छ । कहिलेकाहीं त ज्यानै जोखिममा पर्नेसम्म हुन सक्छ ।
विज्ञहरूका अनुसार, केही खास स्वास्थ्य अवस्थाका व्यक्तिले दसैंतिहारलगायत जुनसुकै समय खानपानमा सन्तुलन राख्नुपर्छ । उच्च रक्तचाप, मधुमेह, मुटु रोगी, हृदयाघात (ब्लकेज) जस्ता रोग, एन्जियोप्लास्टि गरिसकेका रोगी, हार्ट फेल्योर अर्थात् मुटु कमजोर भएकाहरू, मुटुको चालको समस्या भएकाहरू, उच्च कोलेस्ट्रोल, जन्मजात मुटु रोग, पेटको दीर्घ रोगीहरू, ग्यास्ट्रिक, पेटको अल्सर भएकाहरू, दीर्घकालीन मृगौला रोग भएकाहरूले खानपानमा विशेष विचार पुर्‍याउनुपर्छ । 

दसैंमा मासुसँगै मद्यपानले समेत व्यापकता पाउने गरेको छ । एक दिनमा एउटा स्वस्थ व्यक्तिले दुई युनिट र महिलाले एक युनिटभन्दा बढी मद्यपान गर्नु हुँदैन । ‘रोगी मात्र नभई स्वस्थ व्यक्तिले समेत एक दिनमै अत्यधिक मद्यपान गर्दा हृदयाघात निम्तिन सक्छ,’ मुटु रोग विशेषज्ञ डा. ओममूर्ति अनिल भन्छन्, ‘उसो त मुटुको चाल अनियमितता भएकाहरू, उच्च रक्तचाप नियन्त्रणमा नभएका र उच्च कोलेस्ट्रोल भएकाहरूले मद्यपान गर्नै हुँदैन ।’

दसैंमा असन्तृप्त बोसो बढी भएका खाद्य पदार्थको व्यापक उपयोग गरिन्छ । खसी, राँगाको आदिको रातो मासु, अण्डाको पहेंलो भाग आदिमा असन्तृप्त बोसो बढी हुन्छ । यस्ता खाद्यपदार्थ पकाउँदा तेल, घ्यू, मसला, नुन आदिको अत्यधिक प्रयोगले परिकारमा बोसोलगायत हानिकारक वस्तुको मात्रा झन बढने गरेको छ । 

‘कोलेस्ट्रोल, रक्तचाप र मुटु रोगीहरूले सन्तृप्त बोसो भएको खाद्य पदार्थको सकेसम्म कम प्रयोग गर्नुपर्छ,’ डा. ओम भन्छन्, ‘उनीहरूले खसी, राँगा आदिको मासु अण्डाको पहेंलो भाग आदि कम 

मात्रामा खानुपर्छ ।’ 

सातामा एउटा सामान्य व्यक्तिले दुइटा मात्र अण्डा खानु उपयुक्त रहेको उनी बताउँछन् । कोलेस्ट्रोल परीक्षण नगरेकाहरू, कोलेस्ट्रोल उच्च भएकाहरू र कोलेस्ट्रोलका औषधि खाइरहेकाहरूले सकेसम्म अण्डाको पहेंलो भाग खानै हुँदैन । 

मासु नै खाँदा कोलेस्ट्रोल घटाउन केही बचाउका उपायहरूसमेत छन् । मासुमा आँखाले देखिने बोसो भएको भागलाई हटाउनुपर्छ । छाला उपयोगै गर्नु हुँदैन । छालामा बोसो सबैभन्दा बढी हुने डा. ओम बताउँछन् । बोसो नभएको मासुलाई कम तेलमा पकाउनुपर्छ । खाने बेलामा मासुको पिस मात्र झिकेर खानुपर्छ । 

‘मासुको लेदो पनि कम खानुस् । यसमा बोसो धेरै बढी हुन्छ,’ डा. ओम भन्छन्, ‘एकै चोटि धेरै मासु नखानुस् । सकेसम्म मासुसँगै प्रशस्त सागसब्जी, र सलादको प्रयोग गर्नुस् । यसो गर्दा नोक्सानी मात्रालाई धेरै कम गर्छ ।’ रेशायुक्त खानाले आन्द्रामा कोलेस्ट्रोलको अवशोषण घटाउने भएकोले मासुसँगै सागसब्जी र सलाद खानु स्वास्थ्य कर मानिन्छ ।

माछामा सन्तृप्त बोसो बढी हुने भएकोले उचित प्रक्रियाअनुसार पकाएर मात्रै खानु स्वास्थ्यको लागि राम्रो मानिन्छ । अनुसन्धानहरूअनुसार, माछामा पाइने ओमेगा–३ फयाटी एसिडले तन्तु र धमनीसम्म पुगेर मुटुको सुरक्षा गर्छ । 



अमेरिकन हार्ट एसोसिएसनको एउटा वार्षिक बैठकमा चिकित्सकहरूद्वारा प्रस्तुत अनुसन्धानको निचोडअनुसार, सातामा कम्तीमा एकपटक माछा खानाले हृदयाघातले गर्दा हुने एक्कासि मृत्युको सम्भावना आधा हुन्छ । 

ओमेगा–३ पोली अनस्याचुरेटेड फयाटी एसिड भएको माछाको नियमित सेवनले उच्च रक्तचाप पीडितको रक्त दबाबमा उल्लेखनीय कमी आउँछ । 

‘माछालाई यसमा भएको नैसर्गिक गुण कायम राख्न सकेसम्म कम तेलमा तार्नुपर्छ,’ डा.ओम भन्छन्, ‘माइक्रोवेबमा पकाएको माछा लाभदायक हुन्छ, जति खाए पनि बेफाइदा गर्दैन ।’

तर बढी तेलमा तारेर, भुटेर माछा पकाउँदा यसमा भएको ओमेगा–३ फयाटी एसिड नष्ट हुन्छ, जसले गर्दा यसले पुर्‍याउने फाइदा हराएर जान्छ भने तेल आदिको माध्यमले शरीरमा अतिरिक्त बोसो पुग्छ । 

मिठाई दूध, चिनी, घ्यू, तेल आदिको प्रयोग गरेर बनाइएकोले यसले कोलेस्ट्रोल र क्यालोरी बढाउने गर्छ । 

मिठाईले कोलेस्ट्रोल र मुटु रोगीलाई बेफाइदा गर्छ । 

हाल बजारमा सुगरफ्री मिठाई पाइने भए पनि यो मधुमेह रोगीले ढुक्क भएर खानु हुँदैन । यस्तो मिठाइमा सेकरिन, तेल, घ्यू, दूध आदिको प्रयोग भएको हुन्छ । 

यस्ता सुगरफ्री मिठाईमा चिनी कम मात्रामा भए पनि क्यालोरी र फयाट हुने भएकोले मधुमेह रोगीको लागि सुरक्षित हुँदैन । सकेसम्म खानु हुँदैन ।



दसैंतिहारताका खानपानमा असन्तुलन हुने भएकाले दीर्घकालीन पेटको समस्या र अल्सर भएकाहरूले विशेष ध्यान दिनुपर्ने मेडिकेयर हस्पिटलका निर्देशक एवं पेटरोग विशेषज्ञ डा. प्रदीप यादव बताउँछन् । 

‘दसैंमा गरिष्ठ, मसला, चिल्लो, बोसोयुक्त खानासँग मदिराको कुरा आउँछ,’ उनी भन्छन्, ‘मद्यपानले कलेजोको समस्या, पेटको अल्सर बिग्रेर रगत बग्नेलगायतका समस्या प्रशस्त देखिन्छ ।’

यस्तै दसैंताका मासुलगायतका खाद्यपदार्थ एकपटक पकाए पनि तीन/चार दिनसम्म उपयोग गर्ने परिपाटीले थप स्वास्थ्य समस्या निम्तिने गरेको डा. यादव बताउँछन् । ‘दसैंतिहारतामा दीर्घरोगी मात्र नभएर स्वस्थ व्यक्तिमा समेत पाचनसम्बन्धी गडबडी, खाद्य विषाक्तता, पेटको समस्या बढी हुने गर्छ,’ उनी भन्छन्, ‘बढी चिल्लो, मसला आदिले गर्दा पेटको समस्या नदेखिएकाहरूलाई पनि समस्यामा पर्न सक्छन् । यसले गर्दा शरीरमा लुकिरहेको रोगबाहिर आउँछ ।’

रक्तचाप ठीक रहेका र शरीरमा नसुन्निएका मृगौला रोगीको मृगौलाले सामान्य काम गरिरहेको छ भने दसैंतिहार वा अन्य समय खानपानसम्बन्धी त्यस्तो परहेज गर्नु नपर्ने मृगौला रोग विशेषज्ञ डा. ऋषि काफ्ले बताउँछन् । ‘तर जसको मृगौलाको काम सामान्य छैन, जसलाई हामी दीर्घकालीन मृगौला रोग भन्छौँ, यस्ता व्यक्ति जो मृगौला फेल भए पनि अझै डायलासिसमा गएका छैनन्, उनीहरूले निकै सावधानी अपनाउनुपर्छ । यस्ता व्यक्तिहरूले अरू दिन जे खाइरहेका छन् त्यसलाई नै निरन्तरता दिनुपर्छ, मासु, मसला, नुन खानुहुँदैन ।’ 

यस्ता व्यक्तिले अलि बढी नुन खाए रक्तचाप अनियन्त्रित हुन्छ । बढी फलफूल खाए पोटासियम बढ्छ र यस्तो हुनु खतरनाक हो । तरल पदार्थ बढी सेवन गर्दा सुन्नाइ देखिन्छ वा बढ्छ । 

डा. काफ्लेका अनुसार, यस्ता रोगीले रातो मासु खाए युरिक एसिड बढेर जोर्नी दुख्ने समस्या हुन्छ र मृगौलाको काम गर्ने क्षमता गडबड हुन्छ । 

सुरक्षित खानपानका लागि 

दसैंतिहारमा भान्साकोठाको छुट्टै रौनक हुन्छ । अझ दसैंमा माछामासुजस्ता खाद्यपदार्थको अघिकताले भान्साकोठामा थप दबाब सिर्जना गर्छ । यसैले अन्य दिनजस्तै यो समयमा भने खाना पकाउँदा विशेष ध्यान दिनुपर्छ । हात साबुनपानीले सफा गरेर मात्र खाना छुनु वा बनाउनुपर्छ । यस्तै पकाएको तथा नपकाएको खाद्यपदार्थलाई छुट्टाछुट्टै राख्नुपर्छ । 

विश्व स्वास्थ्य संगठन (डब्लूएचओ) का अनुसार नपकाएका खानेकुरा जस्तै माछामासु आदिमा हानिकारक सूक्ष्म जीवहरू हुन सक्छन् । यी जीवहरू खाना तयार गर्दा अरू खानेकुरामा सर्न सक्छन् । त्यही भएर नपकाएको माछामासुजस्ता खाद्यपदार्थ छुट्टै राख्नुपर्छ । 

डब्लूएचओको अनुसार, ७० डिग्री सेन्टिग्रेडभन्दा बढीको तापक्रममा खाना तताएर खाँदा हानि हुँदैन । पोलेर, भुटेर तथा कम पकाएर खाने र ठूला आकारका चाँडै नपाक्ने खानालाई भने विशेष ध्यान दिनुपर्छ । 

दसैंतिहारताका एकैपटक बढी मात्रामा खाद्यपदार्थ बनाएर कैयौँ दिनमा खाने चलनसमेत छ । सामान्य तापक्रममा भने खानालाई दुई घण्टाभन्दा बढी राख्नु हुँदैन । डब्लूएचओका अनुसार, पकाएको तथा चाँडै बिग्रिने खानालाई ५ डिग्री सेन्टिग्रेडभन्दा कम तापक्रममा रेफ्रिजरेटरमा राख्नुपर्छ । यस्तै, ६० डिग्री सेन्टिग्रेडभन्दा तातो खाना खानुपर्छ । रेफ्रिजरेटरमा समेत खानालाई लामो समयसम्म राख्नु हुँदैन । चिसोमा राखेको खानालाई तत्काल नै तताउनुपर्छ र सामान्य तापक्रममा राख्नु हुँदैन । डब्लूएचओका अनुसार, खानालाई सामान्य तापक्रममा राखेमा सूक्ष्म जीवहरू धेरै चाँडो बढ्छन् । तर ५ डिग्री सेन्टिग्रेडभन्दा तल र ६० डिग्री सेन्टिग्रेडभन्दा माथिको तापक्रममा खाना राखेमा ती सूक्ष्म जीवहरूको वृद्घि रोकिन्छ वा ती मर्छन् । केही हानिकारक जीवहरू भने ५ डिग्री सेन्टिग्रेडभन्दा कम तापक्रममा समेत बाँच्न र बढ्न सक्छन् । 



कम समयै बढी मद्यपान अर्थात् विन्ज ड्रिंकिङ

दसैंताका मुलुकमा सबैभन्दा बढी मदिराको उपयोग हुन्छ । ‘दसैंतिहार, उत्सवमा रमाउन मदिरा उपयोग सामान्य प्रक्रिया मानिए पनि यसलाई तपाईंले आफ्नो वास्तविक स्वास्थ्य अवस्थालाई दृष्टिगत गरी हेर्नुपर्छ,’ मुटु रोग विशेषज्ञ डा. ओममूर्ति अनिल भन्छन्, ‘मद्यपान तपाईंको लागि खासै फरक नपार्ने, फाइदाजनक वा हानिकार हुन्छ भन्ने कुरा उमेर, स्वास्थ्य स्थिति, परिस्थितिसँगै तपाईंले कति मद्यपान गर्नुभयो भन्ने कुरामा निर्भर गर्छ ।’ 

डब्लूएचओको पछिल्लो आँकलनअनुसार, मदिराको हानिकारक उपयोगले विश्वमा बर्सेनि ३३ लाख व्यक्तिको मृत्यु हुन्छ । यो संख्या सम्पूर्ण मृत्युको ५.९ प्रतिशत हो । करिब दुई सय रोग र विभिन्न प्रकारका दुर्घटनाको कारणसमेत हानिकारक रूपले मदिराको उपयोग हो । 

‘मुटु, मृगौला, कलेजो, मधुमेहलगायतका दीर्घ रोग भएकाहरूले मदिराको माध्यमले सामान्य रमझमको प्रयास गर्दा मात्र हैन, पूर्ण स्वस्थ व्यक्तिसमेत अत्यधिक सेवन गरे जोखिममा पर्न सक्छन्,’ डा.ओम भन्छन्, ‘सामान्यत: मदिरा सेवन नगर्ने पूर्ण स्वस्थ व्यक्तिहरू कम समयमै 

अत्यधिक सेवन अर्थात् विन्ज ड्रिंकिङ गर्दा मृत्युदेखि जोखिमको अवस्थामा पुग्न सक्छन् ।’ 

अमेरिकास्थित नेसनल इन्स्टिच्युट अफ अलकोहल एब्युज एन्ड अल्कोहलिज्म (एनआईएएए) को तथ्यपत्रअनुसार, महिलाले दुई घण्टाभित्र ४ वा योभन्दा बढी ड्रिंक लिनु वा पुरुषले दुई घण्टाभित्र ५ वा योभन्दा बढी ड्रिंक लिनु विन्ज ड्रिंकिङ हो । विन्ज ड्रिंकिङ गरेका व्यक्तिको रगतमा मदिराको सान्द्रता ०.०८ ग्राम प्रतिशत वा यसभन्दा माथि हुन्छ ।

‘तपाईंको रगतमा मदिराको यस्तो मात्रा आउन दुई घण्टाभित्र पुरुषले ५ वा त्योभन्दा बढी ड्रिंक र महिलाले ४ वा यसभन्दा बढी ड्रिंक लिएको हुनुपर्छ,’ डा. ओम भन्छन् ।

मदिराको एउटा ड्रिंक, जसलाई हामीले बोलचालको भाषामा ‘पेग’ भन्ने गरेका छौँ, समेत परिभाषित गरिएको छ । अमेरिकास्थित सेन्टर फर डिजिज कन्ट्रोल एन्ड प्रिभेन्सन (सीडीसी) को तथ्यपत्रअनुसार, एउटा पेग/एक युनिट/एक ड्रिंक १४.६ ग्राम शुद्घ मदिराको हुन्छ । हार्ड लिकर अर्थात् हीस्की, रम, जिन, भोडकालगायतमा बियर/वाइनको दाँजोमा बढी मात्रामा मदिरा हुन्छ । अमेरिकास्थित नेसनल इन्स्टिच्युट अफ ड्रग एब्युजको तथ्यपत्रअनुसार जिन, भोडका, हीस्की, रमजस्ता कडा मदिरा अर्थात् ४४ मिलिलिटर हार्ड लिकर एक मात्रा वा एक पेग हो । यस्तै, ४४ मिलिलिटर अर्थात् एक मात्रा वा पेग, हार्ड ड्रिंकमा भएको मदिराको मात्रा ३५५ मिलिटिर बियर, १४८ मिलिलिटर वाइन, २३६ मिलिलिटर माल्ट लिकरमा जस्तै हुन्छ । 

‘४४ मिलिलिटर जिन, भोडका, हीस्कीजस्ता कडा मदिरा खानुस् वा ३५५ मिलिलिटर बियर, १४८ मिलिलिटर वाइन खानुस् तपाईंको रगतमा पुग्ने रक्सीको मात्रा समान नै हुन्छ,’ डा.ओम भन्छन्, ‘हार्ड ड्रिंक त छुँदै छुन्न, दुई बोतल बियर मात्रै त खाएको हो नि भन्ने नगर्नुस्, राम्ररी सोच्नुस्, यो तपाईंले करिब साढे चार पेग हार्ड ड्रिंक खाएजतिको अवस्था हो ।’ चिकित्सा शास्त्रमा अत्यधिक मदिरा पान अर्थात् हेभी ड्रिंंकिङको परिभाषासमेत गरिएको छ । यसअन्तर्गत ६५ वर्षभन्दा माथिका पुरुष महिलाको हकमा भने कुनै पनि दिन तीन ड्रिंकभन्दा बढी वा सातामा ७ ड्रिंकभन्दा बढी सेवन गर्न अत्यधिक मदिरा पान हो । यस्तै, ६५ वर्ष वा योभन्दामुनिका पुरुषका लागि कुनै पनि दिन ४ ड्रिंकभन्दा बढी वा सातामा १४ ड्रिंकभन्दा बढी मदिरा सेवन गर्नु अत्यधिक मदिरापान हो । 

‘अनुसन्धानहरूअनुसार पुरुषको लागि कम जोखिमयुक्त मदिरा सेवनको स्तर एक दिनमा चार ड्रिंक र एक सातामा १४ ड्रिंकभन्दा बढी सेवन नगर्नु हो,’ डा. ओम भन्छन्, ‘महिलाको लागि भने कम जोखिमयुक्त मदिरा सेवनको स्तर एक दिनमा तीन ड्रिंकभन्दा कम र सातामा सात ड्रिंकभन्दा बढी नहुनु हो ।’

कम जोखिममा कायम रहन तपाईंले भने अधिकतम मदिरा लिने स्तरलाई दैनिक र साप्ताहिक रूपमा चिकित्सकले भनेभन्दा बढतामा पुर्‍याउनु हुँदैन । 

‘मदिराको कम जोखिमको सीमामा बसे पनि यदि तपाईंलाई स्वास्थ्य समस्या छ वा ६५ वर्षमाथिको हुनुहुन्छ भने छिटोछिटो मदिरा सेवन गर्नाले तपाईंलाई समस्या हुन सक्छ,’ डा. ओम भन्छन्, ‘बूढापाकाहरूले एक दिनमा तीन ड्रिंंकभन्दा बढी मदिरा सेवन गर्नु हुँदैन भने सातामा सात ड्रिंकभन्दा अगाडि बढ्नुहुन्न ।’

तर मदिरा सेवनबारे भने आफैंले पनि स्वविचार गर्नु आवश्यक रहेको विशेषज्ञहरूको धारणा छ । 

तपाईं आफ्नो स्वास्थ्यसँगै मदिराले तपाईंलाई कसरी प्रभावित गर्छ भन्नेबारे जानेर तपाईंले रक्सी कम वा खाँदै नखानुपर्छ । 

डा.ओमका अनुसार मुटुको चाल अनियमित, मुटुको चालमा समस्या र हार्ट फेल्योर भएकाहरूले मदिरा सेवन गर्नु हुँदैन । उच्च रक्तचाप नियन्त्रण नभएका बिरामीले बढी मदिरा सेवन गर्दा ब्रेन हेमरेज हुन सक्छ । उच्च कोलेस्ट्रोलको समस्या भएकाहरूले समेत बढी मदिरा सेवन गर्नु हुँदैन ।
",health
"एक अध्ययनले महिलाको मस्तिष्क पुरुषको भन्दा बढी सक्रिय हुने बताएको छ । महिला मस्तिष्क मुख्य रूपले आवेग नियन्त्रण, ध्यान केन्द्रित, भाव र तनावको क्षेत्रमा बढी सक्रिय हुने बताइएको हो । 

४६ हजार ३४ वटा मस्तिष्कको इमेजिङ अध्ययन गरेर तयार पारिएको उक्त अनुसन्धान जर्नल अफ अल्जाइमर डिजिजमा प्रकाशित भएको हो । 

उक्त अध्ययनले महिलाको मस्तिष्क पुरुषको दाँजोमा केही क्षेत्रमा बढी सक्रिय पाइएको थियो । लिंगमा आधारित मस्तिष्कको भिन्नता बुझ्नलाई यस अध्ययन महत्त्वपूर्ण मानिएको छ । पुरुष र महिला मस्तिष्कबीचको यस्तो भिन्नताको पहिचान अल्जाइमर रोग जस्तो मस्तिष्कसँग जोडिएको विषयलाई लैंगिक आधारमा बुझ्न महत्त्वपूर्ण मानिएको छ ।

महिलाको मस्तिष्क मुख्य रूपले आवेग नियन्त्रण, भावुकता, ध्यान र तनावको क्षेत्रमा बढी सक्रिय फाइदा पुरुषको मस्तिष्क भने दृश्य र समन्वयन केन्द्रमा बढी सक्रिय देखिए । अध्ययनमा १ सय १९ स्वस्थ व्यक्ति र मस्तिष्कको आघात, वाई पोलर डिजअर्डर, मनोदशा विकार, सिजोफ्रेनिया भएका विभिन्न २६ हजार ६ सय ८३ बिरामीलाई समेत सामेल गरिएको थियो । यी विषयमा एकाग्रतावाला काम गर्दा समय जम्मा १ सय २८ मस्तिष्क क्षेत्रको विश्लेषण गरियो । 

मस्तिष्कको विकारले पुरुष र महिलालाई फरकफरक तरिकाले प्रभावित गर्ने पनि अध्ययनले देखाएको थियो । महिलामा उल्लेखनीय रूपले अल्जाइमर रोग, अवसाद र तनाव विकारको दर बढी देखियो भने पुरुषमा एडीएचडीको दर र आचरणसम्बन्धी समस्या बढी देखिएको हो । 

अध्ययनमा के पाइयो भने, महिलामा प्रिफन्टल कर्टेक्स रगतको प्रवाहको कारण सहानुभूति, अन्तरज्ञान, आत्म नियन्त्रण, चिन्ता र सहयोगको क्षेत्रमा बढी शक्ति प्रदर्शित गर्छ । प्रि–फ्रन्टल कर्टेक्समा रगतको प्रवाहमा वृद्घिले गर्दा बढी चिन्ता, उदासी रोग, अनिद्रा, खानपानमा असन्तुलन पाइने गर्छ । ",health
"उदासी उत्पन्न गर्ने रोग र चिन्ताबाट बच्न प्रयोग गरिने औषधि जीवनको लागि घातक हुने दाबी गरिएको छ । एक अनुसन्धानका अनुसार यस्ता औषधिले मृत्युको जोखिम झन् बढाउँछ । 

साइको थेरापी एन्ड साइको म्याटिक्समा प्रकाशित अध्ययन प्रतिवेदनअनुसार यस्ता औषधि नलिने व्यक्तिको दाँजोमा औषधि सेवन गर्नेहरूमा मृत्युको सम्भावना ३३ प्रतिशतसम्म बढेको देखिएको छ । 

अध्ययनअनुसार औषधि सेवन गर्नेहरूमा मुटुसम्बन्धी रोगहरू जस्तै पक्षाघात, हृदयाघात बढी देखिएका छन् । जसबाट ज्यान लिन सक्ने रोग हुने सम्भावना १४ प्रतिशत बढ्छ । 

मस्तिष्कमा सेराटोनिनको प्रभावले हाम्रो ‘मुड’ बन्नुको साथै बिग्रिन्छ । डिप्रेसनबाट बँच्न सामान्यत: यस्तो औषधि दिइन्छ जो न्युरोनको माध्यमले सेराटोनिनलाई अवशोषित गरेर डिप्रेसनको प्रभावलाई रोक्छ । तर सेरोटोनिन शरीरको प्रमुख अंग फोक्सो, मुटु, कलेजो, मृगौला आदिमा रगत 

सञ्चालन गर्न महत्त्वपूर्ण भूमिका खेल्छ । डिप्रेसनबाट बँच्न लिइने औषधि यी अंगहरूमा सेराटोनिनको अवशोषणलाई रोक्छ, जसले ती अंगहरूको काममा नराम्रो प्रभाव पर्छ । उसो त डिप्रेसन आफैंमा पनि ज्यान लिने खालको हुन्छ ।
",health
"के तपाईंलाई थाहा छ ? हाथ, खुट्टाका नङहरुको रंगले पनि तपाईंको शारीरिक एवं मानसिक स्वास्थ्यको बारेमा जानकारी दिन सक्छन् । नङमा देखिने सेतो दाग, गुलाबीपन या धर्सो हुनुको अर्थ हो- शरीरमा कतै-कुनै गम्भिर प्रकृतिको रोग अदृश्यरुपमा पलाइरहेको छ । जस्तै- लिभर, मुटु, फोक्सो, छाला एवं मानसिक स्वास्थ्य समस्या छ भन्ने कुराको प्रमाण व्याक्तिको नङबाट पनि थाहा हुन्छ । 



नङकोकाम हात-खुट्टाका औंलाहरुको सौन्दर्य बढाउनु मात्र होइन । यसले शरीरभित्र गुप्तरुपमा रहेका विभिन्न रोगहरुको बारेमा पनि संकेत समेत दिने गर्दछ । शरीरभित्र कुनै अगं-प्रत्यगंमा के कस्तो किसिमको खराबी (रोग) छ, या हुने संभावना छ भनेर नङले आफ्नो आकार, प्रकार, रगंपरिवर्तन, पातलो-मोटो खस्रो, खिएको, टुटेको, फुटेको, धर्सो आदि जस्ता परिवर्तनको माध्यमले जानकारी दिन्छ । 

जसरी कुनै बिरामिको रोगपत्ता लागाउनको लागि आवश्यकतानुसार उसको एक्स-रे, इसिजि, ईलेक्ट्कार्डियोग्राम, दिसा, पिशाब, खकार, रगत याबत कुराहरुको जाँच गराइन्छ । यसै जाँचको क्रममा चिकित्सकद्वारा रोगीको अब्जर्वेशन गर्नुका साथै ऊसको शारीरिक परिक्षण (फिजिकल एक्जामिन) गर्ने क्रममा रोगीको हात, खुट्टाका औंलाहरुको पनि निरीक्षण गरिन्छ । यसबाट पनि रोगको निदानमा थप मद्दत मिल्दछ । 

आयर्वेदिक, होमियोप्याथिक, युनानी चिकित्सा पद्दतिहरुमा बिरामिको नङको रंग परिवर्तन हुनुलाई विशेष महत्व दिईन्छ । 

# रोग निर्धारण तथा निवारण- चिकित्साशास्त्रको इतिहासलाई हेर्ने हो भने प्राचिनकालमा त्यसबेला आजको जस्तो रोग निदानका आधुनिक उपकरणहरु थिएनन् । त्यसबेलाका आयुर्वेदिक फिजिशियन (वैद्य), युनानि (हकिम)हरुले रोगिको शारीरिक निरिक्षणको क्रममा नाडी, जिब्रो, र हातखुट्टाका नङहरुलाइ हेरिकन रोगको पहिचान मात्र होइन कि गम्भिर रोगको सफल उपचार पनि गर्ने गर्दथे । 

सन् १७९० मा जब होमियोप्याथिक चिकित्साको विकास भयो तत्पश्चात, रोगीको अन्य परिक्षण गराउनुको साथै हात-खुट्टाका नङको विभिन्न अवस्थालाई मध्येनजर राखेर, नङकोरंग, रुप, आकार, परिवर्तनले– रोगनिर्धारण गर्नेमात्र होइन की सफलतापूर्वक रोग निवारण पनि गर्दै आइरहेको छ  । होमियोप्याथिक चिकित्साविज्ञानको मेटेरियामेडिका (औषधि गुणलक्षण संग्रह) नामक पुस्तकमा नङको आकार, प्रकार, रंगपरिवर्तनका साथै विभिन्न अवस्थाहरुको बारेमा प्रयाप्त जानकारी उपल्बध छ ।

# नङले स्वास्थ्यको कुन रहस्य प्रकट गर्दछ- स्वस्थ्य नङ चिल्लो र दाग-धब्बारहित हुन्छ । नङको रगं र आकार एकनासको हुन्छ ।

  

१) चाँडै भाँचिने, चर्केको, सुख्खा तथा छिटो झर्ने खालको नङले थाइरोइड हार्मोन्स असन्तुलनको संकेत गर्दछ । 

२) नङ चिरिएको छ, रगं पहेंलो छ भने सम्भवत: फंगल (ढुस्सी) इनफेक्शन को कारण हुनसक्छ । 

३) नङको मुनितिर कुनै गहिरो रगंको धरसो छ भने यसले कुनै गम्भिर रोग छ वा हुने तर्फ संकेत गर्दछ । जतिसक्दो चाँडै परिक्षण गराउनुपर्छ । यो लक्षणले छालाको केन्सर भएको संकेत दिन्छ ।

४) नङको रगं निलो हुन थाल्यो भने आस्थमा, तथा मुटु रोगको संकेत हो ।

५) नङको पहेंलो रगंमा परिवर्तन हुनु केन्सर जस्तो घातक रोगको संकेत हुनसक्छ । 

६) घडिको शिशा आकारको नङ टि.बी. फोक्सोको टियुमर, मुटुको परानो रोगको संकेत दिन्छ ।

७) चम्चा आकारको नङले सिफिलिस, छाला सम्बन्धी रोगको तथा मानसिक समस्या छ भन्ने कुराको संकेत दिन्छ ।

८) नङमा डाँडाको टुप्पो जस्तो खस्रो धरसो देखिन्छ भने यो वशांनुगत रोगको संकेत हो । यसबाट अर्थराईटिस, कोलाईटिस, जस्तो रोग छ या हुनेसक्ने सम्भावना तर्फ संकेत गर्दछ ।

९) नङको रगं आधा गुलाबि र आधी सेतो देखिन्छ भने मधुमेह रोग तर्फ संकेत गर्दछ। 

१०) एकदमै सेतो नङले एनिमिया, डायबिटिज या लिभर सम्बन्धि कुनै रोग छ या हुने तर्फ संकेत दिन्छ ।
",health
