text,category
"
﻿चीनले विश्वको सर्वोच्च शिखर सगरमाथाको उत्तरी आधार शिविरनजिकै अन्तर्राष्ट्रिय पर्वतारोहण केन्द्र बनाउने घोषणा गरेको छ । चीनले तिब्बतमा पर्यटनको थप विकास गर्न विकट हिमालको काखमा आधारभूत प्रबन्धसहितको सुविधासम्पन्न केन्द्र बनाउन लागेको हो ।
चीनको तिब्बत स्वायत्त प्रदेशको कङ्खर टाउनसिपमा आगामी वर्ष सन् २०१७ देखि निर्माण सुरु गरेर दुई वर्षपछि सन् २०१९ मा सप्पन्न गर्ने समाचार चीनको सरकारी प्रकाशन चाइना डेलीले लेखेको छ ।
सगरमाथाको उत्तरी मोहोडादेखि उत्तरतिरको भूभागमा ८४ हजार ३ सय २० वर्गमिटर क्षेत्रफलम...",sports
"
﻿न्युयोर्कको लङग आइल्यान्डमा अवस्थित साउथ ह्याम्पटन अस्पतालले आफ्नो कार्डियो रिह्याब युनिटको सभाकक्ष (जिम हल) मा निर्वाचनसम्बन्धी राजनीतिक बहस गर्न रोक लगाएको छ।  अस्पतालमा उपचार गरिरहेका बिरामीहरुको स्वास्थस्थितिलाई ध्यानमा राखी उक्त निर्णय गरिएको अस्पतालकी प्रबन्धक जेसिका स्वाटोचाले जानकारी दिइन्। पहिला पहिला राष्ट्रपतीय निर्वाचनमा खासै रुची प्रकट नगर्ने अमेरिकी जनताहरु यस पटक भने मतदानको मिति नजिकिँदै आइरहेका अन्तिम दिनहरुमा अधिकांश कर्मचारी, व्यवसायी र आमजनताबीच जहाँतहीँ तीव्...",sports
"
﻿
३ मंसिर, काठमाडौं । एएफसी सोलिडारिटी कपको उपाधि बिजेता नेपाली राष्ट्रिय फुटबल टोलीलाई सरकारले सम्मान गरेको छ ।
प्रधानमन्त्रीको सरकारी निवास बालुवाटारमा अयोजित बिशेष समारोहमा प्रधानमन्त्री प्रचण्डले उपाधि बिजेता नेपाली टोलीका खेलाडी, प्रशिक्षक, म्यानेजर तथा टेक्निकल म्यानेजरलाई सम्मान गरे ।
उपाधि बिजेता टोलीलाई सरकारले जनही तीन लाख रुपैयाँ पुरस्कार प्रदान गर्ने निर्णय गरेपनि आजको समारोहमा नगद सम्मान भने गरिएन ।
सम्मान समारोहलाई सम्बोधन गर्दै प्रधानमन्त्री प्रचण्डले संविधान जारी भएपछि नेपाली राजनीतिमा आएको परिवर्तनसँगै नेपाली फुटबलमा पनि आमूल परिवर्तन भएकोमा खुसीयाली व्यक्त गरे ।

उनले एकै बर्षभित्र तीन ठूला उपलब्धी हासिल गरेर नेपाली राष्ट्रिय टोलीले २१ बर्षदेखिको उपाधि खडेरी तोडेकोमा प्रधानमन्त्रीले खुसी व्यक्त गरे ।
फुटबल लगायत खेलकुद क्षेत्रको बिकासका लागि बिशेष योजना बनाएर अघि बढ्न लागेको जानकारी दिदै प्रधानमन्त्री प्रचण्डले समारोहमा उपस्थित खेलकुद मन्त्री दलजीत श्रीपाइली र राष्ट्रिय खेलकुद परिषदका सदस्यसचिव केशव कुमार विष्टलाई खेलाडीमैत्री योजनाहरु ल्याउन आग्रह गरे ।
प्रधानमन्त्रीले भूकम्पले क्षति पुर्‍याएको दशरथ रंगशालाको पुनर्निरमाण कार्य अघि बढिसकेको जानकारी दिँदै छिट्टै पूरा हुने बताए ।
फुटबलको बढ्दो लोकपि्रयतासँगै दशरथ रंगशाला सानो हुने भएकाले ठूलो क्षमताको अन्तराष्ट्रिय मापदण्डको रंगशाला बनाउनेबारे पनि सरकारले योजना बनाइरहेको उनले दावी गरे ।
यसअघि एन्फाका बरिष्ठ उपाध्यक्ष मणि कुवँरले भूकम्पले क्षति पुर्‍याएको रंगशाला पुनर्निर्माणमा भइरहेको ढिलाईले अन्तर्राष्ट्रिय प्रतियोगिता नेपालमा गराउन नसकिएको बारे प्रधानमन्त्रीको ध्यानाकर्षण गराएका थिए ।",sports
"
﻿प्रधानमन्त्री पुष्पकमल दाहालले ६२ वर्षपछि एएफसीको आधिकारिक फुटबल प्रतियोगितामा उपाधि जितेको नेपाली फुटबल टोलीलाई प्रधानमन्त्री निवास बालुवाटारमा बधाई दिएका छन्।
सन् १९५४ मा एसियाली फुटबलको सदस्यता पाएपछि नेपालले गत मंगलबार मलेसियाको कोचिङमा सम्पन्न एएफसी सोलिडारिटी कपको उपाधि जितेको थियो। प्रधानमन्त्री निवासमा खेलाडीहरूलाई सम्मान गर्दै दाहालले सोलिडारिटी कपको विजयले आम नेपालीमाझ उत्साह थपेकोमा बधाई दिए।
‘नयाँ राजनीतिक परिर्वतनका माझ विकासको सम्भाब्यता मापन र राष्ट्रको परिचयसँग खेलकुद अभिन्...",sports
"
﻿अतिवादी समूह स्लामिक स्टेट आइएसले इजरायली फुटवल टिममाथि आक्रमण गरेको कोसोभो प्रहरीले जनाएको छ । गएको अन्तिम साता अल्बानिया भिजिटको क्रममा इजरायली फुटलबल टिममाथि आक्रमण भएको प्रहरीले जनाएको अन्तर्राष्ट्रिय मिडियाले जनाएका छन्।
विश्वकप फुटवल छनोट खेल्न अल्बानिया गएको बेला इजरायली फुटवल टिमलाई आइएसले आक्रमण गरेको हो।
घटनास्थलबाट विस्फोटक पदार्थ र हतियार पनि फेला पारेकोले प्रहरीले यो योजनावद्ध तरिकाले गरीएको आक्रमण हुन सक्ने आशंका गरेको बिबिसीले जनाएको छ।
दुई जना अल्बानियनको सहयोगमा यो आक्रमण भ...",sports
"
﻿
रुसी महारथी क्लव सिएसकेए मस्कोका स्टार रोमक रेमेन्को, लागूओषध कोकिन सेवन गरेको प्रमाणित भएपछि दुई बर्षको प्रतिबन्धमा परेका छन् ।
च्याम्पियन्स लिगको खेलपछि गरिएको डोपिङ परिक्षणमा दोषी पाइएपछि फिनिश मिडफिल्डर रेमेन्कोलाई युरोपेली फुटबल महासंघ युइएफएले प्रतिबन्ध लगाएको हो ।
गत सेप्टेम्बर १४ मा बायर लिभरकसेनबिरुद्धको बराबरी भएको खेलपछि परिक्षकहरुले डोपिङ परिक्षणका लागि बोलाएका थिए । २९ बर्षीय स्टार मिडफिल्डरको रगतको परिक्षणमा कोकिन सेवन गरेको पाइएको थियो ।
युइएफएको बिज्ञप्तिमा भनिएको छ, ‘युइएफएको अनुशासन तथा नैतिकता नियन्त्रण बिभागले सिएसकेए मस्कोका खेलाडी रोमन रेमेन्कोबिरुद्ध यो निर्णय लिएको छ ।’
‘सेप्टेम्बर १४ मा भएको च्याम्पियन्स लिगको खेलपछि गरिएको परिक्षणका क्रममा उनी असफल भएका छन् र युइएफए अन्तर्गतको कुनैपनि प्रतियोगिता खेल्न नपाउने गरी दुई बर्षको प्रतिबन्धमा परेका छन् ।’
बिज्ञप्तिमा भनिएको छ, ‘उनको रक्त नमूनाको परिक्षण गर्दा कोकिनको मात्रा पाइएको छ र यो प्रतिबन्धित लागू ओषध भएको विश्व एण्टी डोपिङ एजेन्सी वाडाले पनि प्रमाणित गरिसकेको छ ।’
युइएफएको निर्णय अनुसार अक्टोवर ६ २०१६ देखि २ बर्ष उनको प्रतिबन्ध लागू हुनेछ ।",sports
"
﻿ मानवजातिले आफ्नो अस्तित्व बचाउने हो भने आगामी एक हजार वर्ष भित्र पृथ्वी जस्तै अर्को वासस्थान खोज्नु पर्नेछ,’ यस्तो दाबी गर्ने व्यक्ति कुनै ज्योतिषी नभई चर्चित भौतिकशास्त्री स्टेफेन हकिंग्स हुन्।
मानवजातिले जुन तिब्र गतिमा पृथ्वीमा रहेका स्रोतको प्रयोग र उपभोग गर्दैछ त्यसले संकट झनै तिब्र गतिले नजिकिएको हकिंग्सले बताएका छन्।
मानवजाति निरन्तर बाँच्ने हो भने उनीहरुले गर्नुपर्ने काम र त्यसका डेडलाइन पनि हकिंग्स तोकेका छन्– आगामी एक हजार वर्ष भित्र पृथ्वी जस्तै अन्य ग्रहमा मानव बस्...",sports
"
﻿नेपाल–जापान कूटनीतिक सम्बन्ध ६० औँ वर्षमा प्रवेश गरेका अवसरमा नेपाली राष्ट्रिय फुटबल टोली र जापानबाट आएको एक टोली ‘जापानका साथीहरु’ बीच शनिबार यहाँ ‘च्यारिटी’ फुटबल खेल हुने भएको छ।
अखिल नेपाल फुटबल सङ्घ (एन्फा) र जापानको गैरसरकारी संस्था कलरबाथको संयुक्त आयोजनामा हुने खेलमा भर्खरै मलेसियामा एएफसी सोलिडारिटी कप जितेर आएको नेपाली टोलीले जे लिगमा खेल्ने तथा विश्वभर व्यावसायिक फुटबल खेल्ने जापानी खेलाडीको सामना गर्नेछन्। तीमध्ये टोडा काजुयुकी सन् २००२ को विश्वकपमा जापा...",sports
"
﻿
३ मंसिर काठमाडौं । विश्व क्रिकेट लिग च्याम्पियनसिपमा केन्याले हङकङलाई ३ विकेटले पराजित गरेको छ ।
नैरोबीमा पहिले ब्याटिङ थालेको हङकङले ४६.२ ओभरमा सबै विकेट गुमाएर २२२ रन बनाएको थियो । उसका लागि अंशुमान रथले ९० रन बनाए भने शाहिद वासिफले ४४ रनको योगदान दिए ।
केन्याका आरआर पटेल एक्लैले ६ ओभरमा १६ रन खर्चिएर ५ विकेट लिए ।
जवाफमा मैदान उत्रिएको केन्याले डिएल मेथडका आधारमा पाएको २०० रनको लक्ष्य १३ बल बाँकी छँदा ७ विकेट गुमाएर भेट्टायो । उसका लागि इरफान करिमले ६७ रनको योगदान दिए ।
जितसँगै केन्या अंक तालिकामा नेपालभन्दा माथि उक्लिएको छ । ७ खेलबाट ८ अंक जोडेको केन्या पाँचौं स्थानमा छ भने ८ खेलबाट ६ अंक जोडेको नेपाल छैटौं स्थानमा छ । लिगको शीर्ष स्थानमा रहेको पपुवा न्यूगिनीको भने १२ अंकको छ ।",sports
"
﻿४ कात्तिक, काठमाडौं । इन्डिया इन्टरनेसनल सिरिजमा सहभागी हुन ५ खेलाडीसहित ६ सदस्यीय नेपाली ब्याडमिन्टन टोली शनिबार भारतको हैदराबाद प्रस्थान गरेको छ ।
नोभेम्बर २२ देखि २७ तारिखसम्म हुने सिरिजमा पुरुषतर्फ दीपक बोहरा, नवीन श्रेष्ठ र विजित थापा तथा महिलामा नङ्शल तामाङ र जेशिका गुरुङले प्रतिस्पर्धा गर्नेछन् । अफिसियलमा नेपाल ब्याडमिन्टन संघका सदस्य राजु थापा छन् ।
सिरिजपछि खेलाडीले भारतकै मुम्बईमा डिसेम्बर १ देखि ४ तारिखसम्म हुने टाटा इन्डिया इन्टरनेसनल च्यालेन्जमा पनि सहभागिता जनाउने ब्याडमिन्टन संघका अध्यक्ष रामजीबहादुर श्रेष्ठले जनाएका छन् ।",sports
