text,category
"﻿
काठमाण्डौ । प्रभु समूह अन्तर्गतको भगिनी संस्था प्रभु हेलिकप्टरले अमेरिकामा निर्मित च्यदष्लकयल च्टट नयाँ हेलिकप्टर नेपालमा भित्र्याएको छ ।
असोज २३ गते पोखरामा सफलतापूर्वक परिक्षण उडान सम्पन्न गरेको उक्त हेलिकप्टरद्वारा चाडै नै नेपाली आकाशमा व्यवसायिक उडान शुरु गर्ने लक्ष्य रहेको कम्पनीले जनाएको छ । यो सहित प्रभु हेलिकोप्टसँग अहिले अमेरिकामा निर्मित दुई वटा हेलिकोप्टर रहेका छन् ।
पोखरा र काठमाडौँमा आधार बनाएर हेलीकप्टरद्वारा दैनिक साइट सिन, माउन्टेन फ्लाइट, एयर एम्बुलेन्स तथा उद्धार लगायतका काममा उडान गर्ने छ ।
कम्पनीको पोखरामा आफ्नै ह्याङ्गरमा नियमित परिक्षण तथा मर्मत सम्भार गरी सुरक्षित तथा भरपर्दो सेवाकोे प्रत्याभूति गरिएको प्रभु हेलिकोप्टरले जनाएको छ । प्रभु हेलिकप्टरले क्रमिक रुपमा नँया हेलिकप्टरहरु थप्दै हवाई क्षेत्रमा गुणस्तरीय सेवा दिंदै पर्यटन क्षेत्रको विकासमा टेवा पुर्‍याउने योजना राखेको बताएको छ ।
प्रभु समूह अन्तरगत प्रभु बैंक, प्रभु इन्स्योरेन्स, प्रभु क्यापिटल, प्रभु मनी ट्रान्सफर लगायतका कम्पनी संचालनमा छन् ।",tourism
"﻿
१ कातिक, खोटाङ । जिल्लाको पर्यटकीयस्थल मझुवागढी जानका लागि फलामे रेलिङसहितको पदमार्ग निर्माण गरिएको छ । गढी आवतजावत गर्ने आन्तरिक तथा बाह्य पर्यटकलाई लक्षित गरेर दिक्तेलस्थित हाटडाँडादेखि भगवतीपार्कसम्म फलामे रेलिङसहितको पदमार्ग निर्माण गरिएको हो ।

जिल्ला विकास समितिमार्फत सञ्चालित एसबिएलएल परियोजनाको आर्थिक तथा जिल्ला प्राविधिक कार्यालय खोटाङको प्राविधिक सहयोगमा पदमार्ग निर्माण गरिएको उपभोक्ता समितिका अध्यक्ष भूपराज राईले बताए। अध्यक्ष राईका अनुसार हाटडाँडादेखि चार खण्ड गरेर क्रमिक रुपमा तीन आर्थिक वर्ष लगाएर फलामे रेलिङसहितको पदमार्ग निर्माण गरिएको हो ।
पदमार्ग निर्माण भएपछि आन्तरिक तथा बाह्य पर्यटकलाई आवतजावतमा सहज भएको गढी संरक्षण तथा पर्यटन विकास समितिका अध्यक्ष बबी चाम्लिङले बताए ।
सदरमुकाम दिक्तेलबाट करिब ४५ मिनेट पैदल यात्रापछि पुगिने गढीलाई संरक्षण र विकास गर्न परियोजनाले रु ४० लाख ५० हजार सहयोग गरेको छ । तीन वर्षअघिदेखि निर्माणको काम थालिएको पदमार्ग हालै सम्पन्न भएको जिल्ला प्राविधिक कार्यालय खोटाङका प्रमुख इन्जिनियर राजु श्रेष्ठले जानकारी दिए ।
समुद्री सतहदेखि करिब दुई हजार मिटर अग्लो डाँडामा रहेको मझुवागढीमा विसं १८०४ सम्म राजा रणवीर हाङले राज्य गरेको प्रमाण छ । चारैतिर जङ्गलले घेरिएको सो गढीमा अहिले दैनिक ५०÷६० जना आन्तरिक पर्यटक घुम्न र विभिन्न ठाउँको दृष्य अवलोकन गर्न आउने गरेका छन् ।
गढी परिसरमा पर्यटकका लागि वर्षात्को समयमा बस्ने पाल तथा पानीको व्यवस्थासमेत मिलाइएको छ ।
मझुवाको अर्थ माझ भन्ने बुझिन्छ । मझुवा गढीको पश्चिम दिशामा महुरेगढी, हाल नुनथला गाविसमा रहेको छ । त्यस्तै, पूर्वमा चुइचुम्वागढी याम्खा गाविसमा पर्छ भने, दक्षिणमा खाम्तेल गढी हाल राजापानी गाविसमा रहेको छ ।
चारैतिर गढी रहेको मझुवा बीचमा पर्ने भएकाले उक्त ठाउँको नाम मझुवागढी भनिएको जानाकार बताउँछन् ।
गढीको केही तल कालिका भगवती मन्दिर रहेको छ । गढीमा हरेक वैशाखे पूर्णिमाको दिन पूजा गर्दै साकेला नाच्ने गरिन्छ ।",tourism
"﻿
१ कात्तिक, काठमाडौं । पोखरामा माउन्ट कैलाश रिर्सोटले फ्रान्सको राजधानी पेरिसमा भएको इन्टरनेशनल बिड क्वालिटी कन्भेन्सनमा इन्टरनेशनल ‘गोल्ड स्टार फर क्वालिटी’ शिर्षकमा ‘बिड क्वालिटी अवार्ड २०१६’को उपाधि जितेको छ ।
फान्सको पेरिसमा भएको सो अर्वाडमा नेपालबाट पहिलो पटक छानिएको माउन्ट कैलाश रिसोर्ट पोखराले बिड क्वालिटी अवार्ड जितेको हो ।
विश्वभरी रहेका विभिन्न निजी कम्पनीले दिने सेवा सुबिधाको मूल्यांकन गरेर हरेक बर्ष बिजनेस ईन्टिय़टिभ डिरेक्सन (बिड)ले वर्ल्ड क्वालिटी कामिटमेन्ट अवार्ड गर्दै आएको छ ।
माउन्ट कैलाश रिसोर्ट पोखरा यो अवार्ड पाउने नेपालको पहिलो रिसोर्ट हो । पेरिसको होटेल हायातमा भएको अवार्ड वितरण कार्यक्रममा माउन्ट कैलाश रिसोर्ट पोखराका अध्यक्ष नरेश भट्टराइले अवार्ड ग्रहण गरेका थिए ।",tourism
"﻿
२ कात्तिक, लमजुङ (बेसीसहर) । हिमालपारीको जिल्ला मनाङ आन्तरिक पर्यटकको गन्तव्य बन्दै गएको छ । जिल्लामा मोटरबाटो बनेपछि आन्तरिक पर्यटक सवारी साधनबाट आउने क्रम बढेको हो ।

बिदा मनाउन र घुमघाम गर्नका लागि युवायुवती मोटरसाइकल तथा अन्य सार्वजनिक सवारीसाधन चडेर मनाङसम्म आउने आन्तरिक पर्यटक बढिरहेको मनाङ पर्यटन व्यवसायी समितिका अध्यक्ष विनोद गुरुङले बताए ।
“मनाङमा अहिले दैनिक काठमाडौँ, पोखरा, बुटवल, चितवन, पाल्पालगायतका स्थानबाट आन्तरिक पर्यटक आउने गरेका छन्” गुरुङले भने “सवारी सञ्चालनमा आएपछि लमजुङबाट पनि मनाङ घुम्न जानेको सङ्ख्यामा उल्लेख्य वृद्धि भएको छ ।”
माथिल्लो मनाङसम्म मोटरसाइकलमा पुग्न सकिने भएपछि गन्तव्य मनाङ बनाएर अधिकांश आन्तरिक पर्यटक आएको गुरुङले बताए । पछिल्लो समय मनाङमा पुगेका पर्यटक सजिलै तिलिचो तालसम्म पुग्ने गरेका छन् ।
“धेरैजसो आन्तरिक पर्यटक तिलिचो जानका लागि आएका छन्, केही चाँहि थोरङला पनि गएका छन्” गुरुङले भने । सडक सञ्जालले मनाङमा पर्यटकको आगमन घट्ने अनुमान गरिए पनि पछिल्लो समय आन्तरिक पर्यटक आगमनमा उल्लेख्य वृद्धि भएको छ । दैनिकजसो विदेशी तथा आन्तरिक पर्यटकको आगमन बढ्न थालेपछि मनाङका पर्यटन व्यवसायी उत्साहित भएका छन् ।

“सडक बनेपछि पैदलयात्री आउँदैनन् कि भन्ने धेरैको अनुमान थियो” गुरुङले भने “तर अहिले आन्तरिक पर्यटकको ओइरो लागेको छ ।” विश्व प्रसिद्ध थोराङला पासको लागि जाने पर्यटक हिमाली जिल्ला मनाडमा कम्तीमा दुई दिनसम्म बस्ने गर्दछन् । सिजनमा दैनिक २०० को हाराहारीमा आउने पर्यटकबाट स्थानीय व्यवसायीले राम्रै आम्दानी गर्ने गरेका छन् ।
हिउँ पर्ने र चाक्ला जग्गा जमिन नभएकाले मनाङमा अन्य खेतीपाती हुँदैन । मनाङको मुख्य बाली भनेको फापर, आलु नै हो । त्यसैले त्यहाँका तीन प्रतिशत मानिस मात्रै कृषि पेसामा छन् । मुख्य पेसाका रुपमा मनाङका नागरिकले पर्यटन व्यवसायलाई नै रोजेका छन् । मनाङका ८० प्रतिशत नागरिक पर्यटन व्यवसायमा लागेको बताइन्छ ।",tourism
"﻿
२ कात्तिक, बेनी (म्याग्दी) । चीनको स्वशासित क्षेत्र तिब्बतसँग सीमा जोडिएको मुस्ताङको कोरला नाका अवलोकन गर्न जानेको सङ्ख्या ह्वात्तै बढेको छ ।

सरकारले नाका सञ्चालनका लागि चीनसँग कूटनीतिक संवाद र भौतिक संरचनाको स्तरोन्नति गर्न थालेपछि व्यापारी, विद्यार्थी र अनुसन्धानकर्ता नाका पुगेर त्यहाँको वस्तुस्थिति अवलोकन गर्न थालेका हुन् ।
पश्चिमाञ्चल क्षेत्रका व्यापारी दसैँको बिदा मनाउन नाका अवलोकन गर्न थालेको लोमान्थाङका स्थानीय सुवर्ण विष्टले जानकारी दिए । “नाका खुले व्यापारिकरुपमा कसरी लाभ लिन सकिन्छ भन्ने नै व्यापारीको भ्रमणको मुख्य उद्देश्य हुने गरेको छ, उनले भने “दसैँलगत्तै लोमान्थाङ पुग्ने आन्तरिक पर्यटकको सङ्ख्यामा वृद्धि भएको छ । दैनिक २०० को हाराहारीमा पर्यटक त्यहाँ पुग्ने गरेको विष्टको भनाइ छ ।
लोमान्थाङबाट आधा घन्टाभित्र सवारीसाधनमै कोरलानाका पुग्न सकिन्छ । जीर्ण भएपनि नाकासम्म सडक सञ्जाल पुगेपछि सर्वसाधारणको पहुँच बढ्दै गएको हो ।
सीमा क्षेत्रमा चिनियाँ पक्षले सुरक्षामा कडाइ गर्ने भएकाले धेरै बेरसम्म बस्न नपाइने त्यहाँ पुगेका म्याग्दी उद्योग वाणिज्य सङ्घका महासचिव राजेश शाक्यको भनाइ छ । “नाका सञ्चालनका विषयमा हामीले आफ्नो ठाउँबाट व्यापक दबाब दिइरहेका छौँ, यो जसरी पनि खुल्नुपर्छ,” शाक्यले बताए।",tourism
"﻿
५ कात्तिक, गोरखा । भूकम्पले क्षति पुर्‍याएको गोरखा दरबारको पुनर्निर्माणमा ढिलाइ भएको छ ।
दरबारको जग तथा संरचनामा भूकम्पले क्षति पुर्‍याएकोले जगैदेखि पुनःनिर्माण गर्नुपर्ने देखिए पनि बजेटको अभाव हुँदा दरबारका मुख्य संरचना र कालिका मन्दिरको पुनःनिर्माण हुन सकेको छैन।
‘दरबारको गारो जीर्ण भइसक्यो । छानाबाट पानी चुहिन्छ”, गोरखा दरबार हेरचाह अड्डाका प्रमुख गणेश भट्टराईले  भने, “तल्लो तलाभन्दा माथिल्लो तला धेरै जीर्ण छ ।” दुईतले दरबारको अधिकांश ठाउँमा सालका काठ प्रयोग गरिएका छन् । भूकम्प गएको १८ महिना हुँदा पनि ऐतिहासिक, धार्मिक तथा पर्यटकीय महत्वको दरबार पुनःनिर्माणको काम नभएको हो ।
गोरखा दरबार छेउमा रहेको गुरु गोरखनाथको मन्दिर (गुफा) भने मर्मत गरिएको छ । भूकम्पले पूर्णरुपमा क्षति पुर्‍याएपछि गोरखनाथ मन्दिर टहरोमा सञ्चालित थियो । भूकम्प प्रतिरोधी मन्दिर बनाएपछि नियमितरुपमा पूजाआजा सुरु गरिएको भट्टराईको भनाइ छ । दरबार मर्मत गर्न पुरातत्व विभाग तथा सरकारसँग आग्रह गरेपनि बजेट अभाव हुँदै आएको भट्टराईले बताए ।
यसअघि पुरातत्व विभागले दरबारको अवस्थाबारे अध्ययन गरिसकेको छ । अध्ययन गरे पनि बजेटको व्यवस्था नगरेपछि दरबार मर्मत गर्न नसकिएको हो । दसैँका बेला दरबारको दसैँ घरमा सकसपूर्ण पूजाआजा तथा फूलपाती भित्र्याइएको भट्टराईको गुनासो छ ।
तत्कालीन राजा राम शाहले विसं १६६८ सालमा निर्माण गरेको दरबार भूकम्पपछि जीर्ण हुँदै गएको छ । दरबारमा विसं १७९९ मा पृथ्वीनारायण शाहले राज्याभिषेक गरेको इतिहास छ ।",tourism
"﻿
६ कात्तिक । जिल्लाको पश्चिमी गाविस डिकुवाका स्थानीयले पर्यटकीयस्थल भुम्जुडाँडासम्म पुग्नका लागि चन्दा उठाएर सडक निर्माण गरेका छन् ।

फाइल फोटो
भुम्जुडाँडा घुम्न आउने पर्यटकलाई लक्षित गर्दै डिकुवाका १८ घर स्थानीयले एक हजारदेखि पाँच हजारसम्म चन्दा उठाएर तीन किलोमिटर सडक निर्माण गरेका हुन् ।
१४ लाख बढीको लगानीमा निर्माण गरिएको सडकका लागि गाविसको तीन लाख सहयोग रहेको निर्माण उपभोक्ता समितिका संयोजक बागदल खत्रीले बताए ।
पर्यटकीयस्थल भुम्जुडाँडा मध्यपहाडी लोकमार्गअन्तर्गत जयराम–हलेसी सडकखण्डको डिकुवा गाविसमा पर्दछ । सदरमुकाम दिक्तेलबाट च्यास्मिटार–डिकुवा हुँदै भुम्जुडाँडा पुग्ने बाटो खुलाइएको निर्माण उपभोक्ता समितिले जनाएको छ ।
भुम्जुडाँडामा खोटाङको पश्चिमी गाविससँगै छिमेकी जिल्ला उदयपुर, ओखलढुङ्गा, रामेछाप, सिन्धुली, सिराहा, सप्तरी, सुनसरी, मोरङलगायतका पर्यटक आउने गरेका छन् । पछिल्लो समय भुम्जुडाँडामा पर्यटकको आगमन वृद्धि हुँदै गएपछि उनीहरुको सुविधाका लागि चौतर्फी विकासमा स्थानीय लागि परेका छन् ।",tourism
"﻿
६ कत्तिक, काठमाडौं । आगामी मंसिर ६ गते संखुवासभामा मकालु हिरक महोत्सव हुने भएको छ । मकालु हिमालमा मानव पाहिला टेकेको ६० बर्ष पुगेको असरमा मकालु हिरक महोत्सव गर्न लागिएको हो । संखुवासभाको चिचिलामा हुने मकालु हिरक महोत्सव मसिर ५ ,६ र ७ गते सम्म चल्ने आयोजक समितिले जनाएको छ ।
मकालु हिरक महोत्सव आयोजक समितिले सनिबार राजधानीमा पत्रकार सम्मेलन गरी महोत्सवबारे जानकारी गराएको हो ।
नेपालमा मात्रै नभई विश्वभर मकालु हिमालबारे जानकारी गराउने उपयुक्त अवसरको रुपमा महोत्सवलाई लिएको आयोजक समितिले जनाएको छ ।",tourism
"﻿
७ कात्तिक, चितवन । पर्यटकीय नगरी सौराहामा पहिलो सांगीतिक रेस्टुरेन्ट “बलेसी रेस्टुरेन्ट” सञ्चालनमा आएको छ ।
स्वदेशी तथा विदेशी पर्यिटकहरुको मागलाई मध्येनजर गर्दैै गीत संगीतसहित विभिन्न खानाका परिवारको स्वादको मज्जा एकसाथ लिन नयाँ प्योकजका रुपमा “बलेसी रेस्टुरेन्ट” सञ्चालनमा आएको हो ।
‘जंगल सफारी, हात्ती सफारी, डुंगा सयर, जीप सफारी, जंगल बाक, गाडा सयर, थारु नयाँको मज्जा लिँदै आएका पर्यटकहरुले आएका थिए,’ बलेसी रेस्टुरेन्टका सञ्चालक विनोद लोप्चनले भने ‘अब साँगितक मज्जासहितको नेपाली र विदेशी हरेक प्रकार परिकारको स्वादमा पर्यटकहरु रमाउने छन् ।’
नयाँ प्रयोगसहितको रेस्टुरेन्ट संचालनमा “बलेसी रेस्टुरेन्ट” सौराहाकै पर्यटन क्षेत्रमा आधा दशकदेखि सक्रिय युवा उद्यमीहरु विनोद लोप्चन र सुजन भट्टले सांगेतिक रेस्टुरेन्ट सञ्चालनमा ल्याएका हुन् ।
सिजनल नभई सदाभार बनेको सौराहामा सञ्चालन आएको रेष्टुरेन्ट पर्यटकहरुलाई नयाँ प्याकेजका रुपमा थपिनु सौराहाको पर्यटनमा नयाँ आयाम भएको क्षेत्रीय होटल संघका अध्यक्ष ज्ञानेन्द्रकुमार विष्टले बताए ।
बलेसीले सौराहामा संगितमा रमाउन चाहाने पर्यटकहरुको मन जित्ने रेष्टुरेन्ट एण्ड बार एशोसिएसन नेपाल -रेवान) सौराहाका अध्यक्ष लालबहादुर भट्ट (राजन)ले बताए ।
सो रेस्टुरेन्टको एक कार्यक्रमकाबीच नवनायिका मरिस्का पोखरेल र नेपाली युवा उद्यमी मञ्च चितवनका अध्यक्ष निर्देश सेढाईले संयुक्त रुपमा रिबन काटेर उद्घाटन गरेका थिए ।
रेस्टुरेन्ट संचालक विनोद लोप्चनका अनुसार सुरुमा साताको शुक्रबार, शनिबार र बुधबार गरी तीन दिन सांगेतिक कार्यक्रम हुने माग वमोजिम वढाइनेछ ।
आन्तरीक पर्यटकलाई मनोरञ्जन दिने उदेश्यले सौराहामा नयाँ प्रयोग गरिएको अर्को सञ्चालक सुजन भट्टले जानकारी दिए । उनका अनुसार रेष्टुरेन्टमा निर्माणमा ३० लाख रुपैयाँ बढी खर्च भएको बताए । यसअघि सौराहामा सांगेतिक रेस्टुरेन्ट थिएन् ।
रेस्टुरेन्टमा विषेश गरी भारतीय खाना पाइन्छ । सौराहामा ७० वटा रेस्टुरेन्ट तथा करिव १ सय ५० वटा ठुला होटल छन् ।
रेस्टुरेन्ट संचालक विनोद लोप्चनको अध्यक्षतामा भएको उद्घाटन कार्यक्रममा इलाका प्रहरी कार्यालय रत्ननगरका प्रहरी नायव उपरिक्षक नारायण रञ्जितकार, चितवन राष्ट्रिय निकुञ्जका रेन्जर छत्रवहादुर खड्का लगायतले शुभकामना मन्तव्य राखेका थिए ।",tourism
"﻿
७ कात्तिक, इलाम । कात्तिक महिना सुरु भएसँगै मौसम खुलेपछि जिल्लाका पर्यटकीयस्थल पर्यटकले भरिभराउ हुन थालेका छन् । मौसम खुलेसँगै जिल्लाका कन्याम, अन्तु, पशुपतिनगर, सन्दकपुर, माईपोखरी, पाभीभरा, गजुरमुखी लगायतका धार्मिक तथा पर्यटकीयस्थल आन्तरिक तथा बाह्य पर्यटकले खचाखच भएका हुन् ।

कन्यामबाट दार्जिलिङ हुँदै सिक्किम, कालेङपोङ भएर नेपाल फर्कने र शैक्षिक भ्रमणमा आउने आन्तरिक पर्यटक अधिक छन् ।
सूर्याेदय र सूर्यास्तका लागि प्रख्यात अन्तुडाँडामा पनि पर्यटकको बाक्लै उपस्थिति छ । हेटौँडाबाट आउनुभएकी अस्मिता खड्काले अन्तुडाडाँबाट सूर्योदयको दृश्यावलोकन राम्रो भएको बताए ।
तराई र पश्चिमी जिल्लाका साथै विदेशी पर्यटक यतिबेला कन्यामसँगै माईपोखरी, टोड्के झर्ना हुँदै छिन्टापु, सन्दकपुरसम्म जाने पर्यटक धेरै भएको पर्यटन व्यवसायीसमेत रहनुभएका पूर्वेली जिप तथा ट्याक्सी व्यवसायी सङ्घका अध्यक्ष गृष्म सुब्बाले बताए।
गत वर्षमा विदेशी पर्यटकको आवागमन पनि कम रहेको इलाममा यो वर्ष भने निक्कै बाक्लो उपस्थिति देख्दा पर्यटन व्यवसायी हर्षित छन् ।
“यहाँ दैनिक चार÷पाँच सयको हाराहारीमा स्वदेशी तथा विदेशी पर्यटक आउन थालेका छन्”, कन्याम इनका होटल सञ्चालक टीका ओडारी भन्छन्, “कहिलेकाहिँ त पर्यटकका सवारीसाधनले मेची राजमार्ग नै अवरूद्ध हुने गरेको छ ।” कन्याम आउने पर्यटकले हरियाली कन्याम, कञ्चनजङ्घा हिमालको दृश्यावलोकन गर्ने गरेका छन् भने घोडामा चढेर हरियाली क्षेत्रको अवलोकन गर्ने गरेका छन् ।
कन्याम आइपुगेका पर्यटक फिक्कल हुँदै पशुपतिनगरबाट भारततर्फ जाने भएकाले धेरै पर्यटक सदरमुकामतिर भने आउँदैनन् ।
पर्यटकीयस्थल सन्दकपुरमा पनि दैनिक तीन सयको हाराहारीमा पर्यटक आउने गरेको शेर्पा च्यालेट होटलले जनाएको छ । यहाँबाट सूर्याेदय, सूर्यास्त, कञ्चनजङ्घा हिमाल, पाँचथर, ताप्लेजुङ तथा भारतको विभिन्न स्थानको अवलोकन गर्न सकिन्छ ।",tourism
