text,category
"
﻿           अफ्गानिस्थान निर्वाचन अधिकारीहरुले गत महिना नयाँ राष्ट्रपती चुन्न भएको दोस्रो मतदानमा खसालिएका सबै ८० लाख मतपत्रहरु पुनरावलोकन गर्ने काम सुरु गरेका छन् । उक्त चुनावमा व्यापक धाँदली गरिएको भन्ने आरोपहरु लगाए पछि अमेरिकी मध्यस्ततामा  पुनरावलोलनको काम सुरु गरिएको हो । दोस्रो स्थानमा रहेको उमेरद्वार अब्दुल्लहा अब्दुल्लाहाले आफ्नो प्रतिद्वन्दी असर्फ धनीको पक्षमा धाँदली गरेको आरोप लगाएको थियो ।
",world
"
﻿श्रावण २४, काठमाण्डौं । अमेरिकी राष्ट्रपति बाराक ओबामाले शून्य उग्रवादी समूह आई. एस. लाई सिरिया र इराकमा कुनै पनि हातलमा आतंक फैलाउन नदिने बताउनु भएको छ । राष्ट्रपति ओबामाले उत्तरी इराकमा आवश्यक परे थप हवाइ कारवाही गर्न सकिने तर अमेरिकी सेनालाई जमिनमा भने नपठाउने पनि बताउनु भएको छ । इस्लामिक स्टेट आई.एस. ले उत्तरी इराकलाई कब्जा गर्दै कुर्दित शहर इर्विल तर्फ अघिबढ्न खोजेपछि संयुक्तराज्य अमेरिकाले हवाइ आक्रमण सुरु गरेको थियो । यसै बीच जेहादी लडाकुहरुबाट बच्न पहाडहरुमा लुकेर बसेका इराकी सर्ब साधारणलाई अमेरिकी सेनाले दोस्रो पटकको खाद्यन्न तथा पानी आपूर्ति गरेको छ । 
",world
"
﻿एक वैज्ञानिकको भनाइ अनुसार, अब मानिसले शासन गर्ने १५ वर्षमात्र बाँकी छ। गुगलका इंजिनियरिङ डायरेक्टर रे कुर्जवेलका अनुसार सन २०२९ सम्म कम्प्यूटर मानिसका सवै भाषा र बडी ल्याङगवेज बुझ्ने भइसक्दछ। कम्युटरले मानिसहरुको अनुभवबाट आफै पनि सिक्न सुरु गर्नेछ र संसारको सवै भन्दा दिमाग भएको बुद्धिमान बन्नेछ।

६६ वर्षिय कुर्जवेल आर्टिफिसियल इन्टेलिजेन्सका विद्धान र भविष्यवेक्ता हुन्। उनले यसअघि गरेका भविष्यवाणी सही सावित भएका छन्। कुर्जवेलले सन १९९० मा १९९८ सम्म कम्युटरले चेसमा मानिसलाई हराउने भविष्यवाणी गरेका थिए। सन १९९७ मा आइबिएमको डीप ब्लुले ग्यारी कास्पारोभलाई हराइदिएपछि उनको भविष्णवाणी सहि सावित भयो।

इन्टरनेटको राम्रो विकास नभइसक्दा उनले एक दिन संसारनै इन्टरनेट बाट जोडिने भविष्वाणी गरेका थिए। एक पत्रिकाका अन्तर्वाता दिँदै कुर्जीवेलले १५ वर्षमा संसारको रोबटको हातमा जाने बताएका हुन्। उनले आफ्नो अनुमान केही हलिउड चलचित्र र हाई प्रोफाइल एआई डिभेलपमेन्टसमा देखाईसकिएको बताए। कुर्जवालले फ्लेटबेड स्क्यानर, टेक्स्ट टु स्पिच सिनथेसिस, स्पिच रिकग्निसन जस्ता प्रविधी पत्ता लगाई सकेका छन्। उनी थ्योरी अफ सिंगुलारिटीका लागि चर्चित छन् ।
",world
"
﻿अमेरिकाको संघीय अनुसन्धान ब्युरो एफबीआइले करिब ४० लाख अमेरिकी सरकारी कर्मचारीका व्यक्तीगत विवरणसम्म ह्याकरहरुको अनधीकृत रुपमा पहुँच कसरी भयो भनेर अनुसन्धान गरिरहेको छ। पुरै संघीय प्रशासनको मानवस्रोत व्यवस्थापनको जिम्मेवारी लिएको पर्सनल म्यानेजमेन्टको कार्यालय ओपीएमले पछिल्लो ह्याकीङ प्रकरणलाई साइबर घुसपैठको संज्ञा दिएको छ।  ह्याकरहरुको आक्रमणपछि सो निकायले सबै प्रभावित पूर्व र बहालवाला कर्मचारीलाई सम्पर्क गर्दै उनीहरुको पहिचान सुरक्षित राख्नेबारे आश्वासन दिइरहेको छ।

अमेरिकी अधिकारीहरुले सो आक्रमण चिनियाँ ह्याकरहरुबाट भएको हुन सक्ने बताएका थिए। तर वासिङटनस्थित चिनियाँ दूताबासले त्यस्तो आरोप गैरजिम्मेवार भएको बताउँदै त्यसो गर्नु प्रत्युत्पादक हुने प्रतिक्रिया दिएको छ।  सो दूताबासले & हतारमा निश्कर्ष ननिकाल्ल&  चेतावनी दिएको छ।
विदेशी शक्तिले सुरक्षाको हिसाबले उचित मानिएका व्यक्तीहरुबारे जानकारी हासिल गर्ने काम सफलतापूर्वक गरेको यो अर्को संकेत हो। 
",world
"
﻿मानव अधिकारसम्बन्धी युरोपेली न्यायालयले फ्रान्सका चिकित्सकहरुले करीब सात वर्षदेखि &#39;कोमा&#39; मा रहेका एक व्यक्तिलाई जिउँदो राख्न लगाइएको मेसिनको कृत्रिम सहयोग हटाउन सक्ने फैसला गरेको छ। एक सडक दुर्घटनामा गम्भीर घाइते भएका भिन्सेन्ट ल्याम्बर्ट गत सात बर्षदेखि अचेत अवस्थामा छन्। फ्रान्सको उच्चतम अदालतले उनलाई पाइपमार्फत खानपान गराइरहेको प्रकृया रोक्ने पक्षमा फैसला गरेपछि उनका बाबुआमाले उनलाई जिउँदै राखिरहन अपील गरेका थिए। तर युरोपेली न्यायालयका न्यायाधीशहरुले फ्रान्सेली अदालतको निर्णयलाई स्वीकार्दै त्यसले मानव अधिकार सम्बन्धी युरोपेली कानुन उल्लंघन नहुने ठहर गरेका छन्।

युथेनेसिया वा इच्छामरणलाई गैरकानुनी ठानिने फ्रान्समा यो प्रकरणले निकै चर्को बहसको सृजना गरेको छ। करीब निष्क्रिय रहेको फ्रान्सको सन् २००५ को युथेनेसिया सम्बन्धी कानुन अन्तर्गत त्यहाँ डाक्टरहरुले उपचार रोक्न सक्छन्। शुक्रबार स्ट्रासबर्गस्थित अदालतले भिन्सेन्ट ल्याम्बर्टलाई नशामार्फत दिइरहेको खानपान रोक्नु मानव अधिकारको उल्लंघन नहुने फैसला ग-यो। ३९ बर्षीय ल्याम्बर्टलाई उत्तर पूर्वी फ्रान्सको एक अस्पतालमा नशाबाट खानेकुरा र पानी दिइ जिउँदो राखिएको छ।

उनलाई सामान्य अवस्थामा ल्याउने आशा नरहेको भन्दै उनकी श्रीमती -याशेल र भाइबहिनीहरुले डाक्टरहरुको सिफारिसप्रति समर्थन जनाएका थिए।
उनकी श्रीमतीले फैसलाबाट कुनै खुशी वा राहत महसुस नभएको बताइन्। उनले आफ्ना श्रीमान् यो अवस्थामा बाँचिरहन चाहने थिएनन् पनि भनिन्।
",world
"
﻿ग्रीक प्रधानमन्त्रीले ऋणलाई लिएर आफ्नो मुलुकलाई  अपमानित  नगर्न अन्तर्राष्ट्रिय ऋणदाताहरुलाई चेतावनी दिएका छन्। प्रधानमन्त्री एलेक्सिस त्सीप्रासले वार्ताहरु गम्भीर मोडमा पुगे पनि ऋणदाताहरुको प्रस्ताव वास्तविक खालको नभएको बताए। आफ्नै दल सिरिजा पार्टीबाट ऋणदाताहरुको प्रस्तावको विरोध भइरहेका बेला त्सीप्रासले त्यसबारे संसदको आपतकालीन बैठकलाई जानकारी गराएका हुन्। यसअघि अन्तर्राष्ट्रिय मुद्रा कोषलाई शुक्रबार पुनः दिनुपर्ने ३० करोड युरो तिर्न ग्रीसले ढिलाई गरेको थियो। युरोपियन युनियन र मुद्रा कोषको योजनालाई त्सीप्रासले युरोपका लागि  खराब क्षण  र  वार्ता गर्ने धूर्त्याइ  भएको टिप्पणी गरे।

हालैका महिनाहरुमा सहमत भएका सुधारका उपायहरुबाट जर्मन ऋणदाताहरु पछाडि हटेको उनले आरोप समेत लगाए। त्यस्तै मितव्ययीता अन्त्यसम्बन्धी पछिल्लो प्रस्तावलाई हेर्न उनीहरु विफल भएको त्सीप्रासको भनाई थियो। ऋणमा राहत दिनुपर्ने माग ग्रीक योजनाको एउटा महत्पूर्ण हिस्सा भएको बताइएको छ।

युरो मुद्रा प्रचलनमा रहेका देशका अर्थमन्त्रीहरु र युरोपियन कमिसनका प्रमुखसँग यसै साता ब्रसेल्समा भएको वार्तामा उनीहरुले प्रस्ताव पेश गरेका थिए। उनीहरुको प्रस्तावको शुक्रबार आलोचना गर्दै त्सीप्रासले भने, & कुनै पनि सम्झौताको उद्देश्य समस्याको समाधानका लागि हुनुपर्छ, सारा मानिसहरुलाई अपमान गर्नका निम्ति हुनु हुँदैन।&  उनले आफ्नो प्रस्तावमात्र  वास्तविक  खालको भएको दाबी गरे।
",world
"
﻿स्पेनिस क्लब रियल मड्रिडका स्टाइकर क्रिष्टियानो रोनाल्डोकी आमालाई स्पेनका सिभिल गार्डले विमानस्थलमा रोकेका छन् । झोलामा ५५ हजार युरो राखेर स्पेनको मड्रिडबाट घर पोर्चुगल जानका लागेकी रोनाल्डोकी आमा ६१ वर्षकी डोलोरेस आभेरोलाई मड्रिड विमानस्थलमा स्पेनका सिभिल गार्डले रोकेका हुन् । पोर्चुगल जाने तयारीमा रहेकी आभेरोको झोला चेकजाँच गर्दा ५५ हजार युरो भेटिएकाले उनलाई रोकिएको सिभिल गार्डकी प्रवक्ताले बताएकी छन् । 

कुनै पनि यात्रुले एकपटकमा स्पेनबाट अधिकतम १० हजार युरोमात्रै स्वीकृती नलिइकन लैजान पाउँछन् । रोनाल्डोकी आमा आभेरोले नियमले तोकेको भन्दा ४५ हजार युरो बढी स्वीकृती नलिइ लैजान लागेकाले उनलाई रोकिएको सिभिल गार्डकी प्रवक्ताले बताएकी छन् । विश्वकै सबैभन्दा बढी मुल्य तिरिएका पोर्चुगिज रोनाल्डोकी आमासँग यतीको रकम हुनु सामान्य भएपनि उनले नियमको उल्लंघन गरेकाले रोकिएको विमानस्थलका अधिकारीले बताएका छन् । यो घटना सोमबार भएको समाचार संस्था एएफपीले जनाएको छ 
",world
"
﻿जर्मनीमासम्पन्न ठूला धनी मुलुकहरुको संगठन  जी ७  देशको सम्मेलनले रुसमाथि लगाइएको प्रतिबन्ध जारी राख्दै अझ कडा बनाउने सहमति गरेका छन् । पूर्वी युक्रेनमा संघर्षविराम लागू नभएसम्म रुसविरुद्धको आर्थिक प्रतिबन्ध जारी राख्ने निर्णय भएको जर्मन चान्सलर एन्जेला मर्केलले जानकारी दिएकी छन् । दुईदिने सम्मेलनपछि पत्रकारहरुसँग मर्केलले जी ७ का राष्ट्र रुसमाथि लगाइएको प्रतिबन्ध थप कडा बनाउन तयार रहेको बताएकी हुन् । 

अमेरिकी राष्ट्रपति बाराक ओबामाले पनि रुसले युक्रेन मुद्दामा शान्तिसम्झौता पूर्णरुपमा लागू नगरेसम्म प्रतिबन्ध कायमै रहने उल्लेख गरे । यसअघि  जी ८ मा सहभागी हुँदै आएको रुसलाई भने गत वर्ष युक्रेनको पूर्वी क्षेत्र क्रिमिया आफ्नो देशमा बिलय गराएपछि अरु देशले समूहबाट हटाएका थिए । सम्मेलनमा पूर्वी यूक्रेनमा जारी संघर्ष, जलवायु परिवर्तन र यसको असर, ग्रीसको संकटापन्न अर्थ व्यवस्था तथा इस्लामिक अतिवादी संगठन (आइएस)को दबदबाबारे छलफल भएको थियो ।
",world
"
﻿तीनकुनेस्थित कान्तिपुर अस्पतालअगाडि शुक्रबार साँझ आठ बजे जेब्राक्रसबाट बाटो काट्दै गरेका तीनजना पैदलयात्रीलाई बसले ठक्कर दिएको छ। काठमाडौं-तातोपानी चल्ने बा २ ख ३५७६ नम्बरको सुनकोसी यातायातको बसको ठक्करबाट पैदलयात्री कोटेश्वरका प्रताप प्रधानांग, तीनकुनेकी सबिना आचार्य र सिनामंगलका सागर मानन्धर घाइते भएका छन्।

तातोपानीबाट आएको ठक्कर दिने बस पुरानो बसपार्कतर्फ जाँदै थियो। प्रहरीले बस र चालकलाई नियन्त्रणमा लिएको छ। बस काभ्रे महादेवस्थान घर भएका ६५ वर्षीय कान्छामान मानन्धरले हाँकेको अन्नपूर्ण पोस्टमा खबर छ ।

महानगरीय प्रहरी वृत्त बानेश्वरका प्रमुख डीएसपी दानबहादुर कार्कीले घाइतेलाई कान्तिपुर अस्पतालमा प्रारम्भिक उपचारपछि सिभिल अस्पतालमा रिफर गरिएको बताए। घाइतेमध्ये प्रधानांग गम्भीर छन्। उनको टाउकोमा चोट लागेको छ। मानन्धरको बायाँ हातमा चोट लागेको छ भने आचार्य सामान्य घाइते भएकी छिन्।

 
",world
"
﻿पाकिस्तानले अन्तर्राष्ट्रिय गैरसरकारी संस्था सेभ द चिल्ड्रेनलाई देश छोड्न आदेश दिएको छ । पाकिस्तान विरोधी गतिविधि गरेको भन्दै सेभ द चिल्डे& नलाई देश छोड्न आदेश दिइएको हो ।  इस्लामाबाद प्रहरीले संस्थाको कार्यालयमा सिलबन्दी गरेको छ भने कर्मचारीलाई देश छोड्न १५ दिनको समय दिइएको छ । सेभ द चिल्ड्रेनले भने यो कारबाहीप्रति आपत्ति जनाएको छ ।

पाकिस्तानले यसअघि संस्थामाथि नक्कली खोप कार्यक्रम गरेको र अमेरिकी गुप्तचर निकाय सिआइएले ओसामा बिन लादेनलाई खोजी गर्न खोप अभियानको दुरुपयोग गरेको आरोप लगाएको थियो ।  कार्यालयको फोन तथा गतिविधिमा लामो समयदेखि निगरानी गरिएको र शंकास्पद पाएपछि यो निर्णय गरिएको एक प्रहरी अधिकारीले बताएका छन् ।
",world
