text,category
"﻿१२ कात्तिक, काठमाडौं । मुक्तिनाथ बिकास बैंकले २१.०५ प्रतिशत लाभांश दिने भएको छ ।  बैंकको कात्तिक ८ गतेको सञ्चालक समितिको बैठकले यस्तो निर्णय गरेको हो । बैंकले हालै जारी गरेको १० बराबर ४ अनुपात (४० प्रतिशत) हकप्रद सेयरपछि कायम हुने पूँजीको आधारमा लाभांश दिने भएको हो । बैंकको बोनस सेयर वितरणपछि चुक्ता पूँजी २ अर्ब ५९ करोड रुपैयाँ पुग्नेछ । बैंकको प्रस्ताव राष्ट्र बैंकबाट स्वीकृत र बैंकको आफ्नो साधारण सभाबाट पारित हुन बाँकी रहेको छ । 
",bank
"१५ कात्तिक, काठमाडौं । भारतले चलनचल्तीमा रहेका नोटमाथि प्रतिबन्ध लगाएको ठ्याक्कै वर्षदिन बित्यो । नेपाली बैंकहरुमा जम्मा रहेका र रातारात अवैध बनेका आठ करोड मूल्यका भारतीय मुद्रा साटिने कुनै लक्षण छैन । बैंकिङ प्रणालीमै रहेको रकम सटहीमा समेत ठोस उपलब्धि नेपालले हासिल गर्न सकेन । त्यसका लागि डेपुटी गभर्नर चिन्तामणि शिवाकोटी नेतृत्वको टोली भारत पुगेर केही चरणमा छलफल पनि नभएको होइन । डेपुटी गभर्नर शिवाकोटीकै नेतृत्वमा सटहीका मोडालिटीसमेत तयार गरिएको थियो । भारतीय रिजर्भ बैंकको टोली नेपाल आएर केही बैंकहरुसँग अन्तरक्रिया पनि गर्‍यो  । त्यही टोली भुटानमा समेत छलफलका लागि पुग्यो । भुटानमा रहेका नोट सटही भए, नेपालका साटिएनन् । एक वर्षको अवधिमा नेपालका प्रधानमन्त्री र राष्ट्रपतिको समेत भारत भ्रमण भए । तर, नेपाली पक्षले यस विषयमा कुनै छलफल गरेन ।
",bank
"﻿३० पुस, काठमाडौं । सांग्रिला डेभलपमेण्ट बैंकले आफ्ना सेयरहरु अभौतिकिकरण गर्नका लागि  सिडिएस एण्ड क्लियरिङ लिमिटेडसँग सम्झाैता गरेको छ ।
कम्पनीले पुस मसान्तपछि भौतिक धित्तोपत्रको कारोबार नहुने हुँदा सेयर कारोबार गर्नको लागि सम्पूर्ण सेयरधनीहरुलाई डिम्याट् खाता खोली आभैतिकरण गर्न अनुरोध गरेको छ ।
सांग्रिला डेभलपमेण्टको धित्तोपत्र कारोबार सम्बन्धी रेकर्ड राख्ने, दाखिला खारेज वा नामसारी गर्ने सम्बन्धी सम्पूर्ण कार्यहरु गर्नेको लागि शेयर रजिष्ट्रारमा एनआईबिएल क्यापिटल मार्केट्स लिमिटेडलाई नियुक्त गरेको बैंकका डेपुटी सीइअो दिनेश थकालीले जानकारी दिए ।  ।",bank
"﻿भुवन पौडेल
काठमाडौं, १ माघ – नेपाल धितोपत्र बोर्डले धितोपत्र दलाल कम्पनीलाई सेयर डिलर र मार्जिन ल्याडिङको काम गर्न दिने भएको छ । दलाल कम्पनीको कार्यक्षेत्र विस्तारका लागि बोर्डले आन्तरिक छलफल सुरु गरेको छ । २ दशकदेखि सेयरको कारोबारमात्र गर्दै आएका दलाल कम्पनीले अब सेयर डिलर तथा मार्जिन ल्याडिङको पनि काम गर्ने पाउनेछन् । यस विषयमा दलाल कम्पनीसँग बोर्डले सुधार र पूँजी तथा संरचनागत पूर्वाधारका लागि रायसमेत मागेको छ ।
हाल न्यूनतम २० लाख रुपैयाँमात्र चुक्ता पुँजी भएका दलाल कम्पनीको कार्यक्षेत्र विस्तार गर्दा कामसँगै संस्थागत क्षमतालाई पनि हेरिने भएकाले पूर्वाधार तथा पूँजी वृद्धि जरुरी रहेको बोर्डका अध्यक्ष डा. रेवतबहादुर कार्की बताउछन् । “सेयर बजारको विकासका र विस्तारका लागि सर्वसाधरणसँग प्रत्यक्ष सम्पर्क राख्ने दलाल कम्पनीको स्तरोन्नति हुन जरुरी छ,” उनले भने, “उनीहरूको कार्यक्षेत्र विस्तार गर्न हालको पुँजी र संरचनाले पुग्दैन ।” धितोपत्र दलाल व्यावसायी नियमावली–०६४अनुसार सेयर कारोबार गर्ने दलालको चुक्ता पुँजी २० लाख रुपैयाँ र सेयर डिलरको काम गर्ने कम्पनीको २ करोड रुपैयाँ हुनुपर्ने छ ।
धितोपत्र बजारको स्वस्थ प्रतिस्पर्धाका लागि केही बाणिज्य बैंक पनि सहायक कम्पनीमार्फत सेयर कारोबार गर्न आए राम्रो हुने उनले बताए । सक्दो छिटो सुझाव दिने गरी पत्राचार गरेको बताउदै कार्कीले भने, “यो कामका लागि धेरै समय नै छैन् ।”
नेपाल स्टक ब्रोकर एसोसिएसनका अध्यक्ष प्रियराज रेग्मीले हालका अधिकाशं दलाल कम्पनी मार्जिन ल्याडिङ, सेयर डिलर र कारोबार गर्ने काम गर्न योग्य रहेको बताए । “बोर्ड कार्यक्षेत्र विस्तार गर्न दलाल कम्पनीले सुधार गर्नुपर्ने पुँजी तथा पुर्वाधारको विषयमा सल्लाह मागेको छ,” रेग्मीले भने,“बोर्डले तोकको पुँजी तथा पूर्वाधारका लागि हामी तयार छांै ।”
कार्यक्षेत्र विस्तार हुँदा दलाल कम्पनीको जिम्मेवारीसमेत बढ्ने उनको भनाइ छ । पुँजीको आधारमा मार्जिन ल्याडिङको काम गर्ने सिमा हुने व्यवस्था हुन सक्ने भएकाले बोर्डकमो मापदण्ड पूरा गर्न उत्साहित रहेको उनले बताए । रेग्मीले कम्पनीमा लगानी भएको पुँजीको उपयोगिता हुनुपर्ने बताए । विषेशज्ञतासहितको जनशक्तिसमेत थप गर्न तयार रहेकोे बताएका रेग्मीले भने, “त्यसको प्रयोग गर्न पाउनु प¥यो ।”
दलाल कम्पनीको हालको कार्य क्षेत्र सिमित भएकाले विस्तार गर्न पुँजी संरचना सुधार गरी दक्ष जनशक्तिको व्यवस्था गर्नुपर्ने नेपाल स्टक एक्सचेन्ज (नेप्से)का महाप्रबन्धक सिताराम थपालियाले बताए । बजारको विस्तार गर्न नेप्सेमात्र नभई दलाल कम्पनी पनि सबल हुनुपर्ने उनले बताए ।
  सेयर दलालले डिलर र मार्जिन ल्याडिङको काम गर्न पाउने        ",bank
"﻿भुवन पौडेल
काठमाडौं, ४ माघ- नाकाबन्दीले मुलुकको समग्र अर्थतन्त्र नकारात्मक देखिए पनि सेयर बजारले भने नयाँ उचाइ बनाएको छ । गत भदौपछि लगातार घट्न थालेको नेपाल स्टक एक्सचेन्ज(नेप्से) परिसूचक आइतबार १ हजार २१२ अंकमा पुगेको छ । यो अहिलेसम्मकै उच्च बिन्दु हो । सेयर बजारलाई समकालीन अर्थतन्त्रको ब्यारोमिटरका रूपमा हेरिए पनि नेपालमा भने त्यसको उल्टो तस्बिर देखिन थालेको छ ।
नेप्से परिसूचक भदौ २९ गते १ हजार २०५.८४ अंकमा पुगेको थियो । त्यसपछि घट्ने क्रम लिएको सेयर परिसूचक १ हजार ३४ अंकसम्म झरेको थियो । भूकम्प तथा राजनीतिक अस्थिरताले सेयर बजारसमेत स्थिर हुन सकेन । यो बीचमा सेयर बजार घट्ने–कढ्ने भइरह्यो । सुधारको क्रमभन्दा पनि घट्ने क्रमले प्राथमिकता पाएको थियो । भदौमा नाघेको १ हजार २०० बिन्दु पुनः पुग्नका लागि ४ महिना लाग्यो । सो अवधि पार गरेपछि आइतबार नेप्सेले नयाँ उचाइ कायम गरेको हो ।
वैशाखको भूकम्पले गरेको बिनासपछि सरकारले शनिबारदेखि पुनर्निर्माण महाअभियान सुरु गरेको छ । निर्माणका काम हुने भए पनि सरकारी खर्च हुने तथा अर्थतन्त्र चलायमान हुन सहयोग पुग्नेछ । यसले सेयर बजारमा सकारात्मक प्रभाव परेको जानकारहरू बताउँछन् । नेपाल धितोपत्र बोर्डले आइतबारदेखि पेपरलेस अर्थात् अटोमेसन प्रणाली अनिवार्य गरेकाले पनि बजारप्रति लगानीकर्ता आकर्षित भएका हुन् ।
सेयर बजारमा नयाँ अध्याय सुरु भएको बताउँदै नेपाल धितोपत्र बोर्डका अध्यक्ष डा. रेवतबाहादुर कार्कीले भने, “सेयर बजार आधुनिक भएपछि लगानीकर्ताको विश्वास बढेको हो ।” अर्थतन्त्र सहज अवस्थामा नभए पनि सेयर बजारमा सुधार आएको उनले बताए । लगानीका अन्य क्षेत्रहरू नभएकाले सेयर बजारमा सुधार आएको उनको बुझाइ छ ।
आर्थिक वर्ष ०७२÷०७३ को मौद्रिक नीतिले बैंक तथा वित्तीय संस्थाको चुक्ता पुँजी ४ गुणा बढाउने व्यवस्था गरेको छ । भूकम्पले असर पारेको अर्थतन्त्र बिर्सेर सेयर बजार सुधारको गतिमा देखियो । पछिल्लो समय लगानीकर्तामा आशा बढाउने मुख्य भूमिका खेलेको नयाँ संविधान जारी भए पनि अर्थतन्त्रका लागि भने निकै अप्ठ्याराहरू झेल्नुपरेको छ । अर्थतन्त्र समस्यामा परेपछि विकास निर्माणदेखि सम्पूर्ण काम ठप्पप्रायः भए । यसले गर्दा बैंक तथा वित्तीय क्षेत्रमा लगानीयोग्य पुँजी बढ्न गयो । बैंकिङ क्षेत्रमा तरलता बढेपछि ब्याजदर घटेपछि सेयर बजार बढेको हो । सेयर बजार र वित्तीय क्षेत्रको ब्याजदरमा उल्टो सम्बन्ध हुन्छ ।
विगतमा पनि अर्थतन्त्र र सेयर बजारको सम्बन्ध उल्टो रहँदै आएको बताउँदै लगानीकर्ता अम्बिकाप्रसाद पौड्यालले भने, “समग्र अर्थतन्त्र नकारात्मक भएकाले बजार नयाँ–नयाँ उचाइ बनाउनतर्फ लागेको हो ।” सेयरमा लगानी गर्न इन्धन तथा विद्युत् नचाहिने भएकाले पनि सकारात्मक असर परेको उनले बताए । वित्तीय क्षेत्रमा तरलता बढेकाले सेयर बजार बढ्न थप मद्दत पुगेको उनको बुझाइ छ । पछिल्लो समय ऋणबाट भन्दा पनि बचतबाट सेयरमा लगानी गर्ने लगानीकर्ता धेरै भएकाले बजारमा सुधारको विकल्प नरहेको पौड्यालले बताए ।
आइतबार कारोबार सुरु हुँदा १ हजार १९०.१६ अंकमा रहेको नेप्से परिसूचक २१.८४ अंकले बढेर १ हजार २१२ अंकमा पुगेको हो । आइतबार नेप्सेमा कारोबार भएका अधिकांश कम्पनीको सेयर मूल्य बढेपछि बजार परिसूचक सकारात्मक भएको हो ।
नेप्सेमा कारोबार भएका समूहगत परिसूचकमध्ये बैंकिङ २४.५६, होटल १५.९५, विकास बैंक १७.९५, वित्त १.२२, बिमा १२७.९८ र अन्य समूह ११.७५ अंकले बढेका छन् । तर, जलविद्युत् समूहमात्र २.७५ अंकले घटेको छ । नेप्सेमा ८९ कम्पनीको २ हजार ५६९ कारोबारबाट ५४ करोड ८१ लाख १६ हजार रुपैयाँबराबरको ८ लाख २५ हजार ९५४ कित्ता सेयर किनबेच भएको छ । आइतबार नेप्सेको बजार पुँजीकरणसमेत १३ खर्ब रुपैयाँ नाघेको छ ।
  सेयर बजार नयाँ उचाइमा        ",bank
"﻿यादव हुमागार्इं
काठमाडौं, ४ माघ – एउटै व्यक्ति २ कार्यकालभन्दा बढी बैंकको अध्यक्ष बन्न नपाउने बैंक तथा वित्तीय संस्थासम्बन्धी ऐन (बाफिया) विधेयकको व्यवस्थामा सांसदहरूले असन्तुष्टि जनाएका छन् । बिभिन्न बैंकका अध्यक्षसमेत रहेका सांसदहरूले विधेयक संशोधन प्रस्ताव दर्ता गर्दै अध्यक्षको कार्यकाल तोक्ने व्यवस्था हटाउन माग गरेका हुन् ।
सभासदहरू उदयशमशेर राणा, इच्छाराज तामाङ, उमेश श्रेष्ठ, बाबुराम पोखरेल, भीष्मनाथ अधिकारी, प्रेमबहादुर आले, गणेशकुमार पहाडी, र यज्ञराज सुनुवारले सोमबार व्यवस्थापिक संसद् सचिवालयमा संशोधन प्रस्ताव दर्ता गरेका छन् । लगानीकर्ताले आफ्नो लगानीको सुरक्षाका लागि जति समय पनि बैंक तथा वित्तीय संस्थाको सञ्चालक बन्न पाउनुपर्ने तर्क राख्दै उनीहरूले कार्यकाल तोक्ने व्यवस्था नै हटाउन माग गरेका हुन् ।
“लगानीकर्ताहरूले आफ्नो लगानीको रेखदेख गर्न कुनै पनि व्यक्तिलाई जतिसुकै पटक पनि सञ्चालक नियुक्ति गर्न पाउने व्यवस्था गर्नु बाञ्छनीय हुने हुँदा दफा १५ को उपदफा (२) हटाउन प्रस्ताव पेस गर्छु,” कांग्रेसका सांसद उदय राणाले दर्ता गरेको संसोधन प्रस्ताबमा भनिएको छ ।
बाफियाको दफा १५ को उपदफा २ मा ‘यो ऐन प्रारम्भ भएपछि नियुक्ति भएको अध्यक्ष वा प्रबन्ध सञ्चालक बढीमा २ कार्यकालमात्रै रहन सक्ने’ उल्लेख छ ।
बैंक अध्यक्षको कार्यकाल तोक्ने व्यवस्था खारेज गर्न प्रस्ताव गर्ने सांसदमध्ये २ जना बैंकको बहालवाला अध्यक्ष हुन् । सांसद इच्छाराज तामाङ सिभिल बैंकका र उमेश श्रेष्ठ प्राइम बैंकका अध्यक्ष छन् ।
यसअघि तामाङलगायतका सांसदहरूले बैंक तथा वित्तीय संस्थाको पुँजी बढाउने राष्ट्र बैंकको निर्णयको अर्थ समितिमा विरोध गरेका थिए । उनीहरूले पुँजी वृद्धि निर्णय फिर्ता लिनका लागि राष्ट्र बैंकलाई निर्देशन दिनुपर्ने माग गरेपछि यस विषयमा सांसदहरूको राय बाझिएपछि कुनै निर्णय नै नगरी बैठक टुंगिएको थियो ।
एकै व्यक्ति लामो कार्यकालसम्म पदमा बसिरहँदा संस्थाको सुशासनमा समस्या देखिएको तर्क राख्दै नेपाल राष्ट्र बैंकले अध्यक्ष तथा सञ्चालकमा २ कार्यकालभन्दा बढी बस्न नपाउने व्यवस्था प्रस्ताव गरेको थियो । तर, उक्त मस्यौदामा संशोधन गरी अर्थ मन्त्रालयले सञ्चालकको कार्यकालको सीमा हटाएर अध्यक्षलाई मात्रै २ कार्यकालको सीमा तोकी संसद्मा पेस गरेको थियो ।
अर्थ समितिमा छलफल
अर्थमन्त्रीले संसद्मा पेस गरेको बाफिया विधेयकमाथि आइतबारबाट व्यवस्थापिका संसद्अन्तर्गतको अर्थ समितिमा छलफल सुरु भएको छ । आइतबार भएको छलफलमा मस्यौदामाथि २२ जना सांसदले ५२ वटा संशोधनको प्रस्ताव पेश गरेको समितिका सभापति प्रकाश ज्वालाले जानकारी दिए ।
आइतबारको बैठकले उपसमिति बनाएर बाफियामाथि छलफल गर्ने निर्णय गरेको छ । बैठकमा पूर्वअर्थमन्त्री सुरेन्द्र पाण्डेले उपसमिति बनाएर छलफल गर्न गरेको प्रस्तावमा पूर्वअर्थमन्त्री डा. रामशरण महतले समर्थन गरेपछि समितिले उपसमिति बनाउने निर्णय गरेको हो ।
मस्यौदामाथी छलफलका लागि समितिले सोमबारको बैठकमा अर्थ मन्त्रालय, राष्ट्र बैंक र कानुन मन्त्रालयका प्रतिनिधिलाई समेत बोलाएको छ । बैठकले संशोधन प्रस्ताव राख्ने सांसदहरूलाई प्रस्तावको औचित्य पुष्टि गर्ने अवसर दिने निर्णय गरेको छ ।
  बैंक अध्यक्षको कार्यकाल तोक्ने व्यवस्था हटाउन प्रस्ताव        ",bank
"﻿५ माघ, काठमाडौं । राष्ट्र बैंकबाट मर्जरको अन्तिम स्वीकृत पाएका प्रभू र ग्राण्ड बैंक एकआपसमा गाभिएर आगामी फागुनदेखि एकीकृत कारोबार गर्ने भएका छन् । मर्जपछि बैंकको चुक्ता पुँजी ५ अर्ब ८८ करोड १४ लाख दुई हजार रुपैयाँ पुग्नेछ ।
सोमबार साँझ बसेको राष्ट्र बैंकको सञ्चालक समितिको बैठकले यी दुई संस्थालाई मर्जरको अन्तिम स्वीकृत प्रदान गरेका छ ।
‘राष्ट्र बैंकबाट अन्तिम स्वीकृति पाइसकेका छौं,’ प्रभू बैंकका प्रमुख कार्यकारी अधिकृत अशोक सेरचनले अनलाइनखबरसँग भने- आगामी फागूनसम्ममा एकीकृत कारोबार सुरु हुने छ ।’ फागुनमा यी बैंकबीचको एकीकृत कारोबार भए वाणिज्य बैंकहरुको संख्या २९ मा झर्ने छ ।
यसअघि नै प्रभूले ग्राण्डलाई एक्वायर गरेर ०७२ भदौमा एकीकृत कारोबार गर्ने लक्ष्य राखेको थियो । तर, प्राविधिक कारण देखाउँदै राष्ट्र बैंकले एक्वायरमा नभई मर्जरमा जान सुझाव दिएपछि दुबै संस्थाले कात्तिकमा विषेश साधारणसभा गरी मर्जरमा जाने निर्णय गरेका थिए । साधारणसभा लगत्तै दुबै संस्थाले मर्जरका लागि स्वीकृति दिन राष्ट्र बैंकमा निवेदन दिएका थिए ।
ग्राण्ड बैंकको स्वाप रेसियो प्रतिकित्ता ६५.५८ रुपैयाँ कायम गरिएको शेरचनले बताए । प्रभूको भने प्रतिकित्ता स्वाप रेसियो १२१.४५ रुपैयाँ तोकिएको छ । मर्जर पश्चात संस्थाको नाम ँप्रभु बैंक लिमिटेड’ रहनेछ भने प्रमुख कार्यकारी अधिकृत प्रभु बैंकका अशोक शेरचन नै रहनेछन् ।
मर्जपछि बैंकको शाखा र काउण्टर संख्या १ सय ३६, एटिएम संख्या १ सय २३ र कर्मचारीहरुको संख्या करिव एक हजार तीन सय ५० पुग्नेछ । शाखा सन्जाल, एटिएम संख्याका आधारमा यस बैंक निजी क्षेत्रको सबैभन्दा ठुलो बैंक हुनेछ । तत्कालीन प्रभू विकास बैंकले ले ०७१ भदाैमा तत्कालीन किष्ट बैंकसहित चार संस्थालार्इ गाभेर प्रभू बैंकको रूपमा एकीकृत कारोबार सुरू गरेको थियो ।
नेपाल राष्ट्र बैंकले ०७४ असार मसान्तसम्ममा वाणिज्य बैंकहरुको न्यूनतम चुक्ता पुँजी ८ अर्ब रुपैयाँ हुनुपर्ने व्यवस्था गरेपछि बैंक तथा वित्तीय संस्थाहरुले पुँजी बढाउन धमाधम मर्जरमा जान थालेका हुन् ।",bank
"﻿ ५% सेयर र ट्रेड युनियनको अधिकारका लागि संशोधन प्रस्ताव
यादव हुमागाई
काठमाडौं, ५ माघ- बैंक/वित्तीय संस्थामा कार्यरत कर्मचारीलाई सेयर र ट्रेड युनियनको हक सुरक्षित गर्न सांसदहरूले बैंक तथा वित्तीय संस्थासम्बन्धी ऐन (बाफिया)को संशोधन विधेयकमै संशोधन प्रस्ताव गरेका छन् ।
अर्थमन्त्री विष्णु पौडेलले संसद्मा पेस गरेको संशोधन विधेयकमा बैंक÷वित्तीय संस्थाका कर्मचारीलाई दिइँदै आएको ५ प्रतिशत सेयर खारेज गरिएको छ । बैंक कर्मचारीले टे«ड युनियन खोल्न नपाउने प्रावधान प्रस्ताव गरेपछि सांसदले यसको विरोध गरेका छन् ।
व्यवस्थापिका संसद्अन्तर्गत अर्थ समितिको बैठकमा सोमबार सांसदहरूले कर्मचारीलाई सेयर र ट्रेड युनियनको अधिकार नदिने व्यवस्थाको चर्को विरोध गरे । “वित्तीय क्षेत्रका कर्मचारीहरू एउटा ज्यामीले जति पनि ज्याला नपाई काम गरिरहेका छन्,” सांसद यज्ञराज सुनुवारले भने, “कर्मचारीलाई सेयरमा पनि बाइपास गर्नु ठीक होइन । बैंकमा युनियन खोल्न नपाउने व्यवस्था श्रम ऐनको विपरीत हो ।”
बाफियामा बैंक÷वित्तीय संस्थाले सर्वसाधारणका लागि आफ्नो जारी पुँजीको ३० प्रतिशत सेयर छुट्ट्याउनुपर्ने र त्यसमध्ये ५ प्रतिशतसम्म आफ्ना कर्मचारीलाई दिन सक्ने व्यवस्था थियो ।
सांसदहरू जनकराज जोशी, चूडामणि विक, पेम्बा लामाले कर्मचारीको अधिकार कटौती गरिएकोमा आपत्ति जनाए । “बैंकहरूले न्यून तलबमा काम लगाएर शिक्षित जनशक्तिको शोषण गरिरहेका छन्,” विकले भने, “यो विषयमा पनि राष्ट्र बैंकको ध्यान पुग्नुपर्छ ।”
लामाले सर्वसाधारणको सेयर हिस्सा बढाएर भए पनि कर्मचारीका लागि सेयर छुट्ट्याउनुपर्ने बताइन् । गोमा कुवँरले कर्मचारीको युनियन खोल्ने अधिकार कटौती गर्ने प्रस्ताव श्रम ऐन र नेपालले स्वीकार गरेका अन्तर्राष्ट्रिय श्रम सन्धिविपरीत भएको उल्लेख गरिन् । अर्का सांसद इच्छाराज तामाङले अध्यक्ष र सञ्चालकको कार्यकाल तोक्ने व्यवस्था स्वतन्त्र रूपमा व्यवसाय गर्न पाउने संविधानको मौलिक हकविपरीत भएको टिप्पणी गरे ।
बैठकमा संशोधन प्रस्ताव राखेका सांसदलाई औचित्य पुष्टि गर्ने अवसर दिइएको थियो । बाफिया संशोधन मस्यौदामाथि २२ सांसदले ५२ वटा संशोधन प्रस्ताव गरे पनि बिहीबारको बैठकमा थोरै सांसदमात्र उपस्थित भएर बोलेका थिए । बैठकमा अर्थसचिव सुमन शर्मा, गभर्नर डा. चिरञ्जीवी नेपाललाई पनि बोलाइएको थियो ।
बाफियामा सेयर बाँडफाँड, सञ्चालक समितिको योग्यता र कार्यकाल, सीईओको योग्यता, सेयर खरिद, कर्जा असुली, बैंक खारेजी, जरिवाना, कर्मचारी युनियनलगायत विषयमा संशोधन प्रस्ताव परेको समिति सभापति प्रकाश ज्वालाले जानकारी दिए ।
छलफलका लागि उपसमिति
बैठकले बाफिया संशोधन विधेयकबारे दफावार छलफलका लागि उपसमिति गठन गरेको छ । ७ सदस्यीय उपसमितिमा उदय शमशेर राणा, इच्छाराज तामाङ, दीपक कुइँकेल, केदार सञ्जेल, गोपाल दहित, विमलकुमार केडिया र गोमा कुवँर छन् । उपसमितिलाई १५ दिनभित्र प्रतिवेदन तयार पारी बुझाउने अधिकार दिइएको छ ।
  बैंक कर्मचारीको अधिकारमा सांसदको समर्थन        ",bank
"﻿पुष्प दुलाल
५ माघ, काठमाडौं । एकथरी सांसदहरुले बैंकिङ क्षेत्रमा शैक्षिक जनशक्तिमाथि व्यवस्थापनले शोषण गरिरहेको छ भन्ने आरोप लगाइरहेका बेला अर्काथरी सांसदहरुले भने कर्मचारीलाई निजामती कर्मचारीकोभन्दा बढी सेवा सुविधा दिन नहुने प्रस्ताब दर्ता गराएका छन् ।
संसदमा छलफलका क्रममा रहेको बैंकिङ कसूर तथा सजाय सम्बन्धी विधेयक २०७१ मा सांसदहरु प्रेम सुवाल, डिल्लीप्रसाद काफ्ले, अनुराधा थापामगरले बैंकका कर्मचारीको तलब सरकारी कर्मचारीको भन्दा बढी गर्न नहुने संसोधन प्रस्ताब दर्ता गराएका हुन् ।
‘अन्यत्र जुनसुकै कुरा लेखिए पनि बैंक तथा वित्तीय संस्थाका कर्मचारीले निजामती कर्मचारीकोभन्दा बढी तलब, सुविधा र कर्जा वा सापटी लिनु हुँदैन भन्ने बाक्यांस विधेयकमा थप्नुपर्ने’   बैंकिङ कसूरको विधेयकको दफा १४ को उपदपफा १ मा संसोधनका लागि सांसदहरुले दर्ता गरेको संसोधन प्रस्ताब हो, यो ।
संसदको ‘फूल हाउस’ मा छलफल भइ आवश्यक छलफल गरी संसोधन गर्न व्यवस्थापिका संसदको अर्थ समितिमा पठाइएको छ । आगामी केहीदिन भित्रमा बैंकिङ कसूरको विधेयकमा अर्थ समितिमा छलफल हुने समितिका सभापति प्रकाश ज्वालाले जानकारी दिए ।
बैंकका अध्यक्ष र सञ्चालक नै सांसद भएपछि
बैंकिङ क्षेत्रको उच्च तहमा पुगेपछि आकर्षक तलब/भत्ता तथा सेवा/सुविधा पाइने भएपछि दक्ष र युवा जनशक्ति बैंकिङ क्षेत्रमा आकषिर्त भइरहेका बेला सांसदहरुले सरकारी कर्मचारीको भन्दा बढी तलब/भत्ता नदिन माग गर्नुलाई आश्चर्यजनकरुपमा हेरिएको छ ।
बैंकका अध्यक्ष तथा सञ्चालक समेत रहेका सांसदहरु भएकाले कर्मचारीको हित बिपरित ऐन कानून बनाउन लबिङ भइरहेको केही सांसदहरु अनौपचारिक कुराकनीका क्रममा बताउँछन् । अाधा दर्जन जति बैंकका सञ्चालकहरु सांसद छन् ।
‘बैंकका अध्यक्ष र संचालक नै सांसद छन्, उनीहरू जतिसक्दो कर्मचारीलार्इ पेलेर अाफू मालामाल कमाउन चाहन्छन्’ अर्थ समितिका एक सांसदले भने- ‘त्यसका लागि भएभरको बल प्रयोग गरिरहेका छन् ।’
सिभिल बैंकका अध्यक्षसमेत रहेका इच्छाराज तामाङ त बैंक तथा वित्तीय संस्था सम्बन्धी विधेयक २०७२ को प्रतिवेदन बनाउन अर्थ समितिले गठन गरेको उपसमितिमै बसेका छन् । ‘कन्फ्लिट अफ इन्ट्रेस्ट’ भएको विषयमा सांसदले संसदको फोरम प्रयोग गर्न नहुने भनिए पनि अर्थ समितिमा भने त्यो मान्यताको वास्ता गरिएको छैन ।
‘उहाँ (इच्छाराज तामाङ) सिभिल बैंकको अध्यक्षका हैसियतले संसदले गठन गरेको उपसमितिमा बस्नुभएको हो भनेर हामीले ठान्नु हुँदैन । यो संसद हो, उहाँ सांसद हो । त्यसैले उपसमितिमा उहाँ बस्नुलाई एक विज्ञको सहभागिताकोरुपमा लिनुपर्छ ।’ अर्थ समितिका सभापति प्रकाश ज्वालाले अनलाइनखबरसँग भने ।
कर्मचारीमाथि शोषण गर्ने षड्यन्त्र
अर्थ समितिको सोमबारको बैठकमा सांसद चुणामणि विश्वकर्मा जंगलीले बैंक व्यवस्थापनले कर्मचारीको शोषण गर्ने षड्यन्त्रसहित यस्तो प्रस्ताब गरिएको अारोप लगाए । ‘बैंकिङ क्षेत्रमा काम गर्ने कर्मचारीलाई १०/१२ हजार रुपैयाँमा काम लगाएर शिक्षित जनशक्तिको पनि पोषण गरिएको छ,’ जंगलीले भने- ‘यस क्षेत्रका कर्मचारीको न्यूनतम तलब राष्ट्र बैंकले तोकिदिनु पर्छ ।’
बैंकिङ क्षेत्र निकै संवेदनशील क्षेत्र भएकाले आकर्षक तलब नभए कर्मचारीमा अपराधिक मानसिकता उत्पन्न हुनसक्ने जोखिमलाई समयमै मध्यनजर गर्न सांसद पेम्बा लामाले आग्रह गरिन । ‘बैंकिङ जस्तो संवेदनशील क्षेत्रमा काम गर्ने कर्मचारीलाई दिइएको इन्सेन्टिभ कटौती गर्दा त्यसको परिणाम कस्तो आउला ?’ उनले प्रश्न छ ।
सम्बन्धित समाचारहरू
बैंकका कर्मचारीलाई सेयर नदिने अर्थमन्त्रीको प्रस्ताव 
बैंकिङ कसूरका दोषीलाई आजीबन जेल हाल्ने तयारी

बैंकका अध्यक्ष सांसदको मागस् एकैव्यक्ति आजीवन बैंकको अध्यक्ष बस्न पाउनुपर्ने

यस्तो छ बाफियाको विधेयकमा इच्छाराज तामाङको टिप्पणी

",bank
