text,category
"फेसबुकले आफ्ना प्रयोगकर्ताको गेम खेल्ने आदतको बारेमा नयाँ तथ्यांक सार्वजनिक गरेको छ । तथ्यांक अनुसार फेसबुकको १ अर्ब ३० करोड सक्रिय मासिक प्रयोगकर्ता मध्य ३१ करोड ५० लाख प्रयोगकर्ताले कमसेकम एउटा गेम खेल्छन् । त्यस्तै गेम खेल्न अनुरोध गर्दै पठाउने नोटिफिकेसनको संख्या पनि बढेको छ । फेसबुक प्रयोगकर्ताले हरेक दिन ७३ करोड ५० लाख नोटिफिकेसन पठाउने गरेको फेसबुकले जनाएको छ । गएको नोभेम्बरमा फेसबुकले गरेको सर्वेक्षणका आधारमा यो तथ्यांक सार्वजनिक गरेको हो । सर्वेक्षणले गेम मेकरहरुका लागि आवश्यक हुने नयाँ जानकारी पनि सार्वजनिक गरेको छ । स्मार्टफोन, एन्ड्रोइड र डेस्कटप तीन वटै ठाँउमा खेल्न मिल्ने गेमले धेरै कमाउने तथ्याङ्कले बताएको छ । एक भन्दा धेरै प्लेटफर्ममा गेम खेल्ने प्रयागकर्ताले एक प्लेटफर्ममा मात्र खेल्ने प्रयोगकर्ता भन्दा साढे तीन घण्टा बढी समय बिताउने गर्छन भने गेम किन्न त्यति नै बढी पैसा खर्च गर्छन् । त्यस्तै यी प्रयोगकर्ताले विज्ञापनमा पनि धेरै क्लिक गर्छन् । क्यान्डी क्रस सागा गएको वर्षमा सबै भन्दा धेरै खेलिने फेसबुक गेम भएको छ भने फार्म हिरो सागा दोस्रो र पेट रेस्कु सागा तेस्रो स्थानमा परेका छन् । यी तीनैवटा गेम किंग कम्पनीको उत्पादन हुन् । क्यान्डी क्रस सागाको एप्लिकेसन नम्बर एक गेम एप्लिकेसन पनि भएको छ । किंग भन्दा पहिला ज्याङ कम्पनीको गेमले फेसबुकमा शीर्ष स्थान ओगड्दै आएको थियो ।
",technology
"एन्टिभाइरसले कम्प्युटरको लागि एउटा सुरक्षा कवचको रुपमा काम गर्ने गर्दछ जसले कम्प्युटरलाई बाहिरको दुश्मन जस्तै भाइरस, बगका साथसाथै अनलाइनमा हुने थुप्रै हमलाबाट बचाउँछ । अनलाइनले तपाईंलाई थुप्रै प्रकारको सःशुल्क र निःशुल्क एन्टिभाइरसको सुविधा दिएको हुन्छ । यस्तैमध्ये एक छ एभीजी २०१५ एन्टिभाइरसको नयाँ भर्सन जसमा तपाईंले थुप्रै नयाँ फिचर पाउनुहुन्छ जस्तै अनलाइन शिल्ड, फाइल सेडर, रियल टाइम प्रोटेक्सन । यदि तपाईं एभिजीको एन्टिभाइरस एक वर्षसम्म निःशुल्क प्रयोग गर्न चाहनुहुन्छ भने तल दिइएका स्टेपलाई फलो गर्नुहोस्ः

१. सबैभन्दा पहिले आफ्नो कम्प्युटरमा एभिजी एन्टिभाइरस इन्स्टल गर्नुहोस् 

२. एभिजी फाइल डाउनलोड गर्नका लागि क्लिक गर्नुहोस्ः     2015_5315. 

३. एन्टिभाइरसलाई एक वर्षसम्मका लागि एक्टिभ राख्नका लागि यो प्रोडक्टको प्रयोग गर्नुहोस्ः       3 

४.एभिजी एन्टिभाइरस होम सेक्युरिटीलाई तपाईं विन्डो एक्पी, विन्डो भिस्टा, विन्डो 7 र विन्डो 8 ल्यापटपमा प्रयोग गर्नसक्नुहुन्छ । (एजेन्सी) 
",technology
"नेपाल टेलिकमले यही कार्तिक १ गतेदेखि अर्थात् आजदेखि  १४१२ मार्फत  र   बाट कम्पनीका विभिन्न सेवाहरुको महसुल भुक्तानी तथा रिचार्ज गर्न सकिने व्यवस्था गरेको छ। यस नयाँ व्यवस्था अनुसार  (    १४१२ मार्फत     कम्पनीको    मार्फत निम्न बमोजिमका सेवाहरुको लागि उपलब्ध गराइएको छ कम्पनीले बताएकाे छ। 
१. पि एस टि एन महसुल भुक्तानी (     
२. ए डि एस एल  रिचार्ज (   
३. जि एस एम पोष्टपेड महसुल भुक्तानी (     
४. जि एस एम प्रिपेड टप अप (    
५. सि डि एम ए प्रिपेड टप अप  (    
६. सि डि एम ए पोष्टपेड महसुल भुक्तानी  (    
७. वाइम्याक्स रिचार्ज (   
 
  कार्ड प्रयोग गरी १४१३ मार्फत  सेवाको विल भुक्तानी, जि एस एम पोष्टपेड सेवाको रिचार्ज तथा बिल भुक्तानी र ए डि एस एल सेवाको महसुल भुक्तानी गर्ने सेवा यथावत रहेको पनि कम्पनीले जनाएकाे छ।

 
",technology
"फेसबुकमा यस्ता थुप्रै सुविधाहरु दिइएका छन् जसको बारेमा शायद तपाईंमध्ये धेरैलाई थाहा नहोला । यी विकल्पको सहायताले तपाईं आफ्नो फेसबुकलाई अझ राम्रो तरिकाले प्रयोग गर्न सक्नुहुनेछ । आउनुहोस्, थाहा पाऔँ फेसबुकमा लुकेका पाँच राम्रा सुविधाहरुः
 

१. आफूलाई मनपरेको लिस्ट सेट गर्नुः
फेसबुकमा  इन्ट्रेस्ट लिष्ट  नामको एउटा नयाँ सुविधा दिइएको छ जसको सहयोगले तपाईं आफूलाई मनपरेको कुनै पनि लिष्ट बनाउन सक्नुहुनेछ ।
 

२. फ्रेन्डसिप हिस्ट्रीलाई जाँच गर्नः
यदि तपाईं आफ्ना सबै साथीहरुको हिस्ट्री जाँच गर्न चाहनुहन्छ भने यसका लागि तपाईंलाई आफ्नो साथीको प्रोफाइलमा गइरहन आवश्यक छैन । यसका लागि तपाईंले आफ्नो फेसबुकमा लगइन गरेर  //    मा क्लिक गरेर फ्रेन्डसिप चेक गर्न सक्नुहुन्छ ।
 

३. एकजना साथीको लागि मात्र अनलाईन स्टेटस लुकाउनका लागिः
यदि तपाईं आफ्नो फेसबुकमा आफ्नो अनलाइन स्टेटस लुकाउन चाहनुहुन्छ भने यसका लागि तपाईंले आफ्नो सबै साथीहरुलाई अफलाइन गर्न आवश्यक छैन । मात्र त्यो साथीको च्याटिङ बक्सको माथि दिइएको सेटिङ आइकनमाथि क्लिक गर्नुहोस् र  टर्न अफ च्यान फर  मा उनको नाम हालेर क्लिक गर्नुहोस् ।
 

४. आफ्नो फेसबुकको डाटा डाउनलोड गर्नुहोस्ः
यदि तपाईं आफ्नो फेसबुक प्रोफाइलमा सेभ भएको डाटा डाउनलोड गर्न चाहनुहुन्छ भने यसका लागि तपाईं फेसबुको सेटिङ आइकनमा गएर  जनरल अकाउन्ट सेटिङ  अप्सनमा क्लिक गर्नुहोस् र त्यहाँ दिइएको  डाउनलोड अ कपी अफ योर फेसबुक डाटा  अप्सनमा क्लिक गरेपछि त्यहाँ भएको सबै फोटो र डाटा सेभ गर्नसक्नुहुन्छ ।
 

५. नोटिफिकेसन साउन्ड बन्द गर्नः
फेसबुकमा यदि तपाईं फेसबुकको नोटिफिकेसन साउन्डबाट तनावमा हुनुहुन्छ भने त्यसलाई बन्द गर्नका लागि सबैभन्दा पहिले फेसबुक प्रोफाइललाई ओपन गर्नुहोस् र सेटिङ अप्सनमा गएर नोटिफिकेसन अप्सनमा क्लिक गर्नुहोस्, त्यहाँ तपाईंले  अन  को अप्सन देख्नुहुनेछ र त्यसलाई बन्द गर्नुहोस् र  प्ले अ साउन्ड  अप्सनमा लगाइएको टिक मार्कलाई हटाएर सेटिङमा सेभ गर्नुहोस् । (एजेन्सी)

 
",technology
"युवाहरुमा निकै लोकप्रिय रहेको निःशुल्क फोटो तथा भिडियो मेसेज पठाउन मिल्ने मोबाइल एप्लिकेसन स्नापच्याटबाट लाखौं फोटो तस्विर तथा भिडियोहरु ह्याक भएका छन् । स्नापच्याट प्रयोगकर्ताहरुको करिब ९० हजार फोटो तथा भिडियो भएको एउटा फाइल अनलाइन पोस्ट गरिएको छ जसलाई  स्नापेनिङ  नाम दिइएको छ । यसरी पोस्ट गरिएका तस्विरमा विशेष गरेर किशोर किशोरीका आपत्तिजनक तस्विरहरु रहेका छन् । केही समयअघि मात्र विश्वका चर्चित सेलिब्रेटीहरुको मोबाइलमा रहेको आइक्लाउडबाट तस्विरहरु ह्याक गरेर सार्वजनिक भएपछि निकै ठूलो हंगामा भएको थियो । 

स्नापच्याटमा प्रयोग हुने स्नापसेभ्ड डटकमबाट ती तस्विरहरु ह्याक गरिएका हुन् । स्नापच्याटले उक्त वेभसाइटको वेभसरभरमा फाइल स्टोर गरेर एक अर्कामा आदान प्रदान गर्ने गर्छ । त्यहाँ रहेका फाइल केही समयमा आफै नष्ट हुनेगर्छ । ती तस्विरहरुको लिंकलाई फोरच्यान र रेडिटजस्ता वेभसाइटमा राखिएको छ । जसलाई हजारौंपटक गरिएको छ । स्नापच्याटका ५० प्रतिशत प्रयोगकर्ताहरु १३ देखि १७ वर्ष उमेरका छन् । प्रहरी अधिकारीहरुले यसमा चाइल्ड पोर्नोग्राफी हुनसक्ने आशंका गरेका छन् । धेरै किशोर किशोरीहरुले स्नापच्याटबाट आफ्ना नग्न तस्विरहरु एकअर्कालाई प्रयोग गर्ने गरेका छन् । 
",technology
"साधारणतया फिल्म डाउनलोड हुन कति समय लाग्छ ? तपाईंको उत्तर होला, जति इन्टरनेटको स्पिड धेरै हुन्छ, त्यति नै चाँडो फिल्म डाउनलोड हुन्छ । तर जतिसुकै हाई स्पिडको इन्टरनेट सेवा लिँदा पनि के तपाईंले अहिलेसम्म तीन सेकेन्डमा फिल्म डाउनलोड भएको देख्नुभएको छ ? तपाईंले भन्नुहोला, तीन सेकेन्डमा त फिल्म डाउनलोड हुनै सक्दैन । तर यो वास्तविक हो । अब तपाईंले कुनै पनि फिल्म तीन सेकेन्ड भित्र डाउनलोड गर्न सक्नुहुन्छ तर यसका लागि तपाईंले सामसङले निकालेको वाइफाई सेवा लिनुपर्ने हुन्छ । सामसङले यस्तो प्रविधिको विकाश गरेको छ जुन अहिलेको वाइफाईभन्दा पाँच गुणा बढि तेज भएको कम्पनीले दाबी गरेको छ । यो नयाँ वाइफाई सिस्टमको स्पिड ५७५ एमबी प्रतिसेकेन्ड रहेको छ अर्थात तपाईं एक जीबीभन्दा ठूलो फिल्म तीन सेकेन्डभन्दा कम समयमा डाउनलोड गर्न सक्नुहुनेछ । सामसङका अनुसार अहिलेको २.४ गीगाहर्ज र ५ गीगाहर्ज वाइफाई टेक्नोलोजीभन्दा निकै भिन्न सामसङको डण्द्द। 802.11  स्ट्यान्डर्ड ६० गीगाहर्ज वाईफाई टेक्नोलोजीले सह च्यानलको रोकवटलाई हटाउँदै अधिकतम स्पिड दिने गर्दछ यद्यपी एउटा नेकवर्कमा जतिसुकै डिभाइसहरुको प्रयोग गरिएको होस् । ६० गीगाहर्जको यो वाइफाई टेक्नोलोजी आउँदो वर्षको सुरुवातमा बजारमा आउन सक्ने सामसङले आशा गरेको छ । 
",technology
"एजेन्सी । आइप्याड एयर २ को लन्च भएको केही घन्टापछि बिहीबार राति १२ बजे आइफोन ६ र ६ प्लसको बुकिङ रिटेल स्टोर्सबाट सुरु भएको छ । मुम्बईको बान्द्रास्थित मैपल स्टोरमा आईफोन ६ स्टक आउनुभन्दा १० मिनेट पहिले नै हेडसेट बेच्न सुरु गरिएको थियो । जसलाई २८ वर्षीय अब्दुल समादले किनेका थिए । यसमा ६४ जीवी मेमोरी भएको आइफोन थियो, जो राति १२ बजेर ३ मिनेटमा बिक्री भएको थियो ।

बिक्रेताका अनुसार केही हाईप्रोफाइल सेलिब्रेटीहरुले आइफोन ६ को प्रि बुकिङ गरेका छन् । जसमा बलिउड अभिनेता शाहरुख खानका एक एजेन्, सुभाष घईसहित केही वरिष्ठ अधिकारीहरु समेत रहेका छन् । भारतमा मात्रै २१ हजार युनिट प्रि बुकिङ भइसकेको छ ।

कुनको मुल्य कति ?

आइफोन ६ (१६ जीवी मेमोरी) ५३,५००
आइफोन ६ (६४ जीवी मेमोरी) ६२,५००
आइफोन ६ (१२८ जीवी मेमोरी) ७१,५००
आइफोन ६ प्लस (१६ जीवी मेमोरी) ६२,५००
आइफोन ६ प्लस (६४ जीवी मेमोरी) ७१,५००
आइफोन ६ प्लस (१२८ जीवी मेमोरी) ८०,५००
",technology
"सूचना प्रविधि र शिक्षाको पहुँच बढेसँगै मोवाइल इन्टरनेट ग्राहक बढेका छन् । नियामक निकाय नेपाल दूरसंचार प्राधिकरणले हालै सार्वजनिक गरेको प्रतिवदेन अनुसार घरायसी इन्टरनेट प्रयोगकर्ताको तुलनामा झन्डै १७ गुणा बढी मोवाइलमार्फत इन्टरनेट प्रयोग ग्राहक बढेका छन् ।

९० लाख इन्टरनेट ग्राहकमध्ये ८५ लाख मोवाइल र अन्य ५ लाखले डायलअप, वायरलेस मोडेम, अप्टिकल फाइबर, एडीएसएल र केबुल मोडेमबाट इन्टरनेट प्रयोग गर्छन । प्राधिकरणका अनुसार ३४ प्रतिशत ग्राहक नेपाली इन्टरनेटको पहुँचमा रहेको खबर आजको करोबार दैनिक ले छापेको छ । प्रतिवेदनअनुसार नेपाल टेलिकमका ४९ लाख, एनसेलका ३९ लाख, इन्टरने सेवा प्रदायक कम्पनी (आइएसपी) का १ लाख र यूटीएलका ५६ हजार इन्टरनेट ग्राहक छन् ।

 
",technology
"अहिले नेपाली बजार पनि स्मार्टफोनमय बनिरहेको छ । हरेकको हातमा स्मार्टफोन देखिन्छ । सबै भन्दा लोकप्रिय नेपालको लागि सामसङको स्मार्टफोन देखिएको छ । सामसङको कुन स्मार्टफोन चलिरहेको छ त नेपाली बजारमा ?
नेपाली बजारमा सबै भन्दा चलेका सामसङका ३ स्मार्ट फोनः
सामसङ एस ५ यतिबेला नेपाली बजारमा निक्कै चलेको स्मार्टफोन हो । यसको मूल्य नेपाली बजारमा ६६,००० रुपैयाँ छ । 4.2.2  भर्सनको यो मोबाइलका विशेषता यस्ता छन्ः
१६ जिवी इन्टरनल मेमरी । 
६४ जिवी सम्म पुर्& याउन सकिने । 
फिंगर प्रिन्टबाट मात्र खुल्ने ।
सामसङ  3 पनि नेपालमा निक्कै चलेको स्मार्ट फोन हो । यसको मूल्य ६९,५०० छ । 4.2.3   मा पाहिने यो स्मार्टफोन   मा पनि अपडेट गर्न सकिन्छ ।
विशेषता यस्ता छन्ः
13  क्यामेरा 
2  फ्रन्ट क्यामेरा 
१६ जिवी मेमरी 
६४ जिवी सम्म पुर्& याउन सकिने



 

 



 
",technology
"कम्प्युटर एशोसिएसन अफ नेपाल (क्यान)ले आफनो संस्थालाई महासङ्घको रुपमा दर्ता गर्न सरकारसँग माग गरेको छ ।
राजधानीमा आज पत्रकार सम्मेलन गरेर क्यानका अध्यक्ष विनोद ढकालले राष्ट्रिय निर्देशन ऐन, २०१८ अनुसार क्यानलाई महासङ्घको रुपमा दर्ता गर्न सरकारसँग माग गरेका हुन् । उनले क्यान जस्तै अरु संस्था महासङ्घमा दर्ता भइरहेपनि आफूहरुलाई वेवस्ता गरिएकाले सरकारको ध्यानाकर्षण गराउनुपरेकोमा गुनासो गरेका छन् । 
क्यानले महासङ्घका रुपमा दर्ताका लागि एक वर्षअघि जिल्ला प्रशासन कार्यालय काठमाडौँमा निवेदन दर्ता गराएको र गृह मन्त्रालयमा त्यो फाइल रहेको उनले जानकारी दिए । ऐनअनुसार क्यान महासङ्घको रुपमा दर्ताका लागि निवेदन दिएपनि नियमन निकाय गृहमन्त्रालयले अहिलेसम्म कुनै जवाफ नदिएको अध्यक्ष ढकालले गुनासो गरे । 
सूचना तथा सञ्चार प्रविधि क्षेत्रमा गएको २२ वर्षदेखि छाता सङ्गठनको रुपमा कार्यरत क्यानमा अहिले ७५ जिल्ला तथा अञ्चल, १० गैरसरकारी संस्था, करिब पाँच हजार व्यवसायी तथा पेसाकर्मी आबद्ध रहेको बताइएको छ ।
",technology
